Date,Open,High,Low,Close,Volume
2015-01-01,81.70,559.95,65.03,204.95,56699030
2016-01-01,205.00,228.00,60.60,71.45,41360994
2017-01-02,71.00,89.30,52.00,73.25,10309828
2018-01-01,72.45,92.10,38.00,42.90,9054261
2019-01-01,45.50,59.50,26.85,29.80,6614049
2020-01-01,29.50,58.80,16.20,47.90,7238020
2021-01-01,49.40,111.95,42.35,99.35,18810411
2022-01-03,99.95,130.00,66.15,104.80,10928616
2023-01-02,106.00,240.95,102.00,156.65,31881123
2024-01-01,157.00,248.00,128.15,182.38,26359245
2025-01-01,187.70,188.80,99.65,120.83,8882636
2026-01-01,122.83,147.19,81.80,120.21,4925668
