Date,Open,High,Low,Close,Volume
2001-01-01,13.35,18.40,4.90,11.75,8291878
2002-01-01,12.85,12.85,4.20,7.20,6140267
2003-01-01,7.25,7.25,2.20,4.80,3225344
2004-01-01,5.00,5.95,1.60,5.05,5141371
2005-01-03,1.90,1.90,0.85,1.40,21981806
2006-01-02,0.45,0.75,0.40,0.55,3562123
2015-01-01,0.30,0.35,0.25,0.35,8102
2016-01-01,0.40,0.55,0.15,0.30,3753858
2017-01-02,0.30,0.85,0.15,0.85,23213218
2018-01-01,0.90,1.45,0.25,0.25,8701253
2021-01-01,5.70,5.70,1.45,5.30,48161816
2022-01-03,5.55,8.65,2.15,2.50,46154235
2023-01-02,2.50,2.65,1.40,2.25,28141978
2024-01-01,2.30,11.65,1.80,8.46,39247005
2025-01-01,8.46,10.25,3.64,4.60,24033544
2026-01-01,4.40,5.89,2.88,3.44,13085232
