Date,Open,High,Low,Close,Volume
2011-01-03,2.53,4.23,2.12,2.12,7050624
2012-01-02,2.06,2.85,1.46,1.52,1964144
2013-01-01,1.53,2.39,0.74,1.84,1089440
2014-01-01,1.75,3.02,1.12,2.33,5179744
2015-01-01,2.59,3.21,1.45,2.05,13192144
2016-01-01,2.07,6.06,1.67,4.84,39896640
2017-01-02,4.88,20.44,4.69,17.65,63020192
2018-01-01,17.97,22.75,11.00,12.79,42210240
2019-01-01,13.11,13.37,6.89,7.05,15302320
2020-01-01,7.43,14.99,2.89,14.30,54074056
2021-01-01,14.88,58.51,12.14,29.57,123277276
2022-01-03,29.74,53.26,25.02,41.92,70579292
2023-01-02,42.76,150.05,41.05,142.30,83785851
2024-01-01,145.00,259.50,111.40,123.91,85250987
2025-01-01,126.00,184.74,75.51,161.67,33739742
2026-01-01,163.70,169.00,101.22,104.77,17351615
