Date,Open,High,Low,Close,Volume
2016-01-01,15.00,21.00,15.00,21.00,902
2017-01-02,22.05,44.30,22.05,44.30,1922
2018-01-01,46.50,149.00,46.50,73.15,89333
2019-01-01,69.50,71.90,19.05,40.85,46408
2020-01-01,38.85,60.35,12.65,35.95,132726
2021-01-01,35.75,50.15,21.30,39.20,101590
2022-01-03,37.25,203.35,28.95,77.25,252695
2023-01-02,73.40,89.55,40.15,75.70,89460
2024-01-01,75.05,292.46,61.45,220.36,172480
2025-01-01,215.95,246.09,131.85,142.15,309516
2026-01-01,145.00,193.64,114.94,143.55,220925
