Date,Open,High,Low,Close,Volume
2006-01-02,20.00,23.09,12.35,17.50,6521140
2007-01-02,17.90,18.39,7.90,11.66,8378140
2008-01-01,12.40,12.40,2.42,3.00,5143810
2009-01-01,2.80,11.54,2.60,10.44,49530800
2010-01-04,10.48,16.00,8.80,12.88,47757300
2011-01-03,12.92,21.84,9.86,18.33,17683046
2012-01-02,18.00,31.45,17.23,19.92,9723592
2013-01-01,19.88,23.17,12.25,21.23,11083298
2014-01-01,20.50,67.00,18.80,56.92,32878398
2015-01-01,56.62,58.50,33.53,45.62,68641310
2016-01-01,46.25,58.40,30.90,44.35,42792840
2017-01-02,44.67,94.10,44.25,86.30,53598248
2018-01-01,87.65,98.35,49.15,61.00,25506690
2019-01-01,61.10,62.80,29.15,46.25,34694623
2020-01-01,46.50,68.80,18.15,60.60,114000211
2021-01-01,60.60,72.80,47.10,52.30,90797729
2022-01-03,52.85,59.90,36.00,48.05,35289921
2023-01-02,48.00,91.95,35.60,87.10,90465258
2024-01-01,88.40,145.70,71.15,97.46,170553181
2025-01-01,97.00,114.55,60.52,79.66,87518740
2026-01-01,79.15,130.60,67.20,103.99,190732989
