Date,Open,High,Low,Close,Volume
2005-01-03,140.00,155.80,125.00,138.05,613351
2006-01-02,141.00,209.00,125.10,173.15,11510850
2007-01-02,175.10,199.00,84.10,159.45,5670753
2008-01-01,152.80,173.00,21.00,30.50,7296303
2009-01-01,32.10,73.30,15.60,69.90,3155454
2010-01-04,70.00,103.00,54.50,76.90,8118840
2011-01-03,77.00,79.50,27.00,33.05,862316
2012-01-02,32.00,43.10,27.00,36.05,950742
2013-01-01,36.50,62.00,27.00,55.00,472999
2014-01-01,56.30,84.30,46.05,57.35,1960842
2015-01-01,60.40,75.50,41.40,59.50,1097398
2016-01-01,60.60,131.30,41.15,105.50,17974916
2017-01-02,114.95,149.90,86.55,108.65,15685604
2018-01-01,108.55,119.95,48.50,52.40,4911585
2019-01-01,52.75,63.65,19.20,22.75,2898916
2020-01-01,24.50,49.40,14.65,45.70,3534796
2021-01-01,45.70,151.35,39.00,121.05,16218242
2022-01-03,121.05,237.90,100.45,111.10,29004858
2023-01-02,112.50,156.40,84.10,126.80,24122295
2024-01-01,126.10,174.50,108.20,137.02,29996328
2025-01-01,137.42,150.00,88.80,109.35,7877515
2026-01-01,109.36,154.00,83.05,131.29,5066192
