Date,Open,High,Low,Close,Volume
2001-01-01,4.62,4.95,2.18,3.30,2243300
2002-01-01,3.25,7.99,3.22,6.00,3280250
2003-01-01,5.95,18.43,5.58,17.95,8222650
2004-01-01,17.85,23.50,12.07,21.34,2979640
2005-01-03,21.95,40.70,19.56,38.47,6846480
2006-01-02,39.00,67.40,38.03,49.90,7283580
2007-01-02,50.00,58.40,37.50,47.00,7944556
2008-01-01,46.50,57.50,15.50,20.88,10029118
2009-01-01,22.88,38.25,14.00,37.67,10395996
2010-01-04,36.50,67.10,29.02,58.20,25202766
2011-01-03,59.00,63.15,33.55,37.35,7232533
2012-01-02,37.95,49.50,34.30,35.00,6871582
2013-01-01,35.00,41.65,29.00,38.50,14747681
2014-01-01,37.80,149.30,33.20,130.70,42873309
2015-01-01,130.15,161.95,96.00,140.50,17727197
2016-01-01,140.45,148.40,100.00,107.10,8626984
2017-01-02,110.95,182.30,102.65,172.70,36413667
2018-01-01,173.60,223.85,130.80,207.55,45339556
2019-01-01,208.80,219.30,74.00,96.05,28387646
2020-01-01,95.70,114.60,48.00,100.75,81315532
2021-01-01,100.90,175.05,96.50,159.55,129365963
2022-01-03,161.80,189.70,108.00,152.65,64602024
2023-01-02,153.00,342.30,125.00,335.85,104024585
2024-01-01,341.45,401.55,242.60,279.70,65879526
2025-01-01,277.15,313.25,191.45,269.15,50644353
2026-01-01,270.35,534.90,212.55,525.50,110739377
