Date,Open,High,Low,Close,Volume
2005-01-03,292.00,457.35,266.00,457.35,122988
2006-01-02,332.00,396.85,286.00,330.00,62504
2007-01-02,331.00,2427.80,291.05,1588.45,250502
2008-01-01,1186.00,1290.00,450.00,519.75,52500
2009-01-01,521.40,1503.65,450.00,1202.20,199377
2010-01-04,1203.00,1429.00,882.50,938.00,185474
2011-01-03,901.00,1077.95,512.00,526.70,43862
2012-01-02,510.00,950.00,510.00,765.00,42029
2013-01-01,766.00,910.00,475.00,588.00,46352
2014-01-01,592.00,993.65,508.50,782.15,141800
2015-01-01,765.00,806.00,600.00,726.00,227176
2016-01-01,731.00,859.70,551.00,750.75,291759
2017-01-02,750.00,1511.00,735.10,1440.60,430747
2018-01-01,1475.00,1510.00,983.80,1169.40,160002
2019-01-01,1150.05,1219.85,618.00,736.40,529777
2020-01-01,706.05,1048.00,420.00,964.80,364303
2021-01-01,1019.00,2166.65,916.00,1550.75,368466
2022-01-03,1628.00,2780.00,1230.00,2266.65,711059
2023-01-02,2344.95,3450.00,1999.10,3256.40,930930
2024-01-01,3274.30,9974.00,3030.30,7752.50,4824779
2025-01-01,7850.00,8730.00,4600.00,6520.50,3515301
2026-01-01,6540.00,6624.00,4700.00,5507.50,471167
