Date,Open,High,Low,Close,Volume
2016-01-01,16.70,25.80,12.00,18.80,6709495
2017-01-02,18.90,34.10,18.00,28.70,17439246
2018-01-01,28.40,34.70,19.95,22.70,20734257
2019-01-01,22.95,23.20,10.20,14.60,13753053
2020-01-01,14.40,24.80,9.55,22.00,39301099
2021-01-01,21.90,50.90,20.50,36.55,101020579
2022-01-03,37.40,55.50,31.20,47.95,99033421
2023-01-02,47.50,56.30,35.00,51.90,78864852
2024-01-01,52.40,232.20,49.80,179.04,252022689
2025-01-01,179.03,203.80,91.01,95.16,37682466
2026-01-01,95.64,108.99,65.00,101.59,33549882
