Date,Open,High,Low,Close,Volume
2010-01-04,90.40,126.82,90.05,107.43,236501008
2011-01-03,108.00,116.93,70.25,82.11,26381424
2012-01-02,82.38,132.49,75.29,128.00,35900348
2013-01-01,128.02,264.23,118.82,245.75,34444720
2014-01-01,247.25,479.23,220.00,415.93,64636936
2015-01-01,414.50,480.07,287.45,320.80,71045598
2016-01-01,321.52,399.00,287.50,308.25,50323228
2017-01-02,308.55,361.52,279.50,359.00,60369484
2018-01-01,360.00,457.50,266.15,311.33,115982318
2019-01-01,314.00,350.00,234.38,337.08,73617082
2020-01-01,338.92,774.50,210.02,758.58,80307480
2021-01-01,755.00,2462.50,738.90,2452.18,119279186
2022-01-03,2470.00,2493.75,1546.03,1935.45,159787678
2023-01-02,1944.47,3780.00,1920.00,3694.70,205003754
2024-01-01,3712.50,6788.90,3232.05,6457.70,135956869
2025-01-01,6457.65,6599.00,4148.95,6272.00,135043437
2026-01-01,6285.00,6598.00,4244.50,5416.00,126828734
