Date,Open,High,Low,Close,Volume
2011-01-03,21.50,53.70,13.70,14.44,815730810
2012-01-02,14.20,36.30,12.23,35.97,92761620
2013-01-01,36.24,40.49,5.42,22.30,66302820
2014-01-01,22.30,23.75,6.90,7.49,38235010
2015-01-01,7.49,20.18,5.35,14.76,178235270
2016-01-01,14.81,19.97,7.50,13.14,136191710
2017-01-02,13.07,44.98,13.07,42.35,300121070
2018-01-01,42.58,45.79,8.54,10.01,235782160
2019-01-01,10.09,12.94,3.29,5.68,373793190
2020-01-01,5.65,17.20,2.47,14.04,120767340
2021-01-01,13.91,86.20,13.08,80.28,164909000
2022-01-03,80.99,118.00,55.68,112.59,139737150
2023-01-02,112.60,256.96,100.25,237.36,152898720
2024-01-01,237.36,1028.00,146.71,980.60,346991050
2025-01-01,983.00,1054.20,465.00,575.30,733632681
2026-01-01,577.90,644.40,436.55,529.15,502644669
