Date,Open,High,Low,Close,Volume
2005-01-03,36.50,64.40,28.55,30.45,10752808
2006-01-02,30.65,44.00,18.90,33.00,8835551
2007-01-02,32.50,214.20,32.10,209.95,7014828
2008-01-01,211.05,214.00,28.10,39.25,2549356
2009-01-01,38.10,164.00,21.60,156.70,7839354
2010-01-04,146.95,161.70,102.30,116.30,6604907
2011-01-03,118.05,124.00,59.55,62.55,5133446
2012-01-02,60.00,145.00,59.00,141.85,4437721
2013-01-01,137.50,151.00,41.75,58.40,6450889
2014-01-01,60.45,87.40,49.60,53.15,6236707
2015-01-01,56.30,66.00,32.00,49.15,3196502
2016-01-01,48.80,60.90,27.25,29.60,2996063
2017-01-02,30.55,42.35,27.55,33.55,7015051
2018-01-01,34.80,38.75,7.05,7.25,7255732
2019-01-01,7.65,8.80,1.80,2.50,1284610
2020-01-01,2.40,4.45,1.25,4.40,644549
2021-01-01,4.60,13.30,1.90,11.15,8640016
2022-01-03,11.65,12.25,3.00,3.40,10889514
2023-01-02,3.35,4.40,1.80,3.15,3482027
2024-01-01,3.30,5.80,2.45,3.17,2540978
2025-01-01,3.32,4.34,2.55,2.94,2863008
2026-01-01,2.94,3.33,2.56,2.78,4127054
