Date,Open,High,Low,Close,Volume
2001-01-01,656.16,667.09,103.50,223.41,2170919
2002-01-01,226.53,339.13,90.61,303.47,12143211
2003-01-01,306.99,479.39,175.76,341.10,71459212
2004-01-01,351.69,435.60,149.25,400.02,11617246
2005-01-03,402.97,484.19,290.69,300.72,3970218
2006-01-02,308.25,329.79,133.49,212.84,4927595
2007-01-02,216.03,244.96,112.47,227.90,5622856
2008-01-01,234.47,239.24,45.75,49.56,1973595
2009-01-01,49.04,130.68,38.27,99.03,2680955
2010-01-04,98.17,148.50,85.93,111.90,14918166
2011-01-03,109.85,123.29,46.04,66.82,2841556
2012-01-02,66.72,155.32,61.95,93.41,2254428
2013-01-01,100.03,152.12,64.05,152.12,1624919
2014-01-01,158.65,544.00,151.79,472.75,3281959
2015-01-01,469.95,1110.45,417.00,795.05,9501458
2016-01-01,799.75,815.00,285.00,333.45,11202414
2017-01-02,334.10,543.70,312.05,526.70,22286532
2018-01-01,531.00,572.40,262.65,274.75,12198919
2019-01-01,274.85,288.90,132.30,169.35,8096071
2020-01-01,171.55,619.90,64.10,599.75,78818574
2021-01-01,615.00,785.00,367.00,472.90,47117383
2022-01-03,475.00,483.65,222.55,253.70,37993290
2023-01-02,255.25,335.90,188.60,291.30,36267231
2024-01-01,292.20,523.00,262.50,423.10,46728346
2025-01-01,426.50,682.35,270.00,567.50,23668065
2026-01-01,568.50,967.50,342.10,567.25,167318096
