Date,Open,High,Low,Close,Volume
2013-01-01,159.95,369.80,158.00,349.00,16404226
2014-01-01,350.00,670.00,303.00,663.95,36040244
2015-01-01,664.75,785.00,573.05,689.60,24338770
2016-01-01,682.60,899.95,487.30,559.25,22392496
2017-01-02,570.00,924.00,549.60,685.25,49920511
2018-01-01,684.60,734.00,293.90,399.15,99119310
2019-01-01,401.60,482.40,273.10,317.25,96496737
2020-01-01,318.60,366.20,90.35,233.00,87705843
2021-01-01,235.35,430.00,233.85,267.70,52983411
2022-01-03,264.00,281.55,113.35,230.50,74766514
2023-01-02,230.50,457.50,168.30,392.40,76035504
2024-01-01,394.00,595.00,366.50,407.75,59254430
2025-01-01,409.90,464.45,310.00,414.85,51738155
2026-01-01,413.10,440.50,333.60,354.50,25359064
