Date,Open,High,Low,Close,Volume
2011-01-03,5.77,15.89,5.77,9.16,5185041664
2012-01-02,9.21,24.92,8.92,20.67,491996073
2013-01-01,20.82,27.10,2.01,3.82,217637200
2014-01-01,3.98,6.93,2.98,4.27,394664451
2015-01-01,4.27,26.58,3.86,22.13,1224804305
2016-01-01,22.23,59.50,13.53,43.45,1679324024
2017-01-02,43.83,92.61,40.15,70.82,287217506
2018-01-01,71.29,83.76,39.60,51.57,118790186
2019-01-01,50.46,54.95,7.04,9.04,83942977
2020-01-01,8.93,14.57,4.87,12.67,131333760
2021-01-01,12.63,39.05,12.53,33.74,157613257
2022-01-03,33.71,59.94,28.06,39.46,255598094
2023-01-02,39.65,40.69,20.42,39.16,392806508
2024-01-01,39.27,45.45,28.50,33.38,366168610
2025-01-01,33.28,34.49,19.57,22.32,217551034
2026-01-01,22.18,23.30,12.49,17.26,122652662
