Date,Open,High,Low,Close,Volume
2017-01-02,700.00,700.00,425.45,519.70,32395750
2018-01-01,520.05,533.40,182.00,212.95,5058105
2019-01-01,212.15,245.70,47.15,89.15,8589483
2020-01-01,91.50,94.90,33.90,65.30,20607785
2021-01-01,66.25,148.00,61.25,109.60,49642091
2022-01-03,109.00,205.00,92.30,173.50,35998483
2023-01-02,175.90,299.00,155.00,272.50,39292308
2024-01-01,272.50,335.00,190.22,212.46,24900005
2025-01-01,212.50,257.90,138.48,159.72,20209817
2026-01-01,159.72,184.50,127.73,133.87,6746447
