Date,Open,High,Low,Close,Volume
2010-01-04,132.00,339.70,126.00,285.10,33382834
2011-01-03,282.60,298.80,148.10,156.90,21803514
2012-01-02,155.30,289.70,144.05,264.35,22414739
2013-01-01,265.40,286.00,124.10,213.00,17099151
2014-01-01,212.05,695.00,171.20,649.60,25961311
2015-01-01,654.00,847.00,604.00,649.25,19395957
2016-01-01,655.00,1197.90,555.55,889.05,13452949
2017-01-02,899.00,1622.00,881.50,1592.70,14197405
2018-01-01,1640.00,1954.70,1251.70,1390.55,12670851
2019-01-01,1419.75,2498.00,1289.00,2373.50,17689513
2020-01-01,2386.00,2674.70,1343.80,2629.00,19668920
2021-01-01,2604.00,2787.00,1712.00,1761.75,42351298
2022-01-03,1780.00,1917.00,1365.10,1497.10,42150107
2023-01-02,1497.15,1733.00,1217.25,1366.85,26646987
2024-01-01,1369.00,2449.70,1186.10,1840.15,59726430
2025-01-01,1825.50,1889.85,884.00,899.10,123857894
2026-01-01,904.95,1029.95,706.00,717.70,68185641
