Date,Open,High,Low,Close,Volume
2026-02-13,111.00,111.00,105.45,105.50,1963200
2026-02-16,100.25,100.25,100.25,100.25,3600
2026-02-17,95.25,105.25,95.25,99.15,636000
2026-02-18,94.20,99.90,94.20,99.20,196800
2026-02-19,95.00,95.00,94.25,94.25,20400
2026-02-20,90.50,98.00,89.55,92.25,70800
2026-02-23,95.00,95.20,91.40,94.10,78000
2026-02-24,91.00,94.10,91.00,94.10,3600
2026-02-25,95.40,95.50,95.00,95.00,27600
2026-02-26,95.00,95.00,91.00,94.95,3600
2026-02-27,93.00,97.90,92.00,95.65,18000
2026-03-02,89.60,93.80,84.75,92.25,37200
2026-03-04,90.50,92.70,88.10,92.15,16800
2026-03-05,95.00,95.00,89.50,89.50,7200
2026-03-06,91.80,95.95,89.00,91.70,20400
2026-03-09,88.00,101.00,87.15,96.70,33600
2026-03-10,92.00,102.00,92.00,99.85,133200
2026-03-11,104.00,104.00,100.00,101.00,7200
2026-03-12,109.90,109.90,97.00,97.35,200400
2026-03-13,96.95,101.60,96.05,100.65,100800
2026-03-17,101.95,101.95,97.00,98.90,39600
2026-03-18,99.50,99.90,97.25,97.25,8400
2026-03-19,99.90,99.90,99.50,99.55,6000
2026-03-20,96.00,99.65,96.00,99.65,8400
2026-03-23,95.00,95.00,93.05,93.05,3600
2026-03-24,96.50,96.50,90.50,94.00,46800
2026-03-25,98.45,98.45,97.50,97.50,34800
2026-03-27,92.10,95.95,85.25,92.20,25200
2026-03-30,95.95,97.15,95.95,97.10,6000
2026-04-01,98.45,98.45,94.00,97.60,18000
2026-04-02,93.05,93.05,92.25,92.65,2400
2026-04-06,92.00,97.95,92.00,97.45,13200
2026-04-07,97.45,99.00,92.05,99.00,16800
2026-04-08,100.00,108.80,97.00,105.80,60000
2026-04-09,101.05,104.90,101.05,102.00,13200
2026-04-10,102.00,107.75,102.00,104.75,20400
2026-04-13,98.20,106.70,98.20,106.40,162000
2026-04-15,105.10,105.10,100.00,101.65,19200
2026-04-16,104.50,120.00,101.70,113.00,300000
2026-04-17,114.05,114.05,110.05,113.00,40800
2026-04-20,114.45,114.45,107.00,109.90,67200
2026-04-21,111.95,111.95,108.05,108.05,12000
2026-04-22,111.85,114.80,107.60,113.90,56400
2026-04-23,112.55,112.55,107.00,109.95,34800
2026-04-24,108.10,110.95,105.50,109.30,14400
2026-04-27,109.65,109.65,101.95,107.10,62400
2026-04-28,107.95,118.00,100.00,113.85,338400
2026-04-29,116.95,119.00,112.05,115.80,62400
2026-04-30,113.00,118.90,110.40,116.95,103200
2026-05-04,122.00,123.20,114.05,115.75,117600
2026-05-05,116.00,120.00,108.35,109.80,141600
2026-05-06,110.00,118.00,110.00,117.15,56400
2026-05-07,117.15,118.45,110.00,111.00,151200
2026-05-08,111.30,114.50,109.00,112.10,38400
2026-05-11,112.10,112.95,108.00,109.25,110400
2026-05-12,111.00,119.00,110.30,115.10,228000
2026-05-13,118.15,118.15,114.00,115.00,200400
2026-05-14,116.85,124.00,112.15,121.50,128400
2026-05-15,118.05,133.75,118.00,128.00,214800
2026-05-18,132.00,132.55,122.65,125.80,79200
2026-05-19,131.70,131.70,125.10,126.35,33600
2026-05-20,122.05,127.00,122.00,122.00,25200
2026-05-21,125.00,126.00,121.10,121.50,33600
2026-05-22,122.30,122.50,113.00,115.35,55200
2026-05-25,115.35,117.80,111.00,111.70,68400
2026-05-26,114.40,121.00,107.00,108.25,154800
2026-05-27,108.10,110.95,107.05,109.85,30000
2026-05-29,110.00,110.00,106.00,106.50,24000
2026-06-01,108.00,109.00,102.00,104.40,46800
2026-06-02,104.00,106.70,100.00,102.70,31200
2026-06-03,106.80,106.80,104.45,106.10,19200
2026-06-04,109.00,110.80,100.40,103.35,70800
2026-06-05,107.00,109.00,107.00,108.45,18000
2026-06-08,105.05,105.05,103.50,103.95,21600
2026-06-09,105.00,105.00,96.00,100.20,104400
2026-06-10,102.80,102.80,93.00,94.60,68400
2026-06-11,94.00,96.00,90.00,92.40,112800
2026-06-12,92.50,94.70,90.00,91.95,118800
2026-06-15,94.70,99.00,90.00,90.35,142800
2026-06-16,92.90,97.00,92.45,95.50,40800
2026-06-17,95.70,95.70,91.00,91.90,9600
2026-06-18,92.00,93.00,91.50,92.05,10800
2026-06-19,90.45,95.70,90.45,92.30,117600
2026-06-22,90.05,94.70,90.00,92.70,40800
2026-06-23,94.90,94.90,90.00,90.50,42000
2026-06-24,93.00,93.00,90.00,92.60,15600
2026-06-25,91.00,94.50,91.00,93.75,15600
2026-06-29,96.85,96.85,94.65,95.80,15600
2026-06-30,96.50,96.50,93.00,94.45,8400
2026-07-02,95.90,95.90,92.00,92.65,76800
2026-07-03,92.50,92.95,90.60,91.00,9600
2026-07-06,90.70,91.50,90.65,91.50,4800
2026-07-07,91.50,91.50,91.50,91.50,1200
2026-07-08,89.00,89.00,84.00,85.05,13200
2026-07-09,88.80,92.00,84.15,90.60,36000
2026-07-10,90.00,93.00,89.95,92.20,63600
2026-07-13,93.50,99.90,90.00,94.70,31200
2026-07-14,96.00,98.00,92.00,96.60,43200
2026-07-15,98.00,98.00,91.05,95.00,27600
2026-07-16,96.30,98.05,95.00,97.55,68400
2026-07-17,101.30,101.30,95.00,96.00,26400
2026-07-20,97.40,102.70,97.30,101.30,22800
2026-07-21,97.00,97.50,94.95,97.50,33600
2026-07-22,97.30,97.95,95.90,97.80,105600
2026-07-23,97.80,97.80,93.55,94.00,6000
2026-07-24,97.45,97.45,97.45,97.45,1200
2026-07-27,97.40,97.80,94.35,97.30,36000
2026-07-28,96.00,109.95,95.50,107.15,145200
2026-07-29,106.75,107.05,101.05,104.70,103200
2026-07-30,103.00,108.90,102.55,104.65,144000
2026-07-31,102.30,104.60,100.70,101.95,74400
2026-08-03,103.95,103.95,96.00,101.55,98400
2026-08-04,100.05,100.05,95.50,96.90,76800
2026-08-05,97.00,105.00,97.00,103.60,134400
2026-08-06,101.30,102.50,98.20,99.50,49200
2026-08-07,101.70,103.70,99.00,101.90,67200
2026-08-10,101.90,104.95,97.00,102.90,274800
2026-08-11,101.00,101.00,99.00,99.00,7200
2026-08-12,103.30,103.30,97.00,101.35,57600
2026-08-13,101.70,101.70,97.20,99.50,61200
2026-08-14,100.00,102.90,88.00,94.15,204000
2026-08-17,91.65,93.00,88.60,90.45,30000
2026-08-18,91.00,99.95,91.00,99.70,84000
2026-08-19,100.00,100.00,95.20,97.65,25200
2026-08-20,97.15,101.70,95.00,97.90,111600
2026-08-21,97.80,99.95,95.20,97.00,345600
2026-08-24,95.25,99.90,93.35,99.35,535200
2026-08-25,95.90,97.85,92.00,96.55,400800
2026-08-26,95.60,95.60,88.00,88.70,182400
2026-08-27,84.50,84.50,71.00,71.10,422400
2026-08-28,67.15,70.00,56.90,56.90,270000
2026-08-31,51.55,53.70,51.25,51.25,398400
2026-09-01,47.30,52.00,46.15,46.15,523200
2026-09-02,41.55,41.55,41.55,41.55,57600
2026-09-03,39.50,43.60,39.50,43.60,250800
2026-09-04,45.70,45.75,45.70,45.75,10800
2026-09-07,48.00,48.00,48.00,48.00,33600
2026-09-08,47.50,49.30,45.60,47.30,211200
2026-09-09,47.50,47.55,44.95,44.95,46800
2026-09-10,42.75,47.15,42.75,47.10,91200
2026-09-11,46.00,49.00,44.75,47.70,63600
2026-09-15,48.10,48.90,45.75,45.90,50400
2026-09-16,47.75,48.15,45.70,48.15,51600
2026-09-17,47.60,47.70,46.25,46.90,19200
2026-09-18,46.90,46.90,45.50,45.75,10800
