Date,Open,High,Low,Close,Volume
2025-07-07,119.00,119.00,113.05,113.05,1045000
2025-07-08,107.40,118.70,107.40,118.70,229000
2025-07-09,123.00,124.60,122.00,124.60,304000
2025-07-10,127.45,130.80,123.00,130.80,224000
2025-07-11,133.00,136.30,128.30,131.55,124000
2025-07-14,132.00,132.00,127.90,128.05,81000
2025-07-15,127.00,128.00,126.30,126.60,51000
2025-07-16,126.75,132.90,126.20,131.90,66000
2025-07-17,132.60,133.00,129.60,130.60,28000
2025-07-18,128.80,131.50,128.80,129.55,25000
2025-07-21,129.05,129.95,128.00,128.05,68000
2025-07-22,127.10,128.05,121.55,124.90,115000
2025-07-23,124.25,125.00,123.00,123.20,19000
2025-07-24,123.20,125.00,122.00,124.90,26000
2025-07-25,122.10,122.50,118.00,120.70,62000
2025-07-28,120.70,121.00,119.00,120.25,42000
2025-07-29,120.25,124.25,119.00,119.75,24000
2025-07-30,124.00,124.00,120.05,122.70,16000
2025-07-31,120.00,121.00,120.00,121.00,14000
2025-08-01,120.55,122.95,117.00,121.05,44000
2025-08-04,121.20,124.00,120.00,121.00,16000
2025-08-05,121.00,121.00,119.50,119.50,8000
2025-08-06,119.50,121.75,118.75,118.90,24000
2025-08-07,118.50,121.00,117.50,121.00,21000
2025-08-08,121.00,121.00,118.00,118.00,12000
2025-08-11,118.05,120.00,115.00,116.40,74000
2025-08-12,116.00,118.25,111.00,116.60,91000
2025-08-13,117.05,118.95,115.00,118.55,19000
2025-08-14,118.00,118.75,118.00,118.75,2000
2025-08-18,118.15,118.15,117.55,117.60,9000
2025-08-19,117.65,119.95,117.65,118.65,14000
2025-08-20,118.20,122.00,118.20,121.00,9000
2025-08-21,121.50,122.00,121.50,121.90,4000
2025-08-22,121.50,121.50,118.10,119.00,16000
2025-08-25,118.50,118.50,115.30,118.00,19000
2025-08-26,117.50,117.55,116.25,117.50,10000
2025-08-28,117.00,118.00,116.50,116.50,7000
2025-08-29,117.05,120.00,117.00,117.00,13000
2025-09-01,116.45,117.00,115.00,115.05,14000
2025-09-02,115.05,115.05,115.00,115.00,2000
2025-09-03,118.00,118.00,115.00,115.00,6000
2025-09-04,117.50,117.50,115.00,115.00,4000
2025-09-05,114.05,115.00,114.00,115.00,5000
2025-09-08,115.00,115.00,112.50,113.20,10000
2025-09-09,111.00,111.10,106.00,107.05,25000
2025-09-10,107.05,110.00,107.05,109.00,113000
2025-09-11,110.00,110.00,107.00,107.30,201000
2025-09-12,106.15,106.50,105.00,106.50,150000
2025-09-15,108.35,108.35,107.95,108.00,8000
2025-09-16,107.00,107.00,106.00,106.00,6000
2025-09-17,105.75,105.75,103.00,105.00,17000
2025-09-18,105.00,106.90,104.00,104.20,9000
2025-09-19,103.60,104.20,103.00,104.20,5000
2025-09-22,103.70,106.90,102.90,102.95,8000
2025-09-23,102.50,102.50,99.00,99.95,37000
2025-09-24,99.95,99.95,97.00,99.95,9000
2025-09-25,100.90,100.90,97.25,98.90,7000
2025-09-26,95.10,99.95,95.10,97.95,6000
2025-09-29,96.00,98.75,92.55,95.35,12000
2025-09-30,98.75,98.75,95.00,95.00,5000
2025-10-01,92.00,92.00,85.00,85.40,76000
2025-10-03,81.00,82.95,75.00,80.90,94000
2025-10-06,83.45,86.00,82.00,85.00,14000
2025-10-07,85.00,96.00,85.00,93.80,48000
2025-10-08,94.00,105.00,94.00,102.50,52000
2025-10-09,108.00,113.00,105.95,106.55,25000
2025-10-10,108.00,108.00,98.55,98.55,8000
2025-10-13,98.60,102.00,97.30,101.95,33000
2025-10-14,101.00,101.50,101.00,101.50,50000
2025-10-15,101.00,101.00,99.00,99.00,50000
2025-10-16,99.00,102.00,95.50,102.00,4000
2025-10-20,100.30,100.30,97.00,97.00,3000
2025-10-23,102.00,102.00,100.00,100.00,50000
2025-10-24,90.00,101.95,90.00,95.35,5000
2025-10-27,97.00,99.90,95.00,96.00,70000
2025-10-28,97.90,98.00,92.00,93.50,15000
2025-10-29,96.40,100.00,95.00,97.00,46000
2025-10-30,95.20,96.95,92.00,93.95,22000
2025-10-31,93.95,95.90,90.60,92.55,10000
2025-11-03,87.90,89.60,85.10,85.95,67000
2025-11-04,86.65,91.00,86.00,88.90,30000
2025-11-06,82.00,88.90,82.00,88.00,47000
2025-11-07,88.85,88.90,84.10,86.45,9000
2025-11-10,85.45,85.45,83.75,84.90,51000
2025-11-11,84.90,84.90,82.20,82.25,7000
2025-11-12,82.50,85.00,82.10,82.15,12000
2025-11-13,80.05,83.00,80.05,80.15,18000
2025-11-14,80.50,82.00,77.30,80.35,7000
2025-11-17,77.50,80.90,77.50,78.60,10000
2025-11-18,78.60,80.00,77.20,78.55,12000
2025-11-19,79.90,81.90,78.90,81.25,12000
2025-11-20,80.05,82.00,80.00,82.00,4000
2025-11-21,79.65,79.65,75.00,76.55,42000
2025-11-24,72.80,75.90,72.80,74.00,12000
2025-11-25,72.80,75.20,72.80,75.20,133000
2025-11-26,73.25,75.20,73.25,75.20,4000
2025-11-27,76.30,76.30,76.30,76.30,1000
2025-11-28,77.20,78.00,74.20,74.90,16000
2025-12-01,75.00,75.00,75.00,75.00,4000
2025-12-02,74.00,74.25,73.50,73.50,5000
2025-12-03,72.90,75.80,71.00,71.10,18000
2025-12-04,71.00,71.95,67.05,68.45,16000
2025-12-05,65.00,66.00,60.10,62.75,46000
2025-12-08,65.70,65.70,60.00,60.00,10000
2025-12-09,60.00,60.00,60.00,60.00,1000
2025-12-10,61.00,72.00,60.50,71.65,37000
2025-12-11,73.95,82.40,73.95,82.40,58000
2025-12-12,84.30,84.30,78.10,80.15,15000
2025-12-15,83.00,92.90,80.15,90.75,158000
2025-12-16,94.00,99.80,90.95,93.10,250000
2025-12-17,94.00,95.00,88.95,90.85,218000
2025-12-18,87.00,87.00,81.80,81.80,37000
2025-12-19,74.15,76.85,73.65,73.65,91000
2025-12-22,73.65,73.65,66.30,66.30,74000
2025-12-23,63.00,63.00,63.00,63.00,26000
2025-12-24,59.85,65.75,59.85,60.50,215000
2025-12-26,61.00,63.00,61.00,62.25,23000
2025-12-29,62.50,62.50,59.25,60.05,42000
2025-12-30,60.00,60.00,57.90,58.00,22000
2025-12-31,58.00,59.95,58.00,59.40,20000
2026-01-01,58.25,58.95,57.25,58.00,22000
2026-01-02,58.00,60.90,58.00,60.90,26000
2026-01-05,63.75,63.75,61.00,61.95,24000
2026-01-06,61.95,62.05,59.25,59.60,9000
2026-01-07,58.25,58.70,57.25,57.60,31000
2026-01-08,57.10,57.10,54.90,54.90,16000
2026-01-09,52.35,53.90,52.20,52.55,16000
2026-01-12,53.95,53.95,51.00,51.00,13000
2026-01-13,51.50,53.00,51.50,51.50,5000
2026-01-14,51.30,51.30,51.30,51.30,2000
2026-01-16,52.95,53.85,52.95,53.85,19000
2026-01-19,53.00,55.00,51.20,51.90,18000
2026-01-20,50.05,51.00,49.50,49.50,11000
2026-01-21,47.30,47.30,47.05,47.20,21000
2026-01-22,47.30,47.80,47.20,47.30,4000
2026-01-23,47.90,49.65,47.40,49.65,6000
2026-01-27,49.65,49.65,47.30,47.30,2000
2026-01-28,49.00,49.00,46.30,46.30,6000
2026-01-29,45.35,45.50,45.00,45.00,8000
2026-01-30,45.00,45.95,45.00,45.90,4000
2026-02-01,43.70,45.45,43.70,44.55,2000
2026-02-02,44.55,45.45,42.60,44.00,4000
2026-02-03,46.00,46.00,41.80,42.80,35000
2026-02-04,44.90,44.90,40.75,42.50,26000
2026-02-05,44.75,44.75,43.00,43.00,8000
2026-02-06,45.00,45.00,40.00,40.60,21000
2026-02-09,40.70,41.90,40.00,41.85,6000
2026-02-10,41.85,42.00,40.50,41.05,15000
2026-02-11,41.05,42.45,40.00,40.35,41000
2026-02-12,41.00,41.00,36.50,38.55,22000
2026-02-13,40.00,42.30,34.70,36.65,37000
2026-02-16,38.00,39.25,38.00,39.10,8000
2026-02-17,37.15,43.00,35.20,36.75,286000
2026-02-18,36.80,38.50,35.20,37.70,53000
2026-02-19,38.50,39.00,35.00,35.70,42000
2026-02-20,35.80,36.70,35.00,35.00,31000
2026-02-23,33.55,36.00,31.50,31.50,80000
2026-02-24,30.95,30.95,28.35,28.35,39000
2026-02-25,27.80,29.75,27.00,29.75,50000
2026-02-26,30.00,30.95,29.65,30.70,263000
2026-02-27,31.10,31.35,30.00,30.00,11000
2026-03-02,30.45,30.45,28.50,28.50,17000
2026-03-04,27.15,27.60,27.10,27.15,17000
2026-03-05,27.15,28.05,25.85,25.90,46000
2026-03-06,26.50,27.15,25.90,26.75,16000
2026-03-09,26.50,27.50,25.55,27.50,12000
2026-03-10,27.60,28.00,26.20,26.35,27000
2026-03-11,25.80,27.30,25.80,26.20,18000
2026-03-12,25.25,25.55,24.90,25.50,36000
2026-03-13,25.75,26.45,24.30,25.40,63000
2026-03-16,25.25,25.25,24.15,24.30,50000
2026-03-17,24.10,24.20,23.50,24.00,23000
2026-03-18,24.10,25.00,23.50,23.90,28000
2026-03-19,24.20,24.20,22.75,22.90,46000
2026-03-20,22.90,23.00,21.80,22.00,32000
2026-03-23,20.90,21.75,20.90,20.90,20000
2026-03-24,20.40,21.90,20.05,21.30,44000
2026-03-25,21.00,22.35,20.70,20.85,60000
2026-03-27,21.00,21.10,19.85,19.85,41000
2026-03-30,18.90,18.90,18.90,18.90,8000
2026-04-01,19.65,19.80,19.65,19.80,16000
2026-04-02,19.20,20.75,18.85,20.75,22000
2026-04-06,21.75,21.75,21.00,21.00,9000
2026-04-07,21.95,22.05,21.95,22.05,6000
2026-04-08,23.15,23.15,23.15,23.15,6000
2026-04-09,24.30,24.30,24.30,24.30,9000
2026-04-10,25.50,25.50,25.50,25.50,8000
2026-04-13,26.75,26.75,26.30,26.75,29000
2026-04-15,28.05,28.05,28.05,28.05,3000
2026-04-16,29.45,29.45,29.00,29.45,31000
2026-04-17,30.90,30.90,30.90,30.90,4000
2026-04-20,32.40,32.40,32.40,32.40,8000
2026-04-21,33.95,34.00,33.95,34.00,3000
2026-04-22,35.70,35.70,34.25,35.65,65000
2026-04-23,37.00,37.00,33.90,34.40,45000
2026-04-24,34.55,34.55,32.70,32.70,18000
2026-04-27,33.95,33.95,31.30,32.80,8000
2026-04-28,32.00,32.00,31.20,31.20,15000
2026-04-29,31.20,31.20,29.70,30.70,11000
2026-04-30,29.30,31.80,29.30,31.80,3000
2026-05-04,30.25,31.80,30.25,31.80,35000
2026-05-05,30.60,31.80,30.60,31.80,6000
2026-05-06,31.75,31.80,30.45,31.70,8000
2026-05-07,31.55,33.10,30.70,32.05,7000
2026-05-08,30.70,32.75,30.70,32.75,2000
2026-05-11,32.55,32.55,31.80,31.80,2000
2026-05-12,31.80,31.80,30.25,30.25,10000
2026-05-13,29.00,29.00,28.75,28.75,7000
2026-05-14,27.40,29.70,27.35,28.85,25000
2026-05-15,27.45,27.45,27.45,27.45,6000
2026-05-18,26.10,26.95,26.10,26.10,5000
2026-05-21,26.50,26.50,26.50,26.50,1000
2026-05-25,25.50,26.45,25.50,26.45,2000
2026-05-27,25.55,25.55,25.15,25.20,10000
2026-05-29,26.45,26.45,24.55,26.00,8000
2026-06-01,24.70,26.00,24.70,26.00,17000
2026-06-02,24.75,24.95,24.70,24.70,10000
2026-06-03,23.75,24.30,23.50,24.30,15000
2026-06-04,23.35,23.35,23.10,23.10,5000
2026-06-05,22.05,24.05,22.05,24.05,3000
2026-06-09,24.80,24.80,22.85,23.80,5000
2026-06-10,23.50,23.50,22.65,23.00,12000
2026-06-11,24.00,24.00,22.20,22.20,2000
2026-06-12,23.00,23.00,22.50,22.50,12000
2026-06-15,23.00,23.00,22.95,23.00,10000
2026-06-16,22.50,22.50,21.85,21.85,40000
2026-06-17,21.85,21.85,20.80,21.00,79000
2026-06-18,20.20,20.20,19.95,19.95,27000
2026-06-19,20.90,20.90,19.95,20.90,38000
2026-06-22,20.05,20.85,19.90,20.45,14000
2026-06-23,20.95,20.95,19.80,20.20,12000
2026-06-24,20.75,21.05,20.10,20.55,7000
2026-06-25,21.05,21.05,19.95,20.75,5000
2026-06-29,21.00,21.40,20.25,20.25,6000
2026-06-30,20.20,20.20,19.95,20.00,9000
2026-07-01,20.00,20.00,19.90,19.90,3000
2026-07-02,19.15,19.50,19.15,19.50,5000
2026-07-03,19.50,20.25,19.30,19.75,5000
2026-07-06,20.70,20.70,20.20,20.20,5000
2026-07-07,20.20,20.95,19.60,20.95,311000
2026-07-08,20.95,21.00,20.95,21.00,6000
2026-07-09,20.05,20.05,19.95,19.95,7000
2026-07-10,19.05,19.75,19.05,19.75,3000
2026-07-13,19.75,20.35,19.75,20.35,3000
2026-07-14,19.45,20.10,19.40,20.10,6000
2026-07-15,20.10,20.10,19.15,20.00,8000
2026-07-16,19.10,20.60,19.00,19.05,13000
2026-07-17,19.05,19.05,19.05,19.05,1000
2026-07-20,18.55,18.80,18.50,18.80,3000
2026-07-21,19.00,19.55,18.00,18.65,11000
2026-07-22,19.55,19.55,17.80,17.85,11000
2026-07-24,17.10,18.10,17.00,18.10,7000
2026-07-27,18.00,18.60,17.20,17.45,21000
2026-07-28,17.50,17.50,16.85,17.00,9000
2026-07-29,16.90,17.00,16.35,16.35,12000
2026-07-30,16.65,16.85,16.35,16.55,104000
2026-07-31,17.20,17.25,17.20,17.20,2000
2026-08-03,17.20,17.20,17.20,17.20,1000
2026-08-04,16.45,17.25,16.35,16.35,18000
2026-08-05,16.35,16.85,16.30,16.85,3000
2026-08-06,17.60,17.60,16.50,16.50,9000
2026-08-07,16.50,17.10,16.35,16.50,7000
2026-08-10,16.05,16.95,15.70,16.70,18000
2026-08-12,16.00,16.00,16.00,16.00,8000
2026-08-13,15.35,15.40,15.30,15.35,4000
2026-08-14,15.05,15.35,14.60,15.35,27000
2026-08-17,14.60,15.25,14.60,15.25,4000
2026-08-18,15.05,15.05,14.50,14.50,17000
2026-08-19,14.20,14.20,13.80,13.80,12000
2026-08-20,13.20,13.90,13.15,13.15,26000
2026-08-21,12.55,13.80,12.55,13.80,18000
2026-08-24,14.40,14.45,13.25,14.45,11000
2026-08-25,14.50,14.95,14.50,14.95,4000
2026-08-26,14.95,15.15,14.25,14.80,8000
2026-08-27,14.30,14.30,14.30,14.30,6000
2026-08-31,13.60,14.50,13.60,14.30,43000
2026-09-01,13.65,14.00,13.60,14.00,13000
2026-09-02,13.40,13.40,13.30,13.30,9000
2026-09-03,12.80,13.90,12.75,13.70,5000
2026-09-04,13.20,13.60,13.10,13.60,10000
2026-09-07,13.60,13.60,13.30,13.30,3000
2026-09-09,12.75,13.10,12.70,13.10,3000
2026-09-10,13.40,13.75,12.45,12.45,34000
2026-09-11,12.60,12.95,12.60,12.60,9000
2026-09-15,12.20,12.60,12.00,12.00,89000
2026-09-16,12.00,12.00,11.40,11.40,34000
2026-09-17,11.30,11.30,10.85,10.90,12000
2026-09-18,10.90,11.20,10.85,11.10,20000
