Date,Open,High,Low,Close,Volume
2024-03-22,115.00,120.00,109.25,115.45,1074000
2024-03-26,109.70,109.70,109.70,109.70,31200
2024-03-27,104.25,104.25,104.25,104.25,18000
2024-03-28,99.05,102.15,99.05,99.05,350400
2024-04-01,97.50,104.00,97.50,103.15,118800
2024-04-02,99.95,102.00,98.00,100.90,105600
2024-04-03,98.10,100.85,98.10,98.55,64800
2024-04-04,101.00,103.45,98.60,103.45,94800
2024-04-05,104.00,108.60,101.00,108.60,110400
2024-04-08,113.50,114.00,110.50,114.00,170400
2024-04-09,113.00,115.90,107.00,108.30,212400
2024-04-10,107.55,110.90,104.00,109.95,69600
2024-04-12,112.90,130.90,109.80,125.30,350400
2024-04-15,125.90,141.00,117.85,127.00,242400
2024-04-16,128.80,136.10,124.00,131.40,136800
2024-04-18,134.00,136.00,126.00,126.95,108000
2024-04-19,123.00,127.00,121.50,121.95,121200
2024-04-22,124.50,125.00,117.25,120.65,90000
2024-04-23,124.90,124.90,119.00,119.70,58800
2024-04-24,120.05,123.90,120.00,123.90,36000
2024-04-25,124.00,130.00,122.00,122.65,36000
2024-04-26,125.60,127.90,119.00,120.05,121200
2024-04-29,121.65,126.60,118.55,124.60,166800
2024-04-30,125.00,133.70,125.00,128.45,93600
2024-05-02,131.00,132.00,126.85,127.40,96000
2024-05-03,130.00,131.00,123.30,124.65,91200
2024-05-06,126.05,126.05,116.10,118.45,75600
2024-05-07,118.45,122.00,109.55,114.75,61200
2024-05-08,114.50,119.00,114.50,118.15,25200
2024-05-09,118.20,119.85,116.25,116.60,14400
2024-05-10,116.30,123.90,115.05,120.65,62400
2024-05-13,117.00,121.00,115.00,120.15,34800
2024-05-14,119.50,121.70,117.60,121.25,22800
2024-05-15,120.00,121.50,118.00,118.35,58800
2024-05-16,119.00,121.00,119.00,119.55,25200
2024-05-17,118.30,121.00,118.25,120.00,30000
2024-05-18,118.10,119.85,118.10,119.05,4800
2024-05-21,117.00,117.00,114.00,115.25,42000
2024-05-22,113.85,115.25,112.30,113.65,33600
2024-05-23,116.75,116.95,114.00,116.35,18000
2024-05-24,116.35,118.20,116.35,116.50,14400
2024-05-27,120.00,120.00,113.00,113.10,19200
2024-05-28,112.10,112.10,105.00,107.15,33600
2024-05-29,111.00,111.00,107.00,108.00,26400
2024-05-30,107.00,112.00,107.00,111.65,32400
2024-05-31,122.00,122.65,113.00,114.40,108000
2024-06-03,116.15,116.15,111.60,111.60,21600
2024-06-04,106.00,109.00,105.00,105.00,19200
2024-06-05,107.00,111.70,102.20,111.00,30000
2024-06-06,112.00,114.95,110.00,112.95,22800
2024-06-07,107.05,110.95,107.05,109.85,34800
2024-06-10,111.00,113.40,109.05,110.35,32400
2024-06-11,116.95,116.95,111.80,113.30,15600
2024-06-12,113.05,120.00,113.05,119.15,50400
2024-06-13,119.85,119.85,117.00,117.00,4800
2024-06-14,118.00,121.00,114.10,119.75,32400
2024-06-18,116.60,119.95,116.50,118.20,28800
2024-06-19,120.00,126.50,120.00,121.25,69600
2024-06-20,125.90,125.90,117.10,118.00,74400
2024-06-21,121.75,122.00,115.10,118.05,40800
2024-06-24,118.00,118.00,114.10,115.30,27600
2024-06-25,116.65,119.65,115.50,117.85,37200
2024-06-26,121.95,124.95,118.00,119.90,63600
2024-06-27,120.00,121.50,119.80,119.90,104400
2024-06-28,119.85,121.70,119.80,120.00,25200
2024-07-01,127.00,144.00,127.00,144.00,183600
2024-07-02,156.90,172.80,156.00,162.85,511200
2024-07-03,163.00,195.40,155.50,195.40,478800
2024-07-04,213.60,214.90,201.50,214.90,87600
2024-07-05,225.00,232.50,197.00,215.00,264000
2024-07-08,223.00,223.00,201.10,206.50,56400
2024-07-09,206.50,214.90,204.00,204.00,22800
2024-07-10,200.00,203.00,183.60,195.75,81600
2024-07-11,200.00,203.00,189.00,193.35,48000
2024-07-12,191.00,202.00,190.00,198.75,25200
2024-07-15,195.00,218.60,190.10,218.60,78000
2024-07-16,228.00,228.00,207.70,207.70,30000
2024-07-18,205.00,214.00,197.35,205.00,32400
2024-07-19,205.00,205.00,198.00,198.00,15600
2024-07-22,191.00,195.00,189.00,190.95,13200
2024-07-23,190.00,190.00,181.40,184.00,26400
2024-07-24,190.00,193.20,187.00,193.10,28800
2024-07-25,201.00,202.75,190.10,192.05,34800
2024-07-26,193.00,200.00,193.00,199.40,9600
2024-07-29,199.40,206.10,199.40,206.10,13200
2024-07-30,207.00,211.50,197.00,197.95,22800
2024-07-31,201.00,202.45,195.00,202.15,8400
2024-08-01,201.00,201.00,195.40,197.90,6000
2024-08-02,193.00,205.00,193.00,197.85,28800
2024-08-05,196.00,197.85,187.95,188.85,19200
2024-08-06,190.00,196.90,189.00,191.00,16800
2024-08-07,191.00,191.00,183.00,189.00,19200
2024-08-08,185.50,193.40,185.00,193.15,13200
2024-08-09,193.00,193.00,183.50,185.00,18000
2024-08-12,189.45,194.25,187.00,191.00,12000
2024-08-13,187.00,194.00,185.60,187.80,10800
2024-08-14,188.00,188.00,180.00,180.60,13200
2024-08-16,183.00,183.00,179.00,180.00,19200
2024-08-19,180.00,182.00,175.00,178.00,28800
2024-08-20,177.95,182.00,177.95,182.00,4800
2024-08-21,180.00,180.00,178.00,178.00,4800
2024-08-22,178.10,178.10,175.00,176.35,15600
2024-08-23,170.10,175.00,170.10,173.50,8400
2024-08-26,172.10,182.00,171.00,181.50,55200
2024-08-27,188.00,190.55,186.00,190.55,21600
2024-08-28,197.95,200.05,196.00,197.15,38400
2024-08-29,192.00,192.00,187.30,187.30,18000
2024-08-30,184.85,184.85,177.95,177.95,22800
2024-09-02,179.45,180.00,172.00,176.00,15600
2024-09-03,178.00,178.50,172.00,174.00,20400
2024-09-04,174.00,180.00,173.00,176.00,20400
2024-09-05,175.00,177.00,168.00,170.10,33600
2024-09-06,170.00,175.00,170.00,172.50,18000
2024-09-09,175.00,175.00,165.05,168.00,12000
2024-09-10,172.85,175.00,170.10,173.00,15600
2024-09-11,171.05,175.00,170.50,170.50,6000
2024-09-13,171.00,171.20,169.00,169.00,8400
2024-09-16,164.00,169.00,164.00,167.00,7200
2024-09-17,172.00,175.35,172.00,175.35,25200
2024-09-18,184.10,184.10,174.00,176.15,22800
2024-09-19,171.00,171.05,167.35,171.00,6000
2024-09-20,173.45,173.45,165.15,168.05,7200
2024-09-23,160.15,170.00,160.15,170.00,9600
2024-09-24,167.45,168.80,163.50,168.80,9600
2024-09-25,165.00,168.70,164.00,168.70,4800
2024-09-26,164.00,164.00,161.00,162.35,14400
2024-09-27,165.00,168.00,164.00,168.00,10800
2024-09-30,165.00,165.00,162.00,165.00,12000
2024-10-01,165.00,165.00,165.00,165.00,2400
2024-10-03,164.00,166.00,157.05,158.80,20400
2024-10-04,160.00,163.00,154.00,155.15,16800
2024-10-07,155.00,155.00,147.40,147.40,13200
2024-10-08,146.95,154.75,142.00,154.75,9600
2024-10-09,155.10,160.00,155.10,160.00,7200
2024-10-10,156.00,156.00,155.00,155.00,2400
2024-10-11,160.00,162.75,160.00,162.75,7200
2024-10-14,160.50,164.85,160.50,164.85,3600
2024-10-15,160.00,160.00,156.60,158.00,4800
2024-10-16,150.60,163.00,150.60,162.00,15600
2024-10-17,157.65,157.65,153.90,155.15,20400
2024-10-18,159.00,162.90,158.30,158.30,6000
2024-10-21,165.00,165.00,164.00,164.00,3600
2024-10-22,158.50,169.45,155.80,165.90,63600
2024-10-23,168.00,174.10,168.00,172.65,21600
2024-10-24,175.00,175.00,166.50,174.75,8400
2024-10-25,170.00,180.50,166.05,176.05,39600
2024-10-28,176.00,184.00,171.00,181.55,24000
2024-10-29,178.00,189.95,173.35,186.00,24000
2024-10-30,191.80,194.95,186.00,192.20,37200
2024-10-31,189.00,200.70,183.15,196.00,28800
2024-11-01,196.00,196.00,187.00,189.30,15600
2024-11-04,187.00,190.15,187.00,188.00,11400
2024-11-05,188.95,197.00,187.00,195.50,32400
2024-11-06,196.00,198.00,195.00,195.00,5400
2024-11-07,195.00,197.00,190.00,197.00,9600
2024-11-08,196.00,196.00,192.00,194.30,12000
2024-11-11,194.00,194.00,186.00,189.50,10200
2024-11-12,190.00,193.00,186.00,188.95,13200
2024-11-13,187.00,197.80,184.00,195.95,38400
2024-11-14,197.95,204.00,196.00,202.00,31200
2024-11-18,192.10,201.00,191.90,195.35,33600
2024-11-19,195.00,203.00,195.00,200.20,8400
2024-11-21,197.00,200.00,190.20,197.60,14400
2024-11-22,199.00,205.00,196.00,203.10,22800
2024-11-25,213.15,213.15,205.00,207.50,17400
2024-11-26,206.00,209.00,206.00,208.00,12000
2024-11-27,209.00,218.40,208.00,218.30,19800
2024-11-28,221.00,229.00,213.20,215.00,11400
2024-11-29,223.00,225.00,215.50,222.50,6600
2024-12-02,222.50,233.60,222.50,233.60,28200
2024-12-03,245.25,245.25,223.00,232.50,36600
2024-12-05,233.00,240.00,230.00,232.95,12600
2024-12-06,233.00,244.55,233.00,244.55,18600
2024-12-09,256.75,256.75,235.00,240.15,54000
2024-12-10,235.00,235.00,228.15,230.60,26400
2024-12-11,231.30,239.70,230.60,238.90,4200
2024-12-12,238.90,250.80,238.90,240.00,12600
2024-12-13,250.00,250.00,228.00,230.85,40200
2024-12-16,231.55,232.00,219.30,220.65,26400
2024-12-17,219.35,225.00,219.35,225.00,2400
2024-12-18,228.90,228.90,228.90,228.90,600
2024-12-19,230.00,233.00,230.00,233.00,1800
2024-12-20,237.00,238.00,221.35,221.35,9600
2024-12-23,221.35,232.35,216.00,230.35,12000
2024-12-24,227.00,227.00,227.00,227.00,600
2024-12-26,229.00,237.00,229.00,234.00,5400
2024-12-27,228.00,228.00,225.00,226.00,4200
2024-12-30,225.00,225.00,225.00,225.00,1200
2024-12-31,215.00,219.00,215.00,217.00,2400
2025-01-01,215.00,227.00,206.15,226.50,12000
2025-01-02,227.00,230.00,225.00,229.95,13800
2025-01-03,234.50,237.75,230.00,237.45,13800
2025-01-06,225.60,225.60,225.60,225.60,1800
2025-01-07,225.65,236.85,225.65,236.85,7800
2025-01-08,248.65,248.65,235.00,248.65,18000
2025-01-09,248.65,249.95,244.00,244.00,1800
2025-01-10,250.00,250.00,240.00,248.00,4800
2025-01-13,240.00,251.50,240.00,251.50,22800
2025-01-14,263.90,263.90,257.00,260.55,10200
2025-01-15,270.00,270.00,248.10,250.00,19800
2025-01-16,254.10,262.50,252.00,252.00,12000
2025-01-17,255.00,255.00,253.00,254.00,1200
2025-01-20,252.00,253.25,251.00,253.10,2400
2025-01-21,251.00,254.00,240.45,250.60,15000
2025-01-22,251.00,251.00,248.00,250.50,4800
2025-01-23,249.00,249.00,238.00,239.00,7800
2025-01-24,239.00,250.95,230.00,250.95,14400
2025-01-27,241.10,259.00,238.40,246.15,32400
2025-01-28,237.10,237.10,235.00,235.00,5400
2025-01-29,246.00,246.75,225.00,233.30,7800
2025-01-30,244.00,244.00,240.50,240.50,1200
2025-01-31,239.65,252.50,239.65,250.90,13800
2025-02-01,251.00,251.00,241.00,248.75,14400
2025-02-03,237.60,248.70,236.65,241.65,3600
2025-02-05,241.00,241.00,238.00,238.00,1800
2025-02-06,238.50,238.50,236.40,236.40,1200
2025-02-07,235.80,241.95,235.80,237.60,3600
2025-02-10,244.00,244.00,244.00,244.00,600
2025-02-11,231.80,231.80,231.80,231.80,7800
2025-02-12,220.30,236.00,220.25,236.00,6600
2025-02-13,227.00,230.00,226.50,230.00,1800
2025-02-14,230.00,230.00,218.50,218.50,9600
2025-02-17,207.60,226.50,207.60,226.50,10800
2025-02-18,225.00,234.95,225.00,234.95,3600
2025-02-19,240.00,243.00,238.00,238.00,4200
2025-02-20,237.00,237.00,237.00,237.00,600
2025-02-21,233.00,233.00,233.00,233.00,1200
2025-02-24,228.00,228.00,228.00,228.00,600
2025-02-25,226.00,233.90,218.00,229.95,3000
2025-02-28,229.95,241.40,218.45,234.95,27600
2025-03-03,240.00,243.00,235.00,235.00,23400
2025-03-04,242.00,243.00,235.00,243.00,3000
2025-03-05,243.00,255.15,240.00,251.15,15000
2025-03-06,252.00,259.00,252.00,256.00,13800
2025-03-07,268.00,268.00,255.00,256.75,21000
2025-03-11,265.00,270.00,251.80,264.05,22800
2025-03-12,256.00,257.00,255.00,255.00,3600
2025-03-13,255.00,260.00,255.00,258.00,5400
2025-03-17,259.00,259.00,253.00,253.55,6000
2025-03-18,253.00,255.00,240.90,245.35,43200
2025-03-19,241.35,252.50,233.10,248.55,25800
2025-03-20,251.00,255.00,249.00,252.35,3000
2025-03-21,255.00,255.00,255.00,255.00,1200
2025-03-24,250.00,250.00,250.00,250.00,1200
2025-03-25,250.00,250.00,250.00,250.00,600
2025-03-27,250.00,250.00,249.90,249.90,2400
2025-04-01,249.00,249.00,238.00,245.00,3000
2025-04-03,245.00,245.00,232.75,232.75,36000
2025-04-04,223.10,227.00,221.15,221.15,10200
2025-04-07,199.05,243.00,199.05,212.95,52200
2025-04-08,227.50,227.90,215.00,221.35,2400
2025-04-09,221.35,221.90,217.00,217.00,1800
2025-04-11,217.00,225.00,217.00,222.55,4200
2025-04-16,219.95,219.95,216.05,217.00,3600
2025-04-17,219.95,219.95,217.00,218.00,5400
2025-04-21,220.00,222.75,220.00,220.00,6000
2025-04-22,221.00,239.00,220.00,237.95,10800
2025-04-23,249.00,249.00,230.00,230.00,4800
2025-04-24,233.00,233.95,231.00,231.00,3000
2025-04-25,230.15,232.00,230.15,232.00,1200
2025-04-28,230.00,230.00,226.00,226.00,3000
