Date,Open,High,Low,Close,Volume
2025-07-08,753.90,791.55,750.00,764.80,17100
2025-07-09,770.00,803.00,751.00,798.55,11700
2025-07-10,820.00,838.45,820.00,838.45,1200
2025-07-11,880.35,880.35,880.35,880.35,12900
2025-07-14,924.35,924.35,888.00,903.40,16350
2025-07-15,939.00,939.00,860.00,901.00,13350
2025-07-16,900.00,946.05,888.00,946.05,10350
2025-07-17,993.35,993.35,935.00,967.00,4200
2025-07-18,921.25,950.00,921.25,933.00,1200
2025-07-21,933.00,937.00,900.80,906.95,7050
2025-07-22,910.00,915.00,902.05,914.00,4200
2025-07-23,915.00,925.05,915.00,925.00,4050
2025-07-24,950.00,950.00,905.05,918.05,1050
2025-07-25,940.00,940.00,930.00,935.00,900
2025-07-28,935.00,1120.00,935.00,999.75,6450
2025-07-29,1060.00,1074.90,1050.00,1059.90,2250
2025-07-30,1135.00,1235.00,1090.00,1120.00,7050
2025-07-31,1125.60,1125.70,1040.00,1054.00,2550
2025-08-01,1005.10,1040.00,1005.00,1040.00,1650
2025-08-04,990.10,1060.00,990.10,1050.00,1950
2025-08-05,950.10,1060.00,950.10,1055.00,1050
2025-08-06,1045.00,1055.00,1045.00,1055.00,450
2025-08-07,1080.00,1100.00,1055.00,1055.00,1050
2025-08-08,1050.00,1050.00,1000.00,1033.75,2100
2025-08-11,1020.00,1032.00,1020.00,1032.00,1350
2025-08-12,1032.00,1050.00,1031.20,1049.95,750
2025-08-13,1038.00,1038.00,1038.00,1038.00,150
2025-08-14,1030.00,1030.00,1030.00,1030.00,300
2025-08-18,1040.00,1050.00,1038.00,1050.00,750
2025-08-19,1050.00,1050.00,1050.00,1050.00,150
2025-08-20,1037.00,1037.00,1000.00,1000.00,2700
2025-08-21,1020.00,1021.00,1020.00,1021.00,300
2025-08-22,1000.40,1014.00,1000.00,1002.00,4350
2025-08-25,1030.00,1049.95,990.00,1002.00,4050
2025-08-26,985.50,985.50,941.25,980.00,2550
2025-08-28,1000.00,1000.00,970.00,975.00,750
2025-08-29,975.50,1000.00,973.00,986.50,450
2025-09-01,1000.00,1000.00,950.00,950.00,1650
2025-09-02,950.10,954.60,930.00,933.00,2550
2025-09-03,930.10,936.00,920.00,925.85,1350
2025-09-04,920.00,960.00,920.00,930.00,750
2025-09-05,916.55,925.00,890.05,894.10,1800
2025-09-08,893.20,893.25,893.20,893.25,1200
2025-09-09,875.05,907.00,870.05,895.00,7800
2025-09-10,905.00,906.00,905.00,906.00,1950
2025-09-12,885.05,885.05,885.05,885.05,450
2025-09-15,890.00,890.00,880.15,880.20,3150
