Date,Open,High,Low,Close,Volume
2016-10-07,46.80,46.80,46.80,46.80,357000
2016-10-10,56.15,56.15,56.15,56.15,3000
2016-10-13,67.35,67.35,67.35,67.35,3000
2016-10-14,74.05,74.05,74.05,74.05,9000
2016-10-17,81.45,81.45,75.00,81.45,45000
2016-10-18,89.50,89.55,89.50,89.55,21000
2016-10-19,93.70,94.00,93.50,94.00,12000
2016-10-20,98.60,98.70,98.00,98.70,18000
2016-10-21,103.60,103.60,102.95,103.00,9000
2016-10-24,97.85,104.00,97.85,99.00,12000
2016-10-26,94.05,95.00,94.05,95.00,6000
2016-10-27,98.00,99.75,98.00,99.75,18000
2016-10-28,104.70,104.70,104.70,104.70,3000
2016-11-01,97.00,97.00,97.00,97.00,3000
2016-11-02,97.00,97.00,97.00,97.00,3000
2016-11-03,99.00,99.00,99.00,99.00,3000
2016-11-08,95.00,95.00,95.00,95.00,3000
2016-11-09,90.00,92.50,89.00,92.50,12000
2016-11-10,90.00,90.00,86.10,86.10,6000
2016-11-11,85.00,88.60,84.00,87.60,12000
2016-11-15,81.00,81.00,70.10,74.00,21000
2016-11-16,88.00,88.00,88.00,88.00,3000
2016-11-17,101.00,105.00,76.00,76.00,12000
2016-11-18,78.00,78.00,78.00,78.00,6000
2016-11-21,75.00,81.00,70.60,70.60,9000
2016-11-22,65.00,65.00,59.00,63.50,9000
2016-11-23,64.30,67.30,64.30,67.30,6000
2016-11-25,70.70,75.20,70.70,75.20,6000
2016-11-28,77.90,77.90,77.90,77.90,3000
2016-11-29,78.70,79.15,77.00,79.15,9000
2016-11-30,75.00,81.00,75.00,81.00,6000
2016-12-02,71.00,78.00,71.00,78.00,6000
2016-12-05,82.25,84.80,77.10,83.10,162000
2016-12-06,81.00,81.00,79.00,79.00,42000
2016-12-07,80.00,80.00,80.00,80.00,48000
2016-12-08,85.90,85.90,79.10,80.00,51000
2016-12-09,80.00,84.95,80.00,84.95,60000
2016-12-12,80.00,86.60,80.00,86.45,39000
2016-12-13,86.00,86.00,86.00,86.00,3000
2016-12-14,84.95,84.95,84.95,84.95,3000
2016-12-15,79.25,79.25,79.25,79.25,3000
2016-12-19,81.25,81.25,81.25,81.25,3000
2016-12-23,82.00,82.00,82.00,82.00,3000
2016-12-26,84.00,84.00,84.00,84.00,3000
2016-12-29,84.00,84.00,84.00,84.00,3000
2017-01-05,80.00,80.00,79.00,80.00,12000
2017-01-06,85.70,85.70,78.15,85.60,12000
2017-01-09,78.00,81.00,78.00,81.00,9000
2017-01-16,80.00,80.00,80.00,80.00,3000
2017-01-25,80.50,80.50,80.50,80.50,6000
2017-01-27,80.25,80.25,80.25,80.25,6000
2017-01-31,75.00,93.00,68.50,83.60,27000
2017-02-06,77.00,77.00,77.00,77.00,3000
2017-02-09,77.00,77.00,77.00,77.00,3000
2017-02-14,81.00,81.00,81.00,81.00,3000
2017-02-17,76.00,91.90,76.00,91.90,42000
2017-02-20,85.50,87.00,85.00,87.00,9000
2017-02-21,85.00,85.00,85.00,85.00,3000
2017-02-27,80.00,80.00,80.00,80.00,3000
2017-02-28,81.00,81.00,81.00,81.00,3000
2017-03-01,78.00,78.00,78.00,78.00,3000
2017-03-03,72.20,73.30,72.20,73.30,6000
2017-03-06,71.50,71.50,71.50,71.50,3000
2017-03-08,73.10,73.10,71.50,71.50,6000
2017-03-09,67.05,67.05,67.05,67.05,3000
2017-03-17,74.70,74.70,73.00,73.00,6000
2017-03-20,71.50,71.50,66.00,66.00,6000
2017-03-21,66.00,66.60,63.00,66.60,12000
2017-03-28,64.10,70.40,64.10,68.10,18000
2017-04-07,70.75,70.80,69.50,69.50,12000
2017-04-10,71.90,71.90,71.90,71.90,3000
2017-04-20,76.50,76.50,76.50,76.50,1500
2017-04-24,88.95,88.95,65.00,70.00,13500
2017-04-25,72.00,72.00,72.00,72.00,1500
2017-04-27,72.00,81.00,72.00,78.00,9000
2017-04-28,72.50,74.00,72.50,74.00,4500
2017-05-02,78.00,78.00,78.00,78.00,3000
2017-05-09,72.10,72.10,72.10,72.10,6000
2017-05-10,74.00,74.00,74.00,74.00,1500
2017-05-12,72.50,72.50,72.50,72.50,3000
2017-05-15,76.00,76.00,76.00,76.00,1500
2017-05-17,75.00,75.00,73.50,73.50,6000
2017-05-19,72.00,72.50,72.00,72.25,3000
2017-05-29,71.50,72.00,71.50,72.00,4500
2017-05-30,71.00,71.00,70.00,70.00,4500
