Date,Open,High,Low,Close,Volume
2023-11-01,214.00,218.00,203.30,203.40,327000
2023-11-02,194.40,194.70,193.25,193.35,123600
2023-11-03,189.00,189.00,183.70,183.70,69000
2023-11-06,175.00,177.95,174.55,174.55,70800
2023-11-07,166.05,183.25,165.85,176.20,95400
2023-11-08,176.20,176.20,167.40,167.85,25200
2023-11-09,172.05,176.20,166.00,176.20,21600
2023-11-10,184.95,185.00,184.40,185.00,16800
2023-11-13,201.90,201.90,189.00,200.15,36000
2023-11-15,195.15,210.15,191.00,210.15,121200
2023-11-16,214.95,225.00,205.00,209.00,95400
2023-11-17,214.85,214.85,206.50,206.90,19800
2023-11-20,200.50,210.00,196.00,196.50,24600
2023-11-21,200.00,200.00,195.00,195.10,12600
2023-11-22,195.00,196.00,192.00,192.00,8400
2023-11-23,190.20,193.25,183.40,191.75,28200
2023-11-24,197.90,203.95,192.25,193.70,34200
2023-11-28,192.30,203.50,192.30,202.50,15600
2023-11-29,195.00,202.00,195.00,201.95,7800
2023-11-30,202.00,202.00,194.00,197.55,6000
2023-12-01,201.00,201.00,195.00,195.10,16800
2023-12-04,195.25,198.00,192.30,193.25,10200
2023-12-05,196.30,196.30,191.20,192.00,4200
2023-12-06,190.05,195.00,185.15,192.70,16800
2023-12-07,190.00,194.40,188.05,190.05,9600
2023-12-08,190.05,190.05,183.50,185.20,17400
2023-12-11,171.10,183.75,171.10,181.75,17400
2023-12-12,178.00,187.95,178.00,187.90,7800
2023-12-13,187.90,194.00,182.00,189.30,13200
2023-12-14,188.00,200.00,186.60,187.25,26400
2023-12-15,191.90,195.00,189.00,193.40,13800
2023-12-18,188.30,200.00,188.30,199.05,21000
2023-12-19,200.00,200.00,195.05,196.00,11400
2023-12-20,199.80,209.00,195.00,196.50,69600
2023-12-21,201.00,201.00,201.00,201.00,600
2023-12-22,201.00,201.00,201.00,201.00,1200
2023-12-26,199.00,203.00,190.00,193.20,12600
2023-12-27,198.00,206.00,198.00,204.10,27000
2023-12-28,207.00,207.00,197.50,202.00,10800
2023-12-29,205.00,208.95,196.60,199.85,118200
2024-01-01,198.15,239.80,190.00,239.65,888600
2024-01-02,254.00,270.00,237.55,253.05,245400
2024-01-03,263.90,300.00,250.00,284.70,338400
2024-01-04,296.00,325.00,290.60,314.95,261000
2024-01-05,321.95,322.95,301.00,315.10,49800
2024-01-08,327.00,342.00,313.60,332.50,107400
2024-01-09,344.00,348.95,331.10,339.70,49800
2024-01-10,340.00,373.65,331.00,371.65,144000
2024-01-11,397.00,397.00,350.00,374.10,111600
2024-01-12,393.00,394.00,366.00,367.35,29400
2024-01-15,377.95,377.95,361.10,370.50,16200
2024-01-16,376.90,376.90,360.00,363.30,40200
2024-01-17,363.40,375.00,360.00,363.75,40800
2024-01-18,370.00,375.00,355.05,366.70,17400
2024-01-19,369.05,403.35,369.05,391.90,117000
2024-01-20,398.00,411.90,385.00,387.95,25200
2024-01-23,392.00,398.80,366.05,381.90,22200
2024-01-24,381.05,386.50,375.00,384.95,57600
2024-01-25,362.05,382.95,362.05,375.20,7200
2024-01-29,375.05,375.05,362.25,365.75,13800
2024-01-30,365.75,365.75,330.75,339.65,28800
2024-01-31,355.00,366.90,347.00,353.85,12600
2024-02-01,353.85,353.85,344.00,352.95,3600
2024-02-02,330.30,345.00,323.10,342.95,40800
2024-02-05,354.00,367.00,343.00,343.00,9600
2024-02-06,343.00,376.00,343.00,369.20,25200
2024-02-07,375.00,385.00,357.55,361.05,14400
2024-02-08,360.00,360.00,340.00,343.15,16800
2024-02-09,345.00,355.95,319.05,354.00,10800
2024-02-12,348.95,349.00,318.60,322.20,18000
2024-02-13,310.00,312.00,290.00,309.80,47400
2024-02-14,309.00,309.00,279.00,290.15,24000
2024-02-15,298.95,303.30,281.00,292.75,89400
2024-02-16,291.00,291.00,291.00,291.00,1200
2024-02-19,276.45,320.10,276.45,320.10,28800
2024-02-20,339.00,351.00,318.05,327.00,4200
2024-02-21,319.05,319.05,313.50,315.00,3000
2024-02-22,313.95,313.95,305.00,305.00,1800
2024-02-23,300.60,310.00,300.60,310.00,1800
2024-02-26,318.00,318.00,310.00,310.00,1800
2024-02-27,316.45,316.45,310.00,311.35,3000
2024-02-28,311.35,311.35,293.00,299.25,16200
2024-02-29,300.00,300.00,295.10,295.10,1200
2024-03-01,295.00,295.00,295.00,295.00,3600
2024-03-04,295.00,295.00,272.30,283.30,12600
2024-03-05,280.00,286.90,275.85,276.40,5400
2024-03-06,276.20,276.20,265.45,274.90,6600
2024-03-07,280.00,302.00,280.00,293.90,8400
2024-03-11,285.05,287.00,264.55,270.55,12000
2024-03-12,270.55,270.55,243.50,260.00,19800
2024-03-13,267.00,284.90,234.00,234.00,97200
2024-03-14,248.40,249.80,248.40,249.75,3000
2024-03-15,249.75,249.75,239.45,241.65,3600
2024-03-18,249.00,251.00,242.00,245.00,5400
2024-03-19,226.00,260.00,226.00,252.35,27000
2024-03-20,259.95,277.00,259.50,267.95,7200
2024-03-21,293.00,293.50,275.65,278.30,9000
2024-03-22,275.05,306.10,275.05,305.85,22800
2024-03-26,310.00,315.25,301.00,304.75,24000
2024-03-27,303.00,303.00,289.55,289.55,12600
2024-03-28,294.00,299.00,275.10,275.10,19200
2024-04-01,275.10,288.85,275.10,288.85,9000
2024-04-02,295.00,300.00,295.00,300.00,3600
2024-04-03,310.00,310.00,295.00,297.00,3000
2024-04-04,295.00,303.80,295.00,303.80,2400
2024-04-05,290.00,290.00,288.65,288.65,3600
2024-04-08,288.65,298.00,288.65,298.00,1200
2024-04-09,305.00,305.00,288.15,295.95,2400
2024-04-10,304.00,304.00,281.15,281.15,5400
2024-04-12,271.20,272.00,271.20,271.40,3000
2024-04-15,269.85,269.85,269.85,269.85,600
2024-04-16,269.80,269.80,262.50,262.50,1200
2024-04-18,273.40,275.60,265.00,275.60,9000
2024-04-19,265.65,275.55,265.60,268.00,2400
2024-04-22,267.10,281.00,267.00,277.15,5400
2024-04-23,279.15,288.00,279.10,288.00,4200
2024-04-24,288.00,288.00,282.15,282.15,1800
2024-04-25,282.15,282.15,282.15,282.15,600
2024-04-26,276.50,281.50,273.00,275.85,6600
2024-04-29,287.00,289.60,287.00,289.60,19200
2024-04-30,300.00,302.80,293.50,297.90,7200
2024-05-02,291.50,300.00,285.00,293.20,7200
2024-05-03,285.00,294.95,285.00,294.95,1200
2024-05-06,294.00,294.00,282.65,282.65,1800
2024-05-07,269.00,270.00,268.55,268.55,7800
2024-05-08,260.75,261.00,260.75,260.90,2400
2024-05-09,269.80,273.80,253.25,264.15,6600
2024-05-13,258.25,275.00,258.10,275.00,3000
2024-05-14,269.25,283.00,269.25,283.00,3600
2024-05-15,293.00,293.00,272.50,276.85,4200
2024-05-16,271.20,271.20,267.00,267.00,1200
2024-05-17,273.30,280.35,273.30,280.35,5400
2024-05-18,294.35,294.35,294.35,294.35,4800
2024-05-21,309.00,309.05,309.00,309.05,12000
2024-05-22,324.50,324.50,301.50,322.45,162000
2024-05-23,324.00,338.55,320.00,327.50,93600
2024-05-24,334.00,340.95,325.00,325.05,15600
2024-05-27,329.90,338.00,320.00,325.15,42000
2024-05-28,332.00,332.00,309.00,309.00,3600
2024-05-29,304.95,309.00,304.00,304.00,4200
2024-05-30,319.20,319.20,301.00,303.75,19200
2024-05-31,314.90,314.90,296.90,303.20,1800
2024-06-03,293.05,295.15,290.50,293.10,4200
2024-06-04,293.10,294.35,278.45,283.15,12600
2024-06-05,282.85,282.85,279.95,279.95,4200
2024-06-06,282.00,293.80,282.00,293.40,7200
2024-06-07,306.95,319.95,306.95,318.00,4800
2024-06-10,342.45,342.45,318.25,334.60,39600
2024-06-11,335.00,357.95,323.30,347.65,23400
2024-06-12,350.00,373.50,341.15,358.00,27000
2024-06-13,372.95,384.95,350.15,379.50,58800
2024-06-14,384.00,398.45,370.00,396.45,72600
2024-06-18,412.00,416.25,393.00,413.55,91200
2024-06-19,432.85,434.20,418.60,433.40,73200
2024-06-20,440.00,455.00,411.75,421.85,40200
2024-06-21,436.75,439.95,400.75,400.75,15600
2024-06-24,380.75,420.75,380.75,416.95,74400
2024-06-25,418.95,435.70,416.95,433.45,52800
2024-06-26,449.95,449.95,422.00,433.45,30000
2024-06-27,440.00,440.00,412.60,420.95,15000
2024-06-28,435.50,435.50,415.00,428.70,57000
2024-07-01,439.65,450.10,439.65,450.10,76800
2024-07-02,472.60,472.60,443.25,451.20,78000
2024-07-03,458.00,473.75,458.00,471.80,81000
2024-07-04,472.00,494.75,464.40,489.80,75600
2024-07-05,499.95,514.25,489.00,514.05,80400
2024-07-08,531.95,539.75,514.05,520.00,24600
2024-07-09,539.95,539.95,494.00,507.40,61800
2024-07-10,529.90,529.90,484.00,512.45,31800
2024-07-11,536.50,536.50,504.00,507.35,5400
2024-07-12,517.90,529.65,507.35,515.30,16200
2024-07-15,530.90,530.90,510.00,524.80,3000
2024-07-16,523.70,523.70,501.00,519.00,4800
2024-07-18,529.00,529.00,493.05,494.90,18000
2024-07-19,510.00,510.00,475.00,479.55,9600
2024-07-22,469.95,501.85,469.95,491.60,20400
2024-07-23,502.85,502.85,467.05,479.40,7200
2024-07-24,494.90,500.95,494.00,496.95,2400
2024-07-25,499.20,516.90,490.00,504.75,6600
2024-07-26,514.95,518.00,505.20,517.95,4200
2024-07-29,509.45,520.00,509.45,520.00,1200
2024-07-30,524.50,544.90,524.50,525.00,7200
2024-07-31,530.00,530.00,505.40,512.60,6600
2024-08-01,524.50,524.50,489.00,499.90,4200
2024-08-02,509.00,509.00,485.00,500.00,4200
2024-08-05,504.95,504.95,475.10,482.50,10800
2024-08-06,503.95,503.95,486.50,486.50,11400
2024-08-07,527.95,527.95,495.00,505.00,2400
2024-08-08,523.50,523.50,513.00,513.00,1200
2024-08-09,519.95,519.95,511.00,511.00,1200
2024-08-12,543.90,543.90,501.00,510.85,4800
2024-08-13,524.00,524.00,487.85,505.00,5400
2024-08-14,504.70,504.70,490.00,500.95,30600
2024-08-16,517.00,517.00,476.70,506.80,15000
2024-08-19,515.95,527.50,507.00,512.75,13200
2024-08-20,523.00,523.00,492.90,492.90,4800
2024-08-21,514.00,514.00,486.65,508.15,36600
2024-08-22,507.80,530.00,496.10,500.00,24600
2024-08-23,524.80,524.80,484.95,487.45,6600
2024-08-26,517.45,517.45,481.10,491.00,2400
2024-08-27,490.00,490.00,490.00,490.00,600
2024-08-28,482.55,482.55,463.50,464.35,3600
2024-08-29,492.40,492.40,417.95,424.55,40200
2024-08-30,416.90,459.95,400.05,446.30,17400
2024-09-02,462.00,469.95,441.00,450.00,4800
2024-09-03,487.80,487.80,429.00,440.25,9000
2024-09-04,428.10,464.00,428.00,441.45,7800
2024-09-05,437.00,437.00,432.00,434.90,5400
2024-09-06,424.95,440.05,424.95,438.00,5400
2024-09-09,462.00,462.00,440.20,445.10,1800
2024-09-10,450.00,450.00,440.10,440.10,4800
2024-09-11,448.95,450.00,448.95,450.00,13200
2024-09-12,440.00,450.00,435.00,442.50,3000
2024-09-13,464.00,464.00,440.00,440.00,1200
2024-09-17,415.00,439.90,415.00,439.90,4200
2024-09-18,472.95,472.95,411.95,418.80,7200
2024-09-19,437.70,437.70,397.10,415.40,13800
2024-09-20,420.00,447.00,420.00,433.50,1200
2024-09-23,440.75,440.75,440.75,440.75,600
2024-09-24,448.00,449.10,427.00,427.50,7200
2024-09-25,415.65,415.65,406.85,415.00,1800
2024-09-26,428.95,449.50,425.00,442.00,7200
2024-09-27,450.95,450.95,418.45,420.00,10800
2024-09-30,439.95,439.95,403.00,409.25,6000
2024-10-01,404.00,405.00,400.30,401.65,3000
2024-10-03,427.80,427.80,385.05,385.05,3000
2024-10-04,400.95,401.00,385.05,394.90,4800
2024-10-07,385.30,399.00,384.00,394.10,4800
2024-10-09,410.00,463.95,401.00,417.65,38400
2024-10-10,449.00,449.00,400.00,418.70,17400
2024-10-11,432.00,449.50,417.00,440.10,46200
2024-10-14,457.00,457.00,445.40,447.85,8400
2024-10-15,457.70,457.70,441.00,441.00,1800
2024-10-16,448.55,449.95,416.00,421.60,6600
2024-10-17,429.00,429.00,410.00,410.00,1200
2024-10-18,404.00,443.80,400.00,419.30,6600
2024-10-21,452.90,452.90,415.00,415.00,1200
2024-10-22,433.00,433.00,383.05,383.05,4200
2024-10-23,383.05,390.85,375.85,384.00,3600
2024-10-24,378.00,405.00,350.00,380.60,16200
2024-10-25,394.95,394.95,368.00,380.70,4800
2024-10-28,390.00,428.95,390.00,396.05,3600
2024-10-30,415.00,426.80,403.20,416.80,4200
2024-10-31,422.80,422.80,422.80,422.80,600
2024-11-01,422.00,445.00,421.00,431.40,1500
2024-11-04,416.50,419.90,416.50,419.90,600
2024-11-05,438.85,438.85,400.00,400.00,900
2024-11-07,424.95,424.95,419.00,419.00,1200
2024-11-11,410.95,422.00,410.95,422.00,16500
2024-11-12,424.00,424.00,410.00,417.00,600
2024-11-13,399.15,400.00,385.50,392.75,1800
2024-11-14,409.60,410.05,395.40,402.00,9000
2024-11-18,434.00,434.00,379.00,396.20,6300
2024-11-19,380.00,396.00,367.00,369.10,6600
2024-11-21,354.55,382.00,338.15,379.60,11100
2024-11-22,359.15,365.00,350.05,350.05,2100
2024-11-25,352.00,415.00,345.00,365.25,9900
2024-11-26,370.20,389.00,365.00,373.40,4800
2024-11-27,385.00,408.00,365.35,368.00,3900
2024-11-28,394.00,394.00,355.05,355.05,2400
2024-11-29,368.00,368.00,354.10,354.10,1500
2024-12-02,354.10,354.10,345.40,348.80,12900
2024-12-03,350.20,354.00,330.00,332.90,26100
2024-12-04,332.90,337.30,317.00,321.90,12000
2024-12-05,303.50,335.95,301.05,332.65,8400
2024-12-06,345.00,345.00,325.00,325.00,1500
2024-12-09,324.00,324.00,300.00,305.25,15000
2024-12-10,323.90,323.90,300.00,306.65,8400
2024-12-11,319.50,319.50,303.20,304.60,5700
2024-12-12,308.00,308.00,298.40,300.40,11400
2024-12-13,295.00,302.00,280.00,291.75,15300
2024-12-16,290.00,294.90,289.00,291.00,2700
2024-12-17,312.90,312.90,271.65,285.85,21300
2024-12-18,298.85,298.85,277.00,280.00,16200
2024-12-19,268.40,317.95,268.40,292.00,13800
2024-12-20,301.95,301.95,276.10,282.35,17400
2024-12-23,297.80,304.95,279.00,282.00,10200
2024-12-24,285.00,285.00,255.40,266.45,13500
2024-12-26,272.50,278.75,250.00,254.85,15300
2024-12-27,245.10,276.05,245.10,256.55,26400
2024-12-30,259.95,269.35,259.90,269.35,20700
2024-12-31,282.75,282.75,259.00,270.20,14700
2025-01-01,274.90,274.90,260.00,264.70,6900
2025-01-02,277.00,277.00,264.00,268.80,16200
2025-01-03,282.00,282.00,265.40,279.95,3900
2025-01-06,289.90,293.90,289.75,290.20,23400
2025-01-07,304.00,304.70,300.20,304.70,9000
2025-01-08,319.00,319.90,319.00,319.75,13200
2025-01-09,319.75,321.10,303.80,310.00,20700
