Date,Open,High,Low,Close,Volume
2024-09-04,115.05,120.80,115.05,120.80,854400
2024-09-05,126.80,126.80,126.80,126.80,104400
2024-09-06,133.10,133.10,120.50,120.90,958800
2024-09-09,114.85,117.00,114.85,114.85,420000
2024-09-10,111.60,114.80,109.10,109.15,198000
2024-09-11,109.00,114.60,104.10,114.10,106800
2024-09-12,115.00,116.00,110.00,111.00,94800
2024-09-13,110.65,110.65,105.45,109.00,30000
2024-09-16,109.00,109.00,103.60,107.05,56400
2024-09-17,108.00,108.00,105.25,107.00,19200
2024-09-18,110.00,114.00,106.00,107.30,32400
2024-09-19,108.55,108.55,104.00,104.10,21600
2024-09-20,105.00,106.20,103.05,106.20,19200
2024-09-23,106.00,106.20,105.50,105.50,10800
2024-09-24,106.00,107.50,106.00,106.90,8400
2024-09-25,105.50,107.90,104.00,104.70,22800
2024-09-26,105.00,105.00,104.95,105.00,4800
2024-09-27,103.25,104.00,103.00,103.50,9600
2024-09-30,105.00,110.10,105.00,106.65,32400
2024-10-01,104.00,112.40,103.65,108.50,26400
2024-10-03,105.55,112.00,104.65,109.00,34800
2024-10-04,111.40,111.40,105.00,108.00,21600
2024-10-07,106.00,108.50,104.00,108.25,10800
2024-10-08,109.10,109.90,104.05,107.95,20400
2024-10-09,105.25,108.50,105.25,108.50,2400
2024-10-10,106.00,108.45,106.00,108.40,4800
2024-10-11,108.40,108.40,105.50,105.50,4800
2024-10-14,105.50,105.50,104.15,104.30,9600
2024-10-15,104.15,104.15,102.10,103.95,7200
2024-10-17,103.00,103.00,100.00,100.05,8400
2024-10-18,96.55,100.55,96.55,100.50,6000
2024-10-21,97.50,97.55,96.80,97.40,8400
2024-10-22,93.55,93.55,93.50,93.50,3600
2024-10-23,96.00,97.60,96.00,97.60,4800
2024-10-25,108.00,108.00,86.10,99.30,8400
2024-10-28,92.00,96.00,92.00,96.00,3600
2024-10-29,95.10,97.05,95.10,97.05,3600
2024-10-30,103.70,103.70,103.55,103.55,3600
2024-11-04,103.55,103.55,103.50,103.50,2400
2024-11-06,102.50,108.00,95.55,102.30,15600
2024-11-07,104.95,105.00,104.95,104.95,2400
2024-11-08,106.00,106.55,97.05,102.00,7200
2024-11-11,99.00,99.35,98.50,99.25,7200
2024-11-12,96.10,98.00,96.10,98.00,3600
2024-11-13,98.00,104.00,98.00,101.80,10800
2024-11-14,100.05,100.05,100.05,100.05,6000
2024-11-18,90.05,105.05,90.05,105.05,16800
2024-11-19,101.05,107.95,101.05,104.50,21600
2024-11-21,107.60,108.00,105.90,105.95,13200
2024-11-29,105.30,110.00,98.20,109.00,32400
2024-12-02,108.00,108.00,104.10,104.10,3600
2024-12-03,101.05,101.05,101.05,101.05,1200
2024-12-04,100.05,101.00,100.05,100.55,6000
2024-12-06,99.25,99.25,99.25,99.25,1200
2024-12-11,100.00,100.00,100.00,100.00,1200
2024-12-12,92.05,96.00,92.05,95.75,4800
2024-12-13,98.90,98.90,98.25,98.25,2400
2024-12-16,97.00,97.00,97.00,97.00,2400
2024-12-17,97.00,101.00,97.00,101.00,3600
2024-12-19,101.00,106.00,101.00,102.00,13200
2024-12-20,97.05,98.00,97.05,98.00,4800
2024-12-26,90.50,90.50,90.50,90.50,1200
2024-12-27,92.00,92.00,92.00,92.00,1200
2024-12-31,92.00,92.20,92.00,92.20,13200
2025-01-01,96.00,96.00,96.00,96.00,1200
2025-01-02,96.00,96.50,96.00,96.50,4800
2025-01-08,98.90,99.50,98.90,99.05,9600
2025-01-09,99.00,99.00,92.50,92.50,3600
2025-01-10,106.00,111.00,94.35,101.90,62400
2025-01-13,96.00,96.00,95.45,95.45,4800
2025-01-14,97.00,97.00,94.10,94.10,3600
2025-01-15,94.20,94.20,94.20,94.20,3600
2025-01-16,94.20,94.20,94.20,94.20,3600
2025-01-17,91.85,104.10,91.85,104.10,7200
2025-01-22,93.00,93.00,89.65,90.00,12000
2025-01-23,94.00,94.00,94.00,94.00,1200
2025-01-24,87.55,87.55,87.55,87.55,1200
2025-01-28,87.55,89.95,71.00,89.95,7200
2025-01-29,90.00,94.45,90.00,94.45,3600
2025-01-30,85.30,85.30,85.30,85.30,2400
2025-01-31,86.65,87.55,86.65,87.45,4800
2025-02-01,84.50,84.50,84.50,84.50,1200
2025-02-03,99.00,99.00,99.00,99.00,1200
2025-02-05,86.75,91.30,86.75,90.70,6000
2025-02-06,88.00,88.00,88.00,88.00,2400
2025-02-07,90.90,96.00,90.90,96.00,3600
2025-02-13,88.00,89.00,87.50,88.60,38400
2025-02-14,88.60,89.00,75.00,89.00,30000
2025-02-17,76.00,82.50,76.00,82.50,2400
2025-02-18,90.00,90.00,85.00,85.00,12000
2025-02-19,95.00,95.00,95.00,95.00,8400
2025-02-20,85.05,85.10,85.00,85.00,6000
2025-02-24,83.00,98.95,82.70,82.70,8400
2025-02-25,84.00,84.00,84.00,84.00,1200
2025-02-27,82.90,82.90,82.90,82.90,1200
2025-02-28,83.50,84.00,83.50,83.80,3600
2025-03-03,82.35,82.35,82.35,82.35,1200
2025-03-04,82.50,82.50,82.50,82.50,1200
2025-03-05,81.00,81.00,81.00,81.00,3600
2025-03-06,82.10,84.00,82.10,83.00,6000
2025-03-07,83.15,85.00,82.00,84.90,7200
2025-03-10,85.10,85.10,80.00,80.25,9600
