Date,Open,High,Low,Close,Volume
2024-12-18,199.00,208.95,189.05,208.95,1296000
2024-12-19,202.00,219.35,198.55,219.35,366000
2024-12-20,230.30,230.30,215.00,229.90,602000
2024-12-23,235.00,235.00,218.40,218.40,182000
2024-12-24,210.00,227.70,207.50,224.70,247000
2024-12-26,223.00,223.00,213.50,214.55,123000
2024-12-27,205.30,205.90,203.85,203.85,70000
2024-12-30,198.00,205.50,193.65,193.65,53000
2024-12-31,184.00,198.00,184.00,191.75,125000
2025-01-01,185.05,198.25,184.00,194.35,62000
2025-01-02,197.50,200.00,185.15,192.20,78000
2025-01-03,189.00,195.00,185.00,186.15,64000
2025-01-06,185.00,185.00,172.00,173.35,182000
2025-01-07,172.50,186.30,169.95,184.25,128000
2025-01-08,185.00,185.50,179.90,182.55,34000
2025-01-09,180.00,180.00,170.00,173.60,41000
2025-01-10,174.30,174.30,169.00,170.25,27000
2025-01-13,170.00,178.80,159.95,161.40,81000
2025-01-14,171.30,171.30,162.00,164.00,25000
2025-01-15,165.00,170.00,155.00,163.15,268000
2025-01-16,167.00,180.00,166.50,172.75,94000
2025-01-17,172.00,186.00,172.00,183.00,129000
2025-01-20,188.95,191.25,185.00,190.05,58000
2025-01-21,192.00,192.00,179.00,188.00,29000
2025-01-22,185.00,185.00,171.50,174.25,40000
2025-01-23,174.25,179.00,169.20,173.95,27000
2025-01-24,171.10,171.10,159.00,160.60,82000
2025-01-27,174.00,174.00,152.00,158.90,45000
2025-01-28,160.00,164.00,147.00,149.45,130000
2025-01-29,149.00,161.50,149.00,160.40,38000
2025-01-30,162.05,163.90,158.00,159.60,27000
2025-01-31,167.00,167.00,162.00,162.25,46000
2025-02-01,164.85,173.80,164.80,171.70,58000
2025-02-03,167.45,169.85,160.00,161.80,36000
2025-02-04,165.40,169.90,161.35,169.50,45000
2025-02-05,169.85,170.50,166.00,168.60,7000
2025-02-06,162.40,164.50,159.10,159.70,50000
2025-02-07,162.00,162.00,156.00,158.00,26000
2025-02-10,158.00,158.00,152.55,155.00,26000
2025-02-11,155.00,155.00,135.00,138.80,94000
2025-02-12,140.20,145.00,138.40,143.30,50000
2025-02-13,136.00,150.00,136.00,140.05,30000
2025-02-14,137.10,137.10,130.00,136.90,41000
2025-02-17,134.00,135.00,127.00,129.45,23000
2025-02-18,130.00,132.80,120.30,123.15,62000
2025-02-19,122.00,139.00,122.00,135.05,50000
2025-02-20,136.20,140.75,135.10,138.50,30000
2025-02-21,138.40,142.00,132.00,133.35,18000
