Date,Open,High,Low,Close,Volume
2025-07-07,171.00,171.00,162.45,162.45,704000
2025-07-08,154.35,154.35,154.35,154.35,5600
2025-07-09,146.65,153.60,146.65,150.80,232000
2025-07-10,150.80,150.80,143.35,143.95,31200
2025-07-11,144.00,144.00,140.20,141.50,12800
2025-07-14,138.30,145.00,134.45,143.05,43200
2025-07-15,138.00,140.00,138.00,139.50,20000
2025-07-16,146.45,146.45,139.00,139.00,60000
2025-07-17,139.00,143.40,138.60,139.10,13600
2025-07-18,141.00,143.85,139.00,143.85,37600
2025-07-21,142.00,146.00,135.75,137.60,106400
2025-07-22,138.00,139.80,134.50,135.05,19200
2025-07-23,133.55,133.55,127.55,127.85,12000
2025-07-24,123.30,130.00,123.30,128.35,8000
2025-07-25,129.50,131.80,118.75,119.40,48800
2025-07-28,118.00,118.00,106.75,107.95,27200
2025-07-29,107.00,125.00,103.00,120.50,330400
2025-07-30,125.50,125.50,118.00,121.50,24800
2025-07-31,123.00,123.00,112.30,113.30,19200
2025-08-01,110.70,113.70,106.70,107.35,12000
2025-08-04,113.30,113.30,105.60,109.15,2400
2025-08-05,109.35,116.80,109.35,116.25,17600
2025-08-06,113.00,122.95,113.00,122.10,72800
2025-08-07,122.50,123.80,120.00,123.80,37600
2025-08-08,123.50,133.70,123.50,129.65,109600
2025-08-11,129.70,133.15,125.50,131.25,76000
2025-08-12,128.00,129.00,128.00,129.00,3200
2025-08-13,129.00,132.00,129.00,131.80,4000
2025-08-18,133.25,138.00,132.25,137.35,44000
2025-08-19,137.35,140.30,137.35,138.50,79200
2025-08-20,140.10,144.00,140.00,140.65,8800
2025-08-21,143.00,144.50,138.55,142.30,8800
2025-08-22,140.10,140.10,139.00,140.00,6400
2025-08-25,141.00,144.00,136.25,138.00,19200
2025-08-26,136.00,143.30,130.95,137.15,11200
2025-08-29,133.55,133.55,115.95,119.50,22400
2025-09-01,119.50,124.00,119.50,124.00,4000
2025-09-02,120.05,124.30,117.70,124.30,6400
2025-09-03,119.00,122.00,119.00,122.00,1600
2025-09-04,121.10,121.10,117.00,117.00,6400
2025-09-05,117.00,119.00,117.00,118.00,3200
2025-09-08,116.60,117.00,116.00,116.00,64000
2025-09-09,112.05,113.00,112.05,113.00,1600
2025-09-11,117.80,122.80,117.80,122.00,4000
2025-09-15,117.00,121.95,117.00,121.95,1600
2025-09-16,116.05,118.00,116.05,118.00,2400
2025-09-17,115.00,115.00,110.35,113.45,2400
2025-09-18,113.50,118.00,113.50,118.00,4000
2025-09-19,117.75,117.80,117.75,117.80,6400
2025-09-22,125.00,125.00,124.00,124.00,1600
2025-09-24,121.00,121.00,118.00,121.00,3200
2025-09-25,120.50,120.50,119.00,120.35,14400
2025-09-26,116.50,116.50,115.00,115.00,3200
2025-09-30,115.00,118.00,115.00,117.00,3200
2025-10-01,120.70,121.00,120.60,120.75,3200
2025-10-06,116.00,116.00,116.00,116.00,60800
2025-10-07,120.80,125.00,116.00,124.00,19200
2025-10-08,122.00,122.00,120.00,122.00,31200
2025-10-09,123.00,123.00,123.00,123.00,21600
2025-10-13,121.80,122.00,121.80,122.00,13600
2025-10-15,122.90,123.00,122.90,123.00,4000
2025-10-17,124.50,144.00,123.00,134.90,40800
2025-10-20,150.00,150.00,136.80,139.40,4000
2025-10-23,139.25,145.00,136.00,136.25,5600
2025-10-24,136.00,141.50,136.00,141.50,2400
2025-10-28,131.00,140.85,131.00,140.00,5600
2025-10-29,138.00,138.00,138.00,138.00,24000
2025-10-30,137.00,137.00,129.00,129.65,5600
2025-10-31,136.50,144.50,136.50,142.55,20000
2025-11-04,131.00,135.00,131.00,135.00,1600
2025-11-06,138.00,138.00,131.70,136.70,2400
2025-11-11,134.00,134.00,134.00,134.00,800
2025-11-14,134.00,134.00,127.05,133.50,12800
2025-11-17,125.00,157.00,125.00,145.75,13600
2025-11-18,146.00,146.00,143.50,143.50,2400
2025-11-19,136.05,137.05,134.15,134.15,3200
2025-11-21,135.00,145.95,135.00,141.85,12000
2025-11-24,148.95,148.95,137.05,146.30,24000
2025-11-25,140.00,148.00,140.00,146.85,35200
2025-11-27,141.00,141.00,141.00,141.00,18400
2025-11-28,141.00,142.00,138.00,140.50,13600
2025-12-01,135.00,135.00,135.00,135.00,800
2025-12-03,129.70,129.70,129.70,129.70,800
2025-12-04,122.00,122.00,122.00,122.00,800
2025-12-05,131.25,131.30,122.00,123.00,3200
2025-12-08,128.00,141.00,128.00,141.00,1600
2025-12-09,138.00,145.00,138.00,143.55,10400
2025-12-10,139.70,145.00,139.70,144.40,6400
2025-12-11,144.00,145.00,144.00,144.50,4000
2025-12-12,145.00,145.00,140.00,145.00,2400
2025-12-15,144.00,145.00,144.00,145.00,3200
2025-12-16,140.00,145.00,118.55,144.00,27200
2025-12-18,138.00,138.00,138.00,138.00,4000
2025-12-19,142.00,145.00,140.00,144.95,24800
2025-12-22,145.00,145.00,145.00,145.00,11200
2025-12-23,145.00,147.00,144.00,147.00,45600
2025-12-24,146.00,146.90,146.00,146.80,6400
2025-12-26,145.00,147.60,145.00,147.00,11200
2025-12-29,146.00,146.00,145.90,145.95,16000
2025-12-30,143.90,145.95,143.90,145.95,4800
2025-12-31,133.55,144.90,133.55,144.90,8000
2026-01-02,144.40,144.40,144.40,144.40,7200
2026-01-05,141.00,141.00,141.00,141.00,1600
2026-01-06,144.50,144.50,143.50,143.50,15200
2026-01-07,139.90,139.90,139.90,139.90,8800
2026-01-08,143.00,150.00,140.00,146.00,9600
2026-01-09,140.00,140.00,140.00,140.00,800
2026-01-14,140.00,145.00,139.00,139.00,4000
2026-01-19,140.00,141.00,140.00,141.00,29600
2026-01-20,142.50,142.80,141.50,141.50,16800
2026-01-21,140.00,144.95,138.00,143.00,31200
2026-01-22,138.00,147.00,138.00,147.00,7200
2026-01-23,138.00,138.00,138.00,138.00,800
2026-01-27,142.20,145.00,142.20,143.40,2400
2026-01-28,145.00,146.00,145.00,145.00,12800
2026-01-29,145.00,145.00,144.50,144.50,20800
2026-01-30,145.00,145.00,143.00,143.00,4000
2026-02-01,144.00,144.00,116.60,143.85,4000
2026-02-03,139.95,139.95,139.95,139.95,2400
2026-02-04,145.00,145.00,140.00,140.00,5600
2026-02-09,146.85,149.00,141.15,141.15,4800
2026-02-11,140.00,140.00,139.75,139.75,44800
2026-02-12,145.00,145.00,140.00,140.00,2400
2026-02-13,140.00,140.00,140.00,140.00,800
2026-02-16,135.00,135.00,130.00,130.00,1600
2026-02-17,136.00,136.00,135.00,135.00,16800
2026-02-20,128.00,134.00,128.00,134.00,1600
2026-02-23,140.00,140.00,135.00,135.00,5600
2026-02-24,147.00,147.00,147.00,147.00,800
2026-02-25,142.00,142.00,142.00,142.00,800
2026-03-02,139.00,139.00,133.00,137.00,6400
2026-03-05,140.00,164.40,140.00,154.40,63200
2026-03-06,140.00,164.00,140.00,156.40,21600
2026-03-09,153.00,160.00,153.00,157.50,2400
2026-03-10,153.80,155.00,153.80,155.00,1600
2026-03-11,155.00,155.00,155.00,155.00,800
2026-03-12,155.00,155.00,152.25,152.60,2400
2026-03-13,149.00,149.00,149.00,149.00,800
2026-03-17,144.00,144.00,144.00,144.00,4800
2026-03-18,152.00,152.00,150.00,150.00,1600
2026-03-19,150.00,150.00,150.00,150.00,1600
2026-03-23,140.15,143.00,140.15,143.00,1600
2026-03-24,145.15,145.15,145.15,145.15,800
2026-03-25,145.30,145.30,143.00,143.00,2400
2026-03-27,140.50,159.00,140.00,157.00,29600
2026-03-30,153.00,154.00,153.00,153.50,1600
2026-04-01,153.50,153.50,153.50,153.50,800
2026-04-02,143.00,143.00,140.00,140.00,17600
2026-04-06,148.80,148.80,141.00,141.20,9600
2026-04-07,142.00,142.00,142.00,142.00,800
2026-04-08,142.00,142.00,142.00,142.00,2400
2026-04-13,144.00,144.00,144.00,144.00,800
2026-04-17,150.00,150.00,150.00,150.00,800
2026-04-20,150.00,150.00,147.20,147.20,1600
2026-04-23,160.00,160.00,145.00,145.00,4000
2026-04-24,140.20,140.20,135.60,136.10,2400
2026-04-28,136.00,136.00,131.50,133.50,2400
2026-04-29,130.00,130.00,130.00,130.00,800
2026-04-30,132.20,135.00,130.00,135.00,9600
2026-05-05,137.60,137.60,135.00,135.00,3200
2026-05-08,135.00,135.00,134.00,134.00,2400
2026-05-13,130.00,130.00,130.00,130.00,800
2026-05-14,125.10,125.10,114.60,118.15,4000
2026-05-15,118.15,118.15,115.40,115.40,1600
2026-05-19,113.50,113.95,113.50,113.95,4800
2026-05-20,113.80,113.80,113.80,113.80,800
2026-05-21,114.00,114.00,114.00,114.00,3200
2026-05-22,117.50,130.70,115.05,130.70,4000
2026-05-27,118.20,120.00,114.60,120.00,8800
2026-05-29,111.30,113.00,107.00,107.25,12000
2026-06-02,104.10,114.80,104.10,113.45,8000
2026-06-03,110.00,113.00,104.95,112.90,4000
2026-06-04,105.05,109.50,103.00,109.25,15200
2026-06-05,112.90,122.00,112.90,120.40,23200
2026-06-09,119.95,119.95,118.00,119.55,4000
2026-06-10,121.00,126.80,121.00,126.20,8000
2026-06-11,118.50,120.50,118.50,120.50,1600
2026-06-25,111.00,116.00,110.60,115.95,4000
2026-06-29,116.00,116.00,103.00,104.95,16000
2026-06-30,106.50,106.50,105.00,105.00,1600
2026-07-01,105.05,105.05,105.00,105.00,1600
2026-07-02,107.90,107.90,107.90,107.90,800
2026-07-09,107.90,108.95,107.90,108.40,1600
2026-07-15,101.50,102.80,90.00,91.50,44000
2026-07-16,97.00,97.00,97.00,97.00,800
2026-07-17,90.45,90.45,77.60,77.60,87200
2026-07-20,75.00,80.90,70.00,76.05,116800
2026-07-21,77.35,78.75,74.80,75.80,6400
2026-07-22,73.80,75.65,71.25,75.65,7200
2026-07-23,72.00,74.45,72.00,73.95,3200
2026-07-24,73.40,73.40,66.60,68.15,44000
2026-07-27,66.65,72.95,66.65,70.95,20800
2026-07-28,77.80,77.80,71.00,75.00,6400
2026-07-29,69.15,73.90,69.00,70.50,8000
2026-07-30,73.90,74.85,70.65,74.85,4000
2026-07-31,73.95,74.30,72.60,74.30,4000
2026-08-03,70.05,78.95,70.00,78.95,4000
2026-08-04,80.50,81.75,73.35,75.90,12000
2026-08-05,79.95,79.95,71.50,73.00,172800
2026-08-06,73.00,73.00,71.80,72.80,3200
2026-08-07,79.45,83.65,74.00,74.35,9600
2026-08-10,74.40,79.85,72.40,78.95,6400
2026-08-11,81.95,81.95,74.20,76.20,3200
2026-08-12,73.45,76.95,73.00,75.00,17600
2026-08-14,72.00,73.55,71.00,72.00,16800
2026-08-17,81.55,81.55,81.55,81.55,800
2026-08-24,73.10,73.10,65.25,65.55,51200
2026-08-25,65.00,66.20,65.00,65.00,35200
2026-08-26,65.00,65.00,65.00,65.00,19200
2026-08-27,62.00,75.35,62.00,69.00,5600
2026-08-28,65.20,69.10,65.00,66.55,18400
2026-08-31,72.95,72.95,69.00,69.00,2400
2026-09-01,65.85,71.80,65.15,68.80,10400
2026-09-02,70.40,70.40,65.40,69.40,12000
2026-09-03,71.15,71.15,65.85,69.95,3200
2026-09-04,68.50,71.95,68.50,71.95,3200
2026-09-07,68.50,69.00,66.05,68.95,3200
2026-09-09,70.75,70.75,70.75,70.75,800
2026-09-10,69.00,69.00,68.00,68.45,4000
2026-09-11,71.00,71.00,68.00,68.75,109600
2026-09-15,71.00,71.00,69.95,69.95,1600
2026-09-16,72.00,72.00,68.10,69.95,3200
2026-09-17,71.90,71.90,71.90,71.90,800
2026-09-18,69.00,71.95,61.00,65.35,24800
