Date,Open,High,Low,Close,Volume
2024-08-06,260.00,260.00,247.00,247.00,1297000
2024-08-07,234.65,234.65,234.65,234.65,105000
2024-08-08,222.95,246.35,222.95,246.35,2073000
2024-08-09,254.90,257.90,239.10,257.55,758000
2024-08-12,262.30,270.40,258.00,270.40,643000
2024-08-13,283.90,283.90,283.90,283.90,226000
2024-08-14,298.05,298.05,298.05,298.05,34000
2024-08-21,379.00,410.00,351.20,394.10,1751000
2024-08-22,392.00,399.80,364.00,377.20,383000
2024-08-23,384.00,452.60,376.00,426.65,1389000
2024-08-26,429.30,437.00,390.00,414.25,418000
2024-08-27,414.00,497.10,414.00,495.60,948000
2024-08-28,507.50,545.15,466.50,539.00,743000
2024-08-29,540.00,540.00,493.00,499.90,490000
2024-08-30,505.00,538.80,484.00,521.40,400000
2024-09-02,524.90,573.50,524.90,573.50,683000
2024-09-03,600.00,630.85,586.00,630.85,330000
2024-09-04,662.35,662.35,655.00,662.35,124000
2024-09-05,695.45,695.45,629.25,631.40,657000
2024-09-06,615.05,617.40,599.85,599.85,491000
2024-09-09,571.05,582.00,569.85,569.85,168000
2024-09-10,541.35,597.00,541.35,546.85,854000
2024-09-11,536.10,559.00,519.50,519.50,412000
2024-09-12,501.10,519.00,493.55,494.80,672000
2024-09-13,499.00,519.50,486.25,517.15,679000
2024-09-16,513.85,514.50,491.30,491.65,129000
2024-09-17,480.15,483.20,467.10,467.10,259000
2024-09-18,466.00,490.45,448.30,490.45,553000
2024-09-19,495.05,514.95,465.95,465.95,421000
2024-09-20,468.95,469.00,442.65,442.65,323000
2024-09-23,442.65,448.00,420.55,421.65,177000
2024-09-24,415.20,442.70,412.25,442.70,197000
2024-09-25,452.00,461.00,435.50,451.00,151000
2024-09-26,456.25,467.00,447.35,459.20,110000
2024-09-27,455.00,456.00,446.00,450.40,38000
2024-09-30,440.05,454.00,431.25,441.00,32000
2024-10-01,431.00,449.00,430.00,443.35,46000
2024-10-03,428.10,446.00,424.85,436.65,84000
2024-10-04,436.65,440.00,414.85,414.85,34000
2024-10-07,415.00,420.00,394.10,394.10,97000
2024-10-08,370.05,433.45,354.70,424.40,284000
2024-10-09,430.00,451.95,418.00,425.95,97000
2024-10-11,422.75,427.00,415.00,426.00,35000
2024-10-14,426.00,437.00,420.00,428.80,44000
2024-10-15,434.80,435.00,412.00,424.05,25000
2024-10-16,431.50,431.50,415.15,418.05,19000
2024-10-17,410.00,420.00,398.00,408.55,56000
2024-10-18,404.00,404.00,390.00,393.15,65000
2024-10-21,400.00,402.00,373.50,373.50,84000
2024-10-22,366.15,366.15,354.85,354.90,80000
2024-10-23,356.95,364.25,338.50,356.05,74000
2024-10-24,345.60,356.00,342.20,344.20,40000
