Date,Open,High,Low,Close,Volume
2023-11-06,88.90,93.30,86.10,93.30,2862000
2023-11-07,97.95,97.95,93.85,97.95,1262000
2023-11-08,102.80,102.80,102.80,102.80,150000
2023-11-09,107.90,107.90,107.90,107.90,458000
2023-11-10,112.40,112.40,102.50,107.05,1284000
2023-11-13,107.00,107.00,101.70,102.65,322000
2023-11-15,98.25,101.00,97.55,97.55,296000
2023-11-16,92.70,101.35,92.70,96.35,430000
2023-11-17,95.00,99.00,93.40,97.40,206000
2023-11-20,98.30,100.00,94.00,95.20,148000
2023-11-21,95.00,95.00,88.60,91.35,224000
2023-11-22,93.00,93.00,87.00,88.25,128000
2023-11-23,90.40,103.20,90.25,97.70,382000
2023-11-24,99.90,99.90,95.80,96.50,126000
2023-11-28,96.30,96.50,92.30,93.80,90000
2023-11-29,91.10,93.30,90.90,91.40,158000
2023-11-30,90.00,97.00,88.35,95.80,300000
2023-12-01,99.90,105.00,97.30,99.40,432000
2023-12-04,99.00,102.90,94.00,94.30,206000
2023-12-05,94.30,95.00,91.00,92.30,172000
2023-12-06,93.55,94.60,91.55,92.70,146000
2023-12-07,94.00,94.00,91.55,92.05,122000
2023-12-08,92.05,93.00,90.30,91.00,78000
2023-12-11,91.15,92.95,90.05,90.30,100000
2023-12-12,90.30,90.70,88.35,88.55,136000
2023-12-13,88.00,91.95,88.00,90.80,154000
2023-12-14,90.05,92.00,89.55,90.05,180000
2023-12-15,91.55,91.55,90.00,90.65,40000
2023-12-18,90.00,90.95,88.35,89.60,80000
2023-12-19,90.00,91.80,88.15,88.30,124000
2023-12-20,88.80,91.00,84.60,85.30,126000
2023-12-21,82.00,87.00,80.35,86.00,54000
2023-12-22,85.50,85.50,82.25,83.80,54000
2023-12-26,84.00,85.00,80.40,80.95,142000
2023-12-27,82.90,89.50,81.65,89.05,204000
2023-12-28,92.70,92.70,85.05,85.90,88000
2023-12-29,86.00,86.05,83.60,85.90,30000
2024-01-01,83.85,86.85,83.85,86.00,26000
2024-01-02,83.25,84.95,83.20,84.45,50000
2024-01-03,84.15,84.20,81.70,82.35,108000
2024-01-04,84.00,89.00,84.00,85.15,162000
2024-01-05,86.00,88.00,86.00,86.25,40000
2024-01-08,86.50,86.50,84.00,84.00,44000
2024-01-09,84.00,90.95,84.00,87.10,290000
2024-01-10,87.10,89.00,86.00,88.65,64000
2024-01-11,90.00,92.00,87.15,90.00,212000
2024-01-12,90.80,96.20,90.00,93.55,324000
2024-01-15,95.75,99.95,94.50,97.70,338000
2024-01-16,99.00,99.70,92.10,93.25,196000
2024-01-17,93.00,93.00,90.55,93.00,64000
2024-01-18,90.70,94.00,90.70,93.55,34000
2024-01-19,94.25,97.75,92.00,96.35,114000
2024-01-20,98.40,102.00,94.90,100.95,340000
2024-01-23,105.00,107.50,96.80,97.45,170000
2024-01-24,96.60,99.85,94.80,97.35,88000
2024-01-25,99.90,114.25,99.00,106.75,604000
2024-01-29,106.75,107.90,100.00,101.10,152000
2024-01-30,100.00,100.70,97.20,98.65,150000
2024-01-31,97.00,97.40,92.60,95.65,136000
2024-02-01,95.30,95.95,92.10,93.00,130000
2024-02-02,92.45,95.00,90.60,91.00,126000
2024-02-05,92.00,92.50,86.50,86.85,222000
2024-02-06,89.00,94.00,88.50,93.00,290000
2024-02-07,94.75,94.80,90.45,90.75,92000
2024-02-08,92.00,92.70,88.80,89.50,72000
2024-02-09,89.60,90.50,86.25,87.00,70000
2024-02-12,90.00,90.00,81.75,82.30,116000
2024-02-13,82.95,82.95,80.00,81.70,114000
2024-02-14,81.70,82.00,77.50,79.75,206000
2024-02-15,80.05,82.00,79.65,81.20,190000
2024-02-16,82.00,82.00,79.00,81.00,106000
2024-02-19,79.80,83.00,79.50,81.60,144000
2024-02-20,83.00,87.80,83.00,84.80,226000
2024-02-21,88.60,88.90,83.30,83.50,64000
2024-02-22,84.70,84.70,81.40,82.20,76000
2024-02-23,81.70,84.65,81.55,83.20,78000
2024-02-26,83.50,83.50,81.30,81.40,44000
2024-02-27,81.40,81.95,78.25,79.10,136000
2024-02-28,80.95,80.95,77.45,77.85,106000
2024-02-29,77.65,77.65,75.50,76.45,54000
2024-03-01,77.00,79.45,77.00,78.15,52000
2024-03-02,78.00,78.00,77.40,77.50,16000
2024-03-04,78.05,78.95,73.05,74.35,182000
2024-03-05,72.95,74.55,72.95,73.60,56000
2024-03-06,73.40,73.75,69.00,70.15,216000
2024-03-07,74.00,74.00,68.00,72.65,228000
2024-03-11,74.40,74.40,67.05,67.40,152000
2024-03-12,67.40,69.45,62.00,62.90,268000
2024-03-13,65.00,65.00,59.00,60.20,170000
2024-03-14,60.00,69.50,60.00,66.75,110000
2024-03-15,68.85,68.85,66.25,67.65,108000
2024-03-18,67.50,68.00,63.35,64.85,98000
2024-03-19,64.85,64.85,63.00,64.00,58000
2024-03-20,65.15,67.70,61.45,62.30,98000
2024-03-21,64.30,65.15,63.00,64.00,96000
2024-03-22,64.00,66.00,64.00,65.50,108000
2024-03-26,63.85,63.85,60.50,61.45,302000
2024-03-27,60.65,62.80,60.00,60.75,178000
2024-03-28,61.00,62.25,60.00,60.05,188000
2024-04-01,63.00,67.70,63.00,67.15,66000
2024-04-02,67.70,74.00,66.50,73.55,126000
2024-04-03,74.00,77.90,73.50,75.50,132000
2024-04-04,77.00,77.65,73.00,73.50,70000
2024-04-05,72.00,74.35,72.00,74.10,40000
2024-04-08,74.60,74.60,71.55,71.75,36000
2024-04-09,72.10,72.70,70.30,72.70,46000
2024-04-10,72.45,73.50,72.25,73.50,18000
2024-04-12,74.00,76.05,73.25,74.15,102000
2024-04-15,72.05,72.05,70.30,71.25,34000
2024-04-16,72.00,73.15,70.00,72.20,44000
2024-04-18,72.10,72.10,70.00,70.10,80000
2024-04-19,70.10,71.55,70.05,70.05,18000
2024-04-22,70.20,73.40,70.20,72.75,76000
2024-04-23,73.00,73.00,70.05,71.35,228000
2024-04-24,72.00,72.25,69.50,70.20,90000
2024-04-25,70.35,71.25,70.00,70.10,68000
2024-04-26,68.75,70.00,67.00,68.65,98000
2024-04-29,70.00,71.90,68.40,69.00,88000
2024-04-30,70.00,70.00,66.50,66.50,90000
2024-05-02,68.95,68.95,65.80,67.15,62000
2024-05-03,66.55,67.00,66.15,66.30,38000
2024-05-06,66.05,66.05,63.45,64.65,92000
2024-05-07,64.70,66.65,63.40,65.25,62000
2024-05-08,65.00,65.50,64.00,64.00,32000
2024-05-09,64.05,65.40,63.25,64.60,60000
2024-05-10,66.30,66.30,62.85,63.10,50000
2024-05-13,61.80,65.25,61.80,62.50,76000
2024-05-14,62.10,63.00,60.30,62.00,34000
2024-05-15,61.85,64.00,61.85,63.55,28000
2024-05-16,63.95,63.95,61.50,62.05,86000
2024-05-17,61.60,63.30,61.00,62.95,78000
2024-05-18,63.00,63.70,62.95,63.70,12000
2024-05-21,63.00,64.00,62.40,63.70,28000
2024-05-22,63.00,64.00,62.20,64.00,36000
2024-05-23,64.00,68.85,62.60,67.45,88000
2024-05-24,67.15,74.95,67.00,72.95,234000
2024-05-27,78.85,80.30,72.75,73.10,302000
2024-05-28,72.75,73.20,68.50,69.25,116000
2024-05-29,70.85,70.85,64.15,66.00,200000
2024-05-30,66.00,71.80,64.50,66.20,140000
2024-05-31,68.40,68.50,65.90,67.50,38000
2024-06-03,67.50,67.50,64.50,66.65,90000
2024-06-04,65.50,65.80,60.05,62.80,78000
2024-06-05,63.00,69.30,60.00,67.05,140000
2024-06-06,69.95,73.90,69.20,72.90,206000
2024-06-07,75.00,78.00,71.35,71.85,158000
2024-06-10,73.00,73.25,72.00,72.50,56000
2024-06-11,72.80,72.80,71.35,71.75,48000
2024-06-12,71.00,72.10,71.00,71.20,42000
2024-06-13,72.65,72.65,71.05,71.75,38000
2024-06-14,71.75,73.80,71.75,72.10,54000
2024-06-18,72.50,72.50,69.65,70.05,76000
2024-06-19,69.50,69.50,65.85,67.60,144000
2024-06-20,68.95,69.75,67.65,68.30,68000
2024-06-21,68.50,68.50,66.10,67.05,60000
2024-06-24,66.10,67.80,66.10,67.60,48000
2024-06-25,67.55,67.95,67.10,67.60,58000
2024-06-26,68.00,68.00,67.00,67.95,46000
2024-06-27,66.95,68.00,66.30,67.35,64000
2024-06-28,66.70,69.30,66.70,68.50,60000
2024-07-01,68.45,68.85,67.40,67.50,82000
2024-07-02,67.60,74.55,67.60,69.55,118000
2024-07-03,69.00,74.00,69.00,72.50,172000
2024-07-04,73.00,75.40,72.05,73.75,116000
2024-07-05,74.75,74.75,71.35,73.75,48000
2024-07-08,72.50,72.50,71.00,71.50,110000
2024-07-09,73.40,73.40,71.00,71.20,70000
2024-07-10,71.00,71.35,69.55,70.35,44000
2024-07-11,70.40,71.50,70.10,71.40,48000
2024-07-12,71.60,73.00,71.05,71.30,68000
2024-07-15,71.50,71.50,68.55,70.15,74000
2024-07-16,71.80,77.85,70.00,74.60,300000
2024-07-18,75.95,75.95,71.55,72.95,76000
2024-07-19,71.75,72.05,70.20,71.00,62000
2024-07-22,69.50,71.30,69.50,69.70,36000
2024-07-23,69.40,69.75,67.55,68.95,92000
2024-07-24,70.00,71.40,69.50,70.00,20000
2024-07-25,68.35,69.65,67.70,68.90,42000
2024-07-26,69.15,71.90,69.15,69.90,110000
2024-07-29,70.95,71.45,69.65,71.40,34000
2024-07-30,71.80,71.80,69.55,69.95,70000
2024-07-31,70.00,70.45,68.25,70.00,100000
2024-08-01,70.75,71.80,69.75,69.75,60000
2024-08-02,69.75,70.45,69.00,69.50,48000
2024-08-05,67.50,68.40,67.00,67.00,32000
2024-08-06,68.00,69.25,67.30,67.65,52000
2024-08-07,67.65,70.10,67.65,69.75,32000
2024-08-08,70.40,79.75,70.40,71.75,92000
2024-08-09,71.05,71.70,70.15,70.45,44000
2024-08-12,70.60,70.60,68.60,68.75,62000
2024-08-13,68.90,69.25,68.00,68.75,40000
2024-08-14,68.50,69.80,68.05,69.10,16000
2024-08-16,68.10,68.80,66.85,67.25,94000
2024-08-19,68.00,69.40,68.00,68.20,32000
2024-08-20,69.45,69.50,67.75,67.75,64000
2024-08-21,69.50,69.50,67.60,67.70,46000
2024-08-22,68.00,68.60,67.50,68.00,60000
2024-08-23,68.00,68.40,66.90,67.10,92000
2024-08-26,67.10,67.10,65.60,66.55,98000
2024-08-27,67.10,67.60,65.00,65.15,122000
2024-08-28,66.85,69.95,65.55,68.70,120000
2024-08-29,69.00,69.00,67.80,67.80,52000
2024-08-30,67.60,67.70,63.60,66.45,90000
2024-09-02,66.60,66.85,66.15,66.40,16000
2024-09-03,66.40,67.20,65.25,65.90,32000
2024-09-04,65.50,65.50,64.00,64.30,70000
2024-09-05,64.15,65.05,63.95,64.25,58000
2024-09-06,64.15,64.15,59.50,62.95,120000
2024-09-09,63.90,63.90,62.10,63.20,42000
2024-09-10,64.00,72.00,64.00,68.90,216000
2024-09-11,70.80,70.85,68.50,69.15,90000
2024-09-12,70.00,70.20,66.60,68.55,134000
2024-09-13,68.55,70.20,67.05,68.70,112000
2024-09-16,70.80,71.50,67.10,68.05,96000
2024-09-17,69.10,69.35,67.50,68.00,24000
2024-09-18,68.05,68.80,66.50,66.90,60000
2024-09-19,66.40,68.00,66.05,66.40,38000
2024-09-20,66.40,68.70,66.40,68.15,32000
2024-09-23,68.85,70.25,68.85,69.35,124000
2024-09-24,69.35,71.30,68.55,70.30,134000
2024-09-25,70.95,72.50,69.50,70.80,148000
2024-09-26,72.40,77.00,71.50,72.40,452000
2024-09-27,73.00,76.00,71.00,74.40,180000
2024-09-30,74.00,74.00,66.00,67.30,410000
2024-10-01,67.00,68.30,67.00,67.55,42000
2024-10-03,66.05,66.50,65.75,65.90,34000
2024-10-04,66.00,66.50,65.00,65.35,38000
2024-10-07,64.50,64.80,61.25,62.20,154000
2024-10-08,61.20,63.00,61.20,62.75,22000
2024-10-09,62.95,65.70,62.60,65.55,84000
2024-10-10,65.60,65.60,64.60,64.60,10000
2024-10-11,64.60,64.80,64.30,64.35,8000
2024-10-14,63.70,64.50,63.05,64.10,34000
2024-10-15,64.10,65.40,63.30,63.45,34000
2024-10-16,63.25,63.40,63.00,63.20,10000
2024-10-17,63.00,63.35,62.00,62.00,36000
2024-10-18,62.00,63.30,61.50,62.65,60000
2024-10-21,62.65,62.85,61.25,62.40,36000
2024-10-22,62.40,62.40,60.65,60.65,44000
2024-10-23,60.85,62.00,60.60,60.60,26000
2024-10-24,61.95,61.95,60.75,60.90,30000
2024-10-25,61.00,61.00,59.35,60.10,50000
2024-10-28,59.10,60.80,59.00,59.20,18000
2024-10-29,59.25,60.65,59.25,59.70,38000
2024-10-30,61.00,61.70,60.00,61.65,12000
2024-10-31,61.30,62.90,60.60,62.80,28000
2024-11-01,62.80,62.80,62.00,62.10,16000
2024-11-04,61.50,61.50,60.55,60.95,30000
2024-11-05,60.95,61.90,60.60,61.85,32000
2024-11-06,61.30,62.00,61.20,61.70,52000
2024-11-07,61.60,62.15,61.50,61.55,24000
2024-11-08,61.20,63.75,61.20,63.10,50000
2024-11-11,61.55,61.55,55.05,57.95,272000
2024-11-12,56.65,56.65,53.00,53.85,218000
2024-11-13,53.00,53.40,50.00,50.40,134000
2024-11-14,51.50,52.60,49.30,49.40,46000
2024-11-18,47.00,47.00,42.50,44.55,320000
2024-11-19,45.00,45.20,42.00,43.80,190000
2024-11-21,43.20,45.65,43.20,45.35,60000
2024-11-22,46.40,46.65,43.00,43.75,112000
2024-11-25,44.50,44.95,43.55,44.00,60000
2024-11-26,44.25,45.00,43.60,43.80,58000
2024-11-27,44.85,45.80,44.15,45.40,60000
2024-11-28,45.40,46.20,44.70,44.70,16000
2024-11-29,45.05,46.40,45.00,46.10,36000
2024-12-02,46.10,46.90,45.00,45.10,218000
2024-12-03,46.00,54.10,45.50,54.10,1974000
2024-12-04,57.95,64.90,57.95,64.90,1612000
2024-12-05,66.50,71.35,65.50,71.10,1988000
2024-12-09,72.10,75.65,69.50,75.25,718000
2024-12-10,75.60,77.65,72.25,76.65,144000
2024-12-11,74.15,78.25,74.00,77.95,88000
2024-12-12,75.80,79.50,74.55,79.20,156000
2024-12-13,78.50,80.75,75.30,79.95,170000
2024-12-16,79.95,83.25,79.95,82.85,220000
2024-12-17,83.85,85.50,82.55,83.95,192000
2024-12-18,82.95,86.00,79.75,85.55,268000
2024-12-19,84.65,86.50,82.00,85.95,272000
2024-12-20,86.00,87.50,83.10,87.30,246000
2024-12-23,84.05,89.50,83.60,88.90,86000
2024-12-24,91.00,92.00,90.00,91.00,262000
2024-12-26,91.00,92.00,88.00,89.90,92000
2024-12-27,91.50,92.00,88.00,90.25,214000
2024-12-30,90.25,90.25,87.70,89.00,100000
