Date,Open,High,Low,Close,Volume
2022-12-29,34.25,34.50,33.00,33.15,2044000
2022-12-30,33.25,34.20,33.25,34.05,652000
2023-01-02,34.05,35.45,33.00,33.35,628000
2023-01-03,33.25,35.00,33.00,35.00,620000
2023-01-04,36.75,36.75,34.25,35.20,324000
2023-01-05,34.00,35.20,33.45,33.80,392000
2023-01-06,34.25,35.20,34.00,34.90,168000
2023-01-09,36.00,36.00,34.30,34.70,100000
2023-01-10,34.05,34.45,33.10,33.45,164000
2023-01-11,35.10,35.10,33.60,35.10,316000
2023-01-12,36.80,42.10,36.50,42.10,1452000
2023-01-13,43.85,50.40,43.50,46.15,1096000
2023-01-16,46.80,47.00,43.00,43.65,228000
2023-01-17,43.00,46.00,43.00,44.30,180000
2023-01-18,45.35,45.35,44.00,44.45,80000
2023-01-19,44.15,45.00,43.50,43.75,80000
2023-01-20,44.00,44.85,41.70,42.20,144000
2023-01-23,42.00,42.60,41.50,41.50,76000
2023-01-24,41.40,41.85,40.50,40.80,92000
2023-01-25,40.05,40.30,37.55,38.05,188000
2023-01-27,37.50,42.00,37.10,39.60,176000
2023-01-30,39.05,40.00,39.05,40.00,28000
2023-01-31,39.50,39.50,34.00,36.85,292000
2023-02-01,36.80,39.00,36.80,37.85,64000
2023-02-02,37.50,37.50,36.05,36.35,48000
2023-02-03,37.00,37.00,34.50,36.05,140000
2023-02-06,36.50,37.05,35.00,35.80,144000
2023-02-07,37.00,37.50,35.85,36.30,60000
2023-02-08,37.00,37.20,36.30,36.30,44000
2023-02-09,37.40,37.90,36.50,37.90,32000
2023-02-10,37.00,37.00,36.55,36.55,16000
2023-02-13,36.55,36.55,36.55,36.55,16000
2023-02-14,36.65,36.65,36.00,36.60,28000
2023-02-15,36.10,37.00,36.05,36.05,16000
2023-02-16,36.45,36.50,34.50,35.05,56000
2023-02-17,35.05,35.15,34.60,34.60,16000
2023-02-21,34.60,34.95,33.55,34.25,64000
2023-02-22,34.00,34.00,32.50,32.95,56000
2023-02-23,32.00,32.65,29.70,30.80,104000
2023-02-24,31.90,31.95,31.00,31.85,16000
2023-02-27,31.60,31.60,28.50,29.50,64000
2023-02-28,29.50,30.45,29.50,30.45,8000
2023-03-01,29.10,31.00,29.10,30.55,36000
2023-03-02,30.50,31.55,30.50,31.30,24000
2023-03-03,31.90,32.40,31.90,32.40,16000
2023-03-06,32.50,33.50,32.50,33.50,20000
2023-03-08,33.50,34.40,33.30,33.50,36000
2023-03-09,33.60,34.00,33.15,33.15,32000
2023-03-10,33.00,33.00,32.30,32.30,28000
2023-03-13,32.50,32.50,32.00,32.00,12000
2023-03-14,32.00,33.75,32.00,33.00,44000
2023-03-15,33.00,33.95,33.00,33.50,20000
2023-03-16,33.00,33.00,33.00,33.00,8000
2023-03-17,33.00,33.00,33.00,33.00,4000
2023-03-20,33.50,34.15,32.60,32.60,20000
2023-03-21,32.50,33.25,32.00,33.10,20000
2023-03-22,32.50,33.40,32.50,33.40,8000
2023-03-23,33.00,33.40,33.00,33.00,24000
2023-03-24,34.00,34.00,32.00,33.00,32000
2023-03-27,32.00,32.00,31.10,31.10,20000
2023-03-28,32.00,32.00,30.25,30.60,52000
2023-03-29,30.50,30.50,29.60,29.60,24000
2023-03-31,29.75,30.90,29.75,30.20,80000
2023-04-03,30.10,31.00,30.00,31.00,16000
2023-04-05,31.75,32.75,31.75,32.65,28000
2023-04-06,33.00,33.25,33.00,33.00,40000
2023-04-10,33.00,33.00,33.00,33.00,8000
2023-04-13,33.00,33.20,32.50,32.90,20000
2023-04-17,33.75,34.90,33.00,33.50,76000
2023-04-18,33.15,34.20,33.15,34.05,32000
2023-04-19,34.50,34.50,33.80,33.80,16000
2023-04-20,34.35,34.35,34.35,34.35,4000
2023-04-21,34.00,34.90,34.00,34.90,16000
2023-04-24,34.90,38.00,34.90,37.00,176000
2023-04-25,37.50,38.00,36.50,36.50,36000
2023-04-26,36.35,36.35,36.00,36.00,16000
2023-04-27,36.90,36.90,35.00,35.30,24000
2023-04-28,35.00,35.45,35.00,35.45,12000
2023-05-02,36.40,36.50,36.40,36.50,12000
2023-05-03,35.55,35.55,34.20,35.00,24000
2023-05-04,34.05,35.50,34.05,35.20,96000
2023-05-05,35.50,35.50,34.80,34.80,24000
2023-05-08,34.75,35.00,34.50,34.50,20000
2023-05-09,35.00,35.00,34.75,34.75,16000
2023-05-10,34.80,34.80,34.80,34.80,4000
2023-05-11,34.10,35.00,34.00,34.00,32000
2023-05-12,35.50,35.50,32.70,33.00,68000
2023-05-16,32.35,32.50,28.50,29.55,184000
2023-05-17,28.00,29.00,27.00,28.00,152000
2023-05-18,29.15,29.15,28.35,28.40,24000
2023-05-19,28.95,30.90,28.95,30.70,76000
2023-05-22,31.50,35.00,31.50,34.35,208000
2023-05-23,34.00,34.00,31.00,33.20,148000
2023-05-24,33.70,34.45,33.45,34.15,40000
2023-05-25,33.95,34.30,33.25,33.25,48000
2023-05-26,33.25,34.50,32.50,32.50,52000
2023-05-29,33.50,34.30,33.50,33.60,32000
2023-05-30,33.50,33.50,31.00,31.60,88000
2023-06-01,31.95,32.50,31.95,32.50,20000
2023-06-02,32.00,32.00,31.50,31.50,8000
2023-06-05,31.50,31.50,28.80,29.10,152000
2023-06-06,29.25,30.00,28.50,28.90,100000
2023-06-07,29.95,29.95,29.30,29.30,36000
2023-06-08,30.95,30.95,29.25,29.65,60000
2023-06-09,29.80,30.60,29.75,30.25,48000
2023-06-12,31.00,31.00,30.80,30.95,28000
2023-06-13,30.50,30.55,30.05,30.05,16000
2023-06-14,31.00,31.00,29.55,29.55,20000
2023-06-15,30.00,30.35,29.90,30.10,16000
2023-06-16,30.10,30.10,29.90,29.90,8000
2023-06-19,29.50,29.75,28.60,28.60,44000
2023-06-20,29.00,29.25,29.00,29.25,8000
2023-06-21,29.25,29.25,29.25,29.25,8000
2023-06-22,28.75,30.40,28.75,29.90,16000
2023-06-23,29.00,29.00,28.45,28.55,52000
2023-06-26,28.75,28.75,28.75,28.75,4000
2023-06-27,28.75,29.20,28.75,29.20,12000
2023-06-28,31.00,31.00,29.10,29.10,24000
2023-06-30,29.40,30.00,29.40,29.45,20000
2023-07-03,29.95,29.95,29.00,29.45,8000
2023-07-04,29.00,29.45,28.95,29.00,20000
2023-07-05,28.80,29.00,28.80,29.00,12000
2023-07-06,29.05,29.05,29.05,29.05,4000
2023-07-07,29.00,29.00,29.00,29.00,4000
2023-07-10,29.35,29.35,28.50,28.50,16000
2023-07-12,28.50,28.80,28.50,28.80,8000
2023-07-13,28.50,28.75,28.50,28.60,16000
2023-07-14,28.50,28.50,28.00,28.00,16000
2023-07-17,27.75,27.90,27.55,27.60,24000
2023-07-18,27.75,27.75,27.70,27.70,12000
2023-07-20,27.70,27.70,27.70,27.70,4000
2023-07-21,28.50,33.20,28.50,33.20,296000
2023-07-24,35.00,35.50,31.00,31.30,240000
2023-07-25,31.95,32.15,31.50,32.00,36000
2023-07-26,31.60,32.70,31.60,31.75,24000
2023-07-27,31.50,31.50,29.80,30.75,48000
2023-07-28,30.95,31.00,30.60,31.00,12000
2023-07-31,31.30,31.30,30.60,30.75,24000
2023-08-01,30.35,30.50,30.00,30.20,28000
2023-08-02,30.95,30.95,29.50,29.50,28000
2023-08-03,30.40,30.50,30.40,30.50,8000
2023-08-04,30.85,30.85,30.25,30.25,20000
2023-08-07,30.10,30.10,29.80,29.80,16000
2023-08-08,29.85,29.95,29.30,29.95,40000
2023-08-09,30.00,30.00,29.25,29.30,12000
2023-08-10,30.40,34.30,30.40,33.25,304000
2023-08-11,33.50,33.90,32.90,32.90,48000
2023-08-14,35.95,36.45,33.50,33.85,304000
2023-08-16,33.30,34.45,33.00,33.70,88000
2023-08-17,33.85,33.85,32.30,32.50,60000
2023-08-18,32.95,33.20,32.00,32.90,44000
2023-08-21,33.20,33.55,31.00,31.55,52000
2023-08-22,32.00,32.95,32.00,32.10,28000
2023-08-23,31.55,31.55,31.55,31.55,4000
2023-08-24,32.90,34.90,32.90,34.65,252000
2023-08-25,34.85,36.45,33.50,34.90,264000
2023-08-28,35.00,35.70,34.00,34.80,76000
2023-08-29,34.90,35.00,34.25,34.25,60000
2023-08-30,35.00,36.75,34.70,36.10,144000
2023-08-31,36.80,36.85,35.25,36.00,104000
2023-09-01,36.60,36.70,34.75,35.25,64000
2023-09-04,36.75,36.75,35.30,35.30,88000
2023-09-05,35.05,42.35,35.00,41.80,960000
2023-09-06,41.85,46.90,40.70,43.55,500000
2023-09-07,43.55,44.50,42.55,43.45,84000
2023-09-08,42.50,42.50,39.60,41.55,188000
2023-09-11,41.05,41.05,39.05,39.65,76000
2023-09-12,40.20,40.20,34.50,36.40,264000
2023-09-13,37.50,37.50,36.10,36.40,32000
2023-09-14,37.50,37.50,36.50,36.55,44000
2023-09-15,36.65,36.65,35.50,35.50,16000
2023-09-18,35.00,37.50,35.00,36.60,124000
2023-09-20,36.50,37.40,35.55,35.55,40000
2023-09-21,35.50,35.50,35.15,35.15,16000
2023-09-22,35.00,35.00,34.85,34.90,12000
2023-09-25,34.60,35.00,34.00,34.45,40000
2023-09-26,34.70,34.70,33.05,33.05,48000
2023-09-27,34.95,35.15,34.90,35.05,24000
2023-09-28,35.00,35.70,35.00,35.00,28000
2023-09-29,34.75,34.80,34.75,34.75,12000
2023-10-03,34.75,35.70,34.50,35.35,20000
2023-10-04,35.60,35.60,34.10,34.50,32000
2023-10-05,34.45,34.45,34.05,34.25,8000
2023-10-06,34.05,34.05,33.90,33.90,16000
2023-10-09,33.05,33.05,32.30,32.35,16000
2023-10-10,32.50,34.50,32.50,32.55,56000
2023-10-11,34.00,34.00,33.50,33.50,12000
2023-10-12,33.25,33.85,32.00,32.25,108000
2023-10-13,32.50,33.25,32.05,32.90,92000
2023-10-16,32.75,32.90,32.30,32.40,60000
2023-10-17,32.60,32.60,32.30,32.30,36000
2023-10-18,31.80,32.25,31.00,31.80,140000
2023-10-19,31.25,34.00,31.25,34.00,68000
2023-10-20,34.00,34.50,33.00,33.60,24000
2023-10-23,32.65,33.00,31.00,31.25,40000
2023-10-25,31.25,32.00,31.00,31.00,24000
2023-10-26,30.50,30.50,30.50,30.50,4000
2023-10-27,31.00,33.25,31.00,31.75,40000
2023-10-31,31.75,31.75,31.15,31.15,8000
2023-11-01,31.00,31.75,31.00,31.75,8000
2023-11-02,31.25,31.25,31.25,31.25,4000
2023-11-03,32.00,32.40,32.00,32.00,16000
2023-11-06,31.30,32.25,31.00,31.20,28000
2023-11-07,31.00,31.10,31.00,31.10,8000
2023-11-08,32.40,32.40,32.25,32.25,12000
2023-11-09,31.65,31.65,29.50,30.15,120000
2023-11-10,30.15,30.80,29.55,30.20,64000
2023-11-13,30.90,30.90,30.90,30.90,4000
2023-11-15,30.90,31.45,30.90,31.45,8000
2023-11-16,30.65,30.75,29.55,30.75,52000
2023-11-17,30.35,30.85,30.30,30.85,20000
2023-11-20,30.25,30.50,30.15,30.45,24000
2023-11-21,31.50,31.50,31.25,31.25,8000
2023-11-22,30.75,30.75,30.10,30.50,28000
2023-11-23,30.30,31.75,30.30,31.00,16000
2023-11-24,31.00,31.15,31.00,31.15,8000
2023-11-28,30.05,31.00,30.05,30.75,16000
2023-11-29,30.50,30.50,30.00,30.00,12000
2023-11-30,30.90,30.90,30.10,30.10,24000
2023-12-01,31.00,31.00,29.50,29.50,72000
2023-12-04,29.80,30.40,28.55,30.00,84000
2023-12-05,29.25,30.70,29.10,30.50,44000
2023-12-07,30.50,30.90,29.85,29.90,24000
2023-12-08,30.25,30.75,30.00,30.00,40000
2023-12-11,30.25,30.45,29.50,29.95,108000
2023-12-12,30.25,30.85,30.00,30.85,28000
2023-12-13,30.70,30.70,30.40,30.40,12000
2023-12-14,31.20,31.35,30.00,30.00,44000
2023-12-15,30.90,30.90,30.05,30.70,32000
2023-12-18,30.70,30.70,30.20,30.20,16000
2023-12-19,30.25,30.30,30.20,30.30,12000
2023-12-20,30.00,30.00,30.00,30.00,4000
2023-12-21,29.50,29.55,29.50,29.55,8000
2023-12-22,29.15,29.40,28.50,29.40,44000
2023-12-26,29.35,29.85,29.35,29.60,16000
2023-12-27,29.15,29.50,29.15,29.25,16000
2023-12-29,29.00,29.20,28.00,28.95,108000
2024-01-01,29.50,29.55,28.90,29.55,24000
2024-01-02,29.10,29.10,29.00,29.00,12000
2024-01-03,28.70,30.40,28.70,30.25,44000
2024-01-04,30.85,31.75,30.75,31.10,52000
2024-01-05,31.35,31.70,31.35,31.65,36000
2024-01-08,32.40,32.50,31.80,31.80,28000
2024-01-09,32.40,33.00,31.85,31.85,56000
2024-01-10,32.40,32.50,32.20,32.45,24000
2024-01-11,32.50,32.90,32.25,32.30,28000
2024-01-12,32.05,36.75,32.05,34.50,284000
2024-01-15,35.70,38.30,35.15,36.75,208000
2024-01-16,36.05,37.25,35.60,35.60,80000
2024-01-17,36.95,36.95,34.50,35.35,68000
2024-01-18,35.50,35.80,35.10,35.80,16000
2024-01-19,34.60,36.00,34.60,35.15,32000
2024-01-20,36.40,36.40,35.00,35.05,56000
2024-01-23,35.30,36.00,33.50,33.50,32000
2024-01-24,34.60,34.60,33.00,33.00,36000
2024-01-25,32.65,33.35,32.60,33.15,24000
2024-01-29,33.10,33.10,31.50,31.50,32000
2024-01-30,31.25,31.45,29.50,30.30,84000
2024-01-31,31.00,31.50,31.00,31.10,24000
2024-02-01,32.00,32.00,30.60,31.30,28000
2024-02-02,31.30,31.75,31.00,31.00,28000
2024-02-05,30.90,32.45,30.50,31.00,36000
2024-02-06,31.00,32.40,30.10,30.40,56000
2024-02-07,31.00,31.00,29.20,30.45,76000
2024-02-08,31.00,33.70,30.10,31.45,64000
2024-02-09,31.40,31.40,30.10,30.30,32000
2024-02-12,30.15,30.15,29.50,29.50,28000
2024-02-13,29.75,30.00,29.25,29.40,28000
2024-02-14,29.75,29.75,29.75,29.75,8000
2024-02-15,29.75,30.00,29.60,30.00,24000
2024-02-16,30.00,30.35,30.00,30.30,48000
2024-02-19,30.05,30.50,29.60,29.60,32000
2024-02-20,29.80,30.50,29.75,30.30,52000
2024-02-21,30.70,30.90,30.00,30.00,28000
2024-02-22,29.65,30.60,29.60,29.90,24000
2024-02-23,29.90,29.90,29.25,29.35,16000
2024-02-26,30.70,30.70,29.20,30.00,40000
2024-02-28,29.00,29.10,29.00,29.10,8000
2024-02-29,28.70,29.10,28.35,28.35,28000
2024-03-01,28.80,29.00,28.50,28.80,24000
2024-03-02,28.80,29.05,28.00,29.00,48000
2024-03-04,28.40,28.90,28.40,28.60,16000
2024-03-05,28.60,29.45,28.40,28.55,24000
2024-03-06,28.35,28.50,28.35,28.50,8000
2024-03-07,29.35,29.35,28.05,28.40,32000
2024-03-11,27.50,28.00,27.05,28.00,16000
2024-03-12,27.25,27.25,26.05,26.95,32000
2024-03-13,26.65,26.65,25.05,25.40,88000
2024-03-14,24.50,26.50,24.30,25.50,100000
2024-03-15,25.25,25.25,24.75,24.75,16000
2024-03-18,25.00,25.60,25.00,25.05,28000
2024-03-19,25.35,25.50,25.00,25.00,52000
