Date,Open,High,Low,Close,Volume
2024-07-01,45.10,47.35,45.10,47.35,2064000
2024-07-02,45.00,48.75,45.00,45.00,630000
2024-07-03,43.00,45.85,42.75,42.75,375000
2024-07-04,41.05,42.00,40.65,40.65,489000
2024-07-05,39.00,42.65,39.00,42.50,408000
2024-07-08,42.60,42.65,40.85,41.40,132000
2024-07-09,41.75,41.75,40.70,41.00,75000
2024-07-10,40.50,41.15,40.05,40.95,54000
2024-07-11,41.00,42.00,40.35,41.60,105000
2024-07-12,43.15,43.15,42.00,42.75,48000
2024-07-15,43.00,43.25,41.10,43.00,78000
2024-07-16,41.15,41.40,38.00,39.70,45000
2024-07-18,39.00,40.00,39.00,39.05,48000
2024-07-19,40.40,40.75,39.00,39.05,33000
2024-07-22,39.00,39.50,37.60,38.05,66000
2024-07-23,38.10,39.65,38.10,39.20,21000
2024-07-24,39.50,40.45,39.50,39.50,18000
2024-07-25,39.00,39.00,39.00,39.00,9000
2024-07-26,38.00,38.70,38.00,38.05,87000
2024-07-29,38.15,42.00,38.15,41.45,126000
2024-07-30,43.25,43.30,40.70,43.00,132000
2024-07-31,43.00,43.00,41.60,41.70,33000
2024-08-01,41.15,42.00,41.15,42.00,39000
2024-08-02,42.00,42.50,40.75,41.60,27000
2024-08-05,37.40,40.50,37.40,40.50,45000
2024-08-06,40.50,43.45,40.05,41.75,177000
2024-08-07,41.80,43.00,41.80,42.75,72000
2024-08-08,42.00,43.05,42.00,43.00,48000
2024-08-09,43.00,43.25,42.10,42.80,54000
2024-08-12,42.00,42.00,41.80,41.80,9000
2024-08-13,42.50,42.50,41.25,41.25,15000
2024-08-16,40.45,42.50,40.45,42.00,39000
2024-08-19,42.00,42.00,42.00,42.00,6000
2024-08-20,41.95,42.00,41.95,42.00,24000
2024-08-21,41.00,41.00,41.00,41.00,6000
2024-08-22,42.45,42.75,42.45,42.60,21000
2024-08-23,42.00,42.00,42.00,42.00,3000
2024-08-26,42.00,42.00,41.40,41.90,18000
2024-08-27,41.30,41.30,41.30,41.30,3000
2024-08-28,41.20,41.20,40.65,40.65,15000
2024-08-29,40.65,40.65,40.00,40.25,15000
2024-08-30,41.80,41.80,41.80,41.80,6000
2024-09-02,41.35,41.35,41.35,41.35,3000
2024-09-05,39.10,39.65,39.10,39.55,21000
2024-09-06,39.05,40.00,38.25,39.90,39000
2024-09-09,39.10,39.10,39.00,39.00,6000
2024-09-10,39.00,40.00,39.00,39.80,15000
2024-09-11,39.80,41.00,39.80,40.70,48000
2024-09-12,40.00,42.50,40.00,42.00,63000
2024-09-13,42.00,43.50,42.00,42.90,75000
2024-09-16,42.00,43.50,42.00,42.00,54000
2024-09-17,42.10,43.45,42.10,43.45,78000
2024-09-18,43.00,43.60,42.90,43.40,78000
2024-09-19,43.60,43.60,41.00,41.00,12000
2024-09-20,42.85,43.00,42.85,43.00,39000
2024-09-23,41.25,42.65,41.00,42.65,24000
2024-09-25,40.50,40.50,40.00,40.00,9000
2024-09-26,39.15,40.00,39.15,40.00,6000
2024-09-27,41.10,43.00,41.10,42.05,57000
2024-09-30,41.05,41.05,41.05,41.05,3000
2024-10-01,42.00,43.00,42.00,43.00,60000
2024-10-03,42.75,43.00,42.75,43.00,39000
2024-10-04,42.50,43.00,42.50,43.00,33000
2024-10-07,41.00,41.00,40.05,40.05,6000
2024-10-08,42.95,43.05,42.95,43.00,69000
2024-10-09,42.95,43.50,42.10,43.00,66000
2024-10-10,43.00,43.00,40.75,41.25,72000
2024-10-11,43.00,43.00,43.00,43.00,63000
2024-10-14,43.00,43.00,42.00,42.10,54000
2024-10-15,43.00,43.00,42.00,42.35,66000
2024-10-16,42.00,42.05,42.00,42.00,60000
2024-10-17,41.00,41.00,41.00,41.00,3000
2024-10-18,40.05,40.05,40.05,40.05,3000
2024-10-25,40.00,40.00,39.00,39.00,6000
2024-10-28,40.95,41.00,40.95,41.00,18000
2024-11-04,40.00,40.00,40.00,40.00,3000
2024-11-08,41.90,44.00,41.90,42.75,24000
2024-11-11,43.00,43.00,43.00,43.00,33000
2024-11-12,43.00,43.00,43.00,43.00,27000
2024-11-13,43.00,43.10,43.00,43.00,15000
2024-11-14,43.00,43.00,43.00,43.00,9000
2024-11-19,43.00,43.00,43.00,43.00,66000
2024-11-21,43.00,43.00,43.00,43.00,54000
2024-11-26,41.25,41.25,41.25,41.25,3000
2024-11-27,41.25,41.25,41.25,41.25,6000
2024-11-28,41.10,41.10,41.10,41.10,3000
2024-12-03,42.00,43.00,41.00,42.90,42000
2024-12-04,41.50,43.00,41.50,43.00,24000
2024-12-05,46.00,46.00,44.00,44.70,39000
2024-12-09,43.00,43.00,43.00,43.00,6000
2024-12-11,45.00,45.00,45.00,45.00,30000
2024-12-12,44.60,45.00,44.60,45.00,24000
2024-12-13,45.00,45.00,45.00,45.00,9000
2024-12-16,42.60,43.00,42.50,43.00,48000
2024-12-23,43.00,43.00,43.00,43.00,3000
2024-12-26,43.00,43.00,43.00,43.00,3000
2024-12-27,43.00,43.00,41.50,42.95,72000
2025-01-06,41.95,41.95,39.05,40.00,63000
2025-01-10,39.15,39.15,39.15,39.15,3000
2025-01-13,38.00,38.00,38.00,38.00,3000
2025-01-15,37.05,37.05,37.00,37.00,9000
2025-01-16,38.00,38.00,38.00,38.00,3000
2025-01-17,39.00,40.00,39.00,39.65,9000
2025-01-20,41.00,47.00,41.00,43.00,39000
2025-01-27,40.50,40.50,40.50,40.50,3000
2025-02-11,38.70,38.70,38.70,38.70,3000
2025-02-12,37.00,38.00,37.00,38.00,9000
2025-02-14,37.00,37.00,37.00,37.00,3000
2025-02-17,36.00,36.00,36.00,36.00,57000
2025-02-19,36.00,36.00,35.00,35.95,69000
2025-02-20,34.15,34.15,34.15,34.15,3000
2025-02-21,35.00,35.00,35.00,35.00,36000
2025-02-24,36.00,36.00,36.00,36.00,3000
2025-02-27,36.00,40.95,36.00,40.95,210000
2025-03-03,39.90,39.95,39.90,39.95,138000
2025-03-06,39.95,39.95,39.95,39.95,93000
2025-03-11,37.00,37.95,37.00,37.90,141000
2025-03-12,38.90,38.90,38.90,38.90,42000
2025-03-13,36.00,36.00,36.00,36.00,3000
2025-03-17,36.50,36.50,36.50,36.50,3000
2025-03-18,38.45,38.45,38.45,38.45,69000
2025-03-19,40.00,44.95,40.00,42.20,63000
2025-03-20,41.50,41.50,39.60,39.60,6000
2025-03-21,37.85,37.85,37.85,37.85,3000
2025-03-24,37.80,37.80,37.00,37.00,6000
2025-03-25,36.80,36.80,36.80,36.80,3000
2025-03-26,37.00,37.00,37.00,37.00,6000
2025-03-27,37.10,37.10,35.00,35.55,30000
2025-03-28,37.00,37.00,35.60,36.00,9000
2025-04-21,36.00,36.00,36.00,36.00,3000
2025-04-24,37.00,37.00,37.00,37.00,3000
2025-05-05,36.10,36.10,36.10,36.10,3000
2025-05-12,36.10,36.10,36.10,36.10,3000
2025-05-15,38.95,38.95,38.95,38.95,3000
2025-05-16,38.95,39.95,38.95,39.95,9000
2025-05-20,37.00,42.95,37.00,42.00,21000
2025-05-22,40.10,41.00,35.25,39.65,21000
2025-05-23,42.00,42.00,34.00,38.70,36000
2025-05-30,39.00,40.00,37.10,40.00,18000
2025-06-02,43.00,43.00,41.00,41.00,66000
2025-06-03,42.00,43.00,42.00,43.00,120000
2025-06-04,42.90,43.00,42.90,43.00,120000
2025-06-05,43.00,43.00,43.00,43.00,141000
2025-06-06,43.00,43.00,43.00,43.00,183000
2025-06-09,43.00,43.00,40.90,40.95,78000
2025-06-10,41.50,43.80,39.10,39.10,42000
2025-06-11,41.90,41.90,36.60,37.75,30000
2025-06-12,37.80,43.50,34.00,38.90,87000
2025-06-13,41.00,44.00,41.00,42.90,21000
2025-06-16,44.95,45.00,39.50,42.85,30000
2025-06-17,44.00,44.75,40.25,43.80,27000
2025-06-18,43.80,43.80,43.80,43.80,3000
