Date,Open,High,Low,Close,Volume
2021-07-13,59.95,62.85,57.00,57.00,248000
2021-07-14,54.15,54.15,54.15,54.15,18000
2021-07-15,51.45,51.45,51.45,51.45,16000
2021-07-16,48.90,48.90,48.90,48.90,14000
2021-07-19,46.50,46.50,46.50,46.50,12000
2021-07-20,44.20,44.20,44.20,44.20,10000
2021-07-22,42.00,42.00,42.00,42.00,4000
2021-07-23,39.90,39.90,39.90,39.90,8000
2021-07-26,37.95,37.95,37.95,37.95,8000
2021-07-27,36.10,36.10,36.10,36.10,6000
2021-07-28,34.30,34.30,34.30,34.30,4000
2021-07-29,32.60,32.60,32.60,32.60,22000
2021-07-30,32.50,39.10,32.50,39.10,152000
2021-08-02,42.80,46.90,42.80,46.90,50000
2021-08-03,49.00,51.50,42.50,47.75,158000
2021-08-04,47.50,47.50,43.10,45.20,38000
2021-08-05,45.00,45.00,45.00,45.00,4000
2021-08-06,42.00,42.00,40.50,40.50,26000
2021-08-09,40.50,40.50,36.70,38.05,34000
2021-08-10,38.05,38.05,38.00,38.00,6000
2021-08-11,38.00,38.00,36.50,36.50,4000
2021-08-12,36.50,37.95,36.50,37.90,8000
2021-08-13,39.50,39.75,39.50,39.75,6000
2021-08-16,38.50,38.50,38.00,38.00,8000
2021-08-17,36.20,36.25,36.10,36.25,8000
2021-08-18,36.25,36.25,36.25,36.25,2000
2021-08-23,36.25,36.25,36.00,36.00,4000
2021-08-24,36.00,36.00,36.00,36.00,4000
2021-08-25,36.00,36.00,36.00,36.00,2000
2021-08-26,34.20,34.30,34.20,34.20,24000
2021-08-27,33.05,33.05,33.00,33.00,4000
2021-08-30,34.00,34.65,34.00,34.65,10000
2021-09-02,34.65,34.65,32.95,32.95,12000
2021-09-03,33.00,33.00,33.00,33.00,2000
2021-09-06,31.55,32.15,31.55,32.10,12000
2021-09-07,32.20,33.70,32.20,33.70,12000
2021-09-08,35.00,35.00,35.00,35.00,16000
2021-09-09,36.70,36.75,36.00,36.75,10000
2021-09-13,38.00,38.55,38.00,38.55,8000
2021-09-14,36.65,36.65,36.65,36.65,8000
2021-09-15,36.65,36.65,34.85,34.85,12000
2021-09-16,34.90,34.90,34.90,34.90,2000
2021-09-17,36.55,36.55,33.20,35.80,34000
2021-09-20,34.10,34.15,34.05,34.15,8000
2021-09-21,32.60,33.40,32.50,33.40,10000
2021-09-24,35.00,35.05,35.00,35.05,4000
2021-09-27,36.80,36.80,33.95,33.95,12000
2021-09-28,35.60,35.60,32.55,32.75,6000
2021-09-29,34.30,34.35,32.85,32.85,6000
2021-09-30,34.40,34.40,34.40,34.40,2000
2021-10-01,35.00,35.00,35.00,35.00,2000
2021-10-04,33.30,33.30,33.30,33.30,2000
2021-10-05,34.45,34.75,34.45,34.75,8000
