Date,Open,High,Low,Close,Volume
2025-12-01,147.00,147.00,127.90,138.25,2188000
2026-01-01,140.00,167.80,130.00,133.10,2037000
2026-02-01,131.00,155.00,120.00,151.40,298000
2026-03-02,147.05,158.95,124.85,132.50,1601000
2026-04-01,138.00,150.00,136.50,149.00,943000
2026-05-04,152.00,165.00,138.00,142.00,298000
2026-06-01,144.00,184.40,134.50,170.75,1334000
2026-07-01,170.10,219.90,167.00,196.45,654000
2026-08-03,199.00,202.85,182.00,184.90,305000
2026-09-01,186.50,190.00,160.00,163.60,71000
