Date,Open,High,Low,Close,Volume
2025-01-01,60.00,72.90,56.80,58.75,4942000
2025-02-01,59.60,59.75,46.10,46.45,1404000
2025-03-03,46.45,53.70,41.15,46.85,1982000
2025-04-01,45.20,67.90,45.20,61.85,3198000
2025-05-02,60.35,64.40,55.25,59.25,1690000
2025-06-02,60.80,71.85,59.30,65.10,1412000
2025-07-01,67.95,71.95,64.35,67.50,984000
2025-08-01,67.50,77.95,66.00,77.50,3424000
2025-09-01,77.50,82.40,77.00,80.10,2986000
2025-10-01,80.40,80.50,73.50,78.50,1168000
2025-11-03,78.40,79.00,70.00,74.40,780000
2025-12-01,75.20,76.90,72.00,75.40,558000
2026-01-01,75.60,75.60,59.00,60.00,282000
2026-02-01,60.05,64.00,56.95,59.95,204000
2026-03-02,59.85,62.90,53.00,60.05,1156000
2026-04-01,63.80,63.80,55.75,59.75,368000
2026-05-04,60.00,67.50,57.20,57.25,720000
2026-06-01,59.80,59.80,54.30,55.50,272000
2026-07-01,56.95,60.00,50.05,55.00,198000
2026-08-03,55.00,64.90,52.00,60.45,266000
2026-09-01,61.00,62.50,57.05,62.00,124000
