Date,Open,High,Low,Close,Volume
2017-10-03,84.00,136.95,72.10,114.00,2952000
2017-11-01,117.00,119.75,103.05,106.70,378000
2017-12-01,106.50,130.00,103.00,124.50,242000
2018-01-01,123.00,129.00,105.00,105.00,216000
2018-02-01,105.00,112.00,82.00,97.05,222000
2018-03-01,95.60,98.80,87.00,91.00,108000
2018-04-02,93.00,99.00,90.00,94.00,52000
2018-05-02,94.00,119.70,74.10,78.80,328000
2018-06-01,75.05,77.95,59.60,70.00,122000
2018-07-02,68.30,68.30,58.00,59.00,62000
2018-08-01,61.50,63.30,56.05,58.00,56000
2018-09-03,55.65,59.85,51.00,53.55,72000
2018-10-01,53.50,57.40,47.50,56.55,100000
2018-11-01,59.00,61.95,53.20,53.35,34000
2018-12-03,52.50,55.10,50.05,55.10,14000
2019-01-01,52.35,54.05,48.00,48.00,32000
2019-02-01,45.60,49.85,40.90,42.20,50000
2019-03-01,43.00,48.50,41.50,48.50,84000
2019-04-01,50.00,51.50,47.10,50.00,134000
2019-05-02,49.50,54.90,47.10,54.90,68000
2019-06-03,57.60,63.45,52.35,54.50,62000
2019-07-01,52.00,54.00,43.85,49.10,50000
2019-08-01,47.10,51.35,45.90,45.90,36000
2019-09-03,44.00,49.50,44.00,49.00,48000
2019-10-01,49.00,49.00,42.45,47.50,22000
2019-11-01,45.40,49.25,36.10,36.10,82000
2019-12-02,36.00,37.50,34.20,37.50,12000
2020-01-01,35.65,37.25,31.50,32.90,38000
2020-02-01,33.90,33.90,27.45,29.00,36000
2020-03-02,27.55,27.55,15.50,17.75,130000
2020-04-01,18.60,26.70,18.00,26.70,50000
2020-05-04,25.50,25.50,20.50,20.50,28000
2020-06-01,19.60,26.00,17.90,26.00,136000
2020-07-01,26.00,26.00,20.15,22.50,160000
2020-08-03,21.50,26.25,21.20,23.95,132000
2020-09-01,22.85,26.30,22.80,22.80,62000
2020-10-01,22.50,24.25,19.10,21.00,50000
2020-11-02,21.85,23.55,19.35,19.35,58000
2020-12-01,19.35,26.00,19.35,23.00,52000
2021-01-01,23.00,23.90,21.60,21.65,18000
2021-02-01,20.65,21.60,18.15,20.40,64000
2021-03-01,20.10,22.05,18.10,19.00,46000
2021-04-01,19.95,20.90,18.20,20.05,34000
2021-05-03,21.05,30.00,21.05,26.70,108000
2021-06-01,27.00,36.90,25.75,35.10,96000
2021-07-01,33.45,34.00,24.75,24.75,32000
2021-08-02,23.55,25.95,21.00,21.00,60000
2021-09-01,20.00,28.05,20.00,26.00,136000
2021-10-01,27.30,31.50,25.10,26.95,48000
2021-11-01,25.70,27.55,24.95,27.55,22000
2021-12-01,26.25,29.40,22.00,26.60,56000
2022-01-03,27.80,34.90,25.35,30.00,140000
2022-02-01,31.50,31.50,25.50,28.40,122000
2022-03-02,29.80,40.50,27.55,40.50,98000
2022-04-01,42.50,52.00,40.60,40.60,98000
2022-05-02,40.00,40.00,28.50,28.50,28000
2022-06-01,27.10,28.40,25.20,26.25,38000
2022-07-01,25.00,27.70,25.00,26.55,32000
2022-08-01,27.85,35.70,27.85,35.70,38000
2022-09-01,37.45,39.65,30.40,30.40,80000
2022-10-03,31.90,32.25,28.80,31.00,54000
2022-11-01,32.00,36.55,30.00,34.05,100000
2022-12-01,35.75,38.70,32.50,38.70,30000
2023-01-02,36.80,39.65,35.05,39.65,62000
2023-02-01,41.50,47.75,41.30,46.00,70000
2023-03-01,45.00,48.30,43.80,43.80,26000
2023-04-03,41.65,43.55,41.50,42.00,24000
2023-05-02,40.05,41.15,35.10,41.15,66000
2023-06-01,43.20,70.05,43.20,70.05,34000
2023-07-03,73.00,143.05,70.05,111.75,832000
2023-08-01,117.25,146.65,102.30,129.00,322000
2023-09-01,130.00,219.00,130.00,180.60,808000
2023-10-03,189.60,287.95,189.60,242.05,561000
2023-11-01,266.25,291.50,196.60,291.50,867000
2023-12-01,297.40,297.40,219.95,220.00,346000
2024-01-01,220.00,270.00,218.30,256.00,602000
2024-02-01,263.00,264.00,210.00,220.00,272000
2024-03-01,220.00,229.00,183.15,225.90,235000
2024-04-01,224.50,422.00,224.50,382.05,506000
2024-05-02,380.00,511.00,348.25,348.25,301000
2024-06-03,330.85,330.85,208.75,215.00,1135500
2024-07-01,217.00,239.10,185.60,205.30,737000
2024-08-01,199.25,206.00,135.00,148.10,903500
2024-09-02,151.95,152.00,117.55,143.65,674000
2024-10-01,142.55,162.80,122.80,139.90,146500
2024-11-01,137.20,139.90,108.20,108.20,245000
2024-12-02,102.80,131.25,102.00,106.65,236500
2025-01-01,102.15,120.05,96.15,99.00,138500
2025-02-01,98.50,103.95,73.30,74.90,98000
2025-03-03,71.50,82.45,69.20,69.20,144000
2025-04-01,67.85,99.70,66.50,98.00,41000
2025-05-02,99.90,99.90,79.90,79.90,14000
2025-06-02,78.30,78.50,68.25,69.85,76500
2025-07-01,69.90,72.00,63.00,64.50,71500
2025-08-01,64.50,69.95,62.00,63.45,50500
2025-09-01,63.45,72.50,57.95,57.95,53500
2025-10-01,55.15,74.40,55.05,71.50,55000
2025-11-03,68.00,70.00,43.25,44.90,114500
2025-12-01,46.85,48.95,35.60,48.95,99500
2026-01-01,50.45,52.35,41.80,49.00,27500
2026-02-01,48.70,54.20,45.15,47.30,26500
2026-03-02,44.95,49.35,42.75,44.40,6000
2026-04-01,42.20,67.30,42.20,64.60,129500
2026-05-04,66.00,72.50,64.10,70.45,18000
2026-07-01,66.95,70.00,59.20,59.20,6500
