Date,Open,High,Low,Close,Volume
2025-12-01,110.00,148.30,104.50,145.50,4184000
2026-01-01,140.05,281.90,140.05,225.05,2275200
2026-02-01,213.80,215.00,158.30,160.25,947200
2026-03-02,157.05,168.80,127.00,129.65,510400
2026-04-01,123.20,165.00,115.00,123.05,1662400
2026-05-04,125.60,145.00,101.00,115.95,484000
2026-06-01,116.00,128.95,90.00,105.20,516800
2026-07-01,107.00,119.70,104.00,109.55,542400
2026-08-03,109.55,130.00,106.05,110.00,136800
2026-09-01,110.00,112.00,94.05,94.75,357600
