Date,Open,High,Low,Close,Volume
2024-10-01,108.90,108.90,91.95,97.90,430800
2024-11-01,97.75,98.00,78.20,83.35,297600
2024-12-02,85.90,93.50,74.00,76.95,190800
2025-01-01,80.00,106.00,73.00,96.00,915600
2025-02-01,96.80,99.95,72.75,75.90,429600
2025-03-03,75.00,78.50,60.00,61.90,584400
2025-04-01,65.00,81.90,65.00,78.00,244800
2025-05-02,77.00,97.65,75.00,90.00,183600
2025-06-02,94.00,96.50,86.00,95.00,100800
2025-07-01,96.00,175.50,86.00,135.00,1159200
2025-08-01,131.50,138.30,107.10,120.25,153600
2025-09-01,126.25,172.00,126.25,152.00,410400
2025-10-01,145.05,153.00,125.10,134.00,127200
2025-11-03,140.00,140.00,122.00,125.30,170400
2025-12-01,119.00,124.55,108.00,117.00,93600
2026-01-01,112.50,117.00,92.00,97.65,98400
2026-02-01,93.50,97.00,81.00,84.20,73200
2026-03-02,80.10,87.40,68.45,68.50,352800
2026-04-01,71.90,101.45,71.00,93.10,200400
2026-05-04,93.00,115.50,87.00,94.55,129600
2026-06-01,98.50,99.00,87.90,92.40,44400
2026-07-01,91.00,91.35,81.00,91.10,62400
2026-08-03,95.00,121.95,91.25,94.25,228000
2026-09-01,92.35,107.00,90.50,99.95,94800
