Date,Open,High,Low,Close,Volume
2024-12-02,18.60,20.45,18.60,20.45,3045
2025-01-01,21.45,27.70,21.45,27.70,4515
2025-02-01,28.25,28.80,28.25,28.80,1365
2025-03-03,29.90,38.30,29.90,38.30,5460
2025-04-01,39.05,49.15,39.05,49.15,6510
2025-05-02,50.10,63.20,50.10,63.20,4410
2025-06-02,64.45,82.95,64.45,82.95,5565
2025-07-01,82.95,127.65,82.95,127.65,5040
2025-08-01,130.20,152.40,127.25,127.25,10500
2025-09-01,124.70,124.70,95.00,95.00,32025
2025-10-01,95.00,96.90,85.55,92.55,9450
2025-11-03,94.40,129.10,94.40,124.45,13860
2025-12-01,122.00,122.00,91.40,91.40,11025
2026-01-01,89.60,98.85,78.60,78.60,8505
2026-02-01,77.05,77.05,68.40,75.50,4830
2026-03-02,77.00,99.25,75.50,99.25,9345
2026-04-01,99.25,105.30,94.65,94.65,7035
2026-05-04,92.80,92.80,83.10,83.10,2100
2026-06-01,83.10,83.10,74.00,76.50,4725
2026-07-01,75.00,75.00,67.90,69.25,1575
2026-08-03,68.00,68.00,64.20,64.20,2205
2026-09-01,64.20,65.45,64.20,65.45,945
