Date,Open,High,Low,Close,Volume
2018-07-02,60.33,61.00,60.33,61.00,21600
2018-08-01,60.00,64.00,60.00,62.00,460800
2018-09-03,60.68,63.33,60.00,60.00,146400
2018-10-01,60.00,63.00,60.00,62.67,136800
2018-11-01,61.67,71.67,60.12,61.33,532800
2018-12-03,60.33,62.87,60.03,60.10,484800
2019-01-01,62.33,64.67,60.00,60.33,333600
2019-02-01,60.00,62.67,60.00,60.87,768000
2019-03-01,61.33,61.67,60.02,61.67,693600
2019-04-01,62.00,62.98,60.00,61.33,372000
2019-05-02,60.00,61.33,60.00,60.67,357600
2019-06-03,60.00,63.00,60.00,61.68,434400
2019-07-01,60.67,64.65,60.67,64.65,343200
2019-08-01,63.33,64.95,63.33,64.95,283200
2019-09-03,63.33,64.67,61.12,61.12,216000
2019-10-01,61.63,69.00,61.00,63.33,506400
2019-11-01,62.50,62.67,60.00,62.67,91200
2019-12-02,62.50,62.50,60.00,62.33,62400
2020-01-01,60.00,60.33,60.00,60.00,19200
2020-02-01,60.33,62.33,60.00,60.00,156000
2020-03-02,61.67,61.67,54.83,56.67,672000
2020-04-01,61.67,61.67,61.67,61.67,110400
2020-05-04,56.67,56.67,56.33,56.33,4800
2020-06-01,56.65,56.65,54.18,54.18,4800
2020-07-01,53.33,61.67,49.42,61.67,36000
2020-08-03,55.33,55.67,53.92,55.67,36000
2020-09-01,53.07,60.00,51.32,56.67,146400
2020-10-01,53.42,60.33,53.42,60.00,184800
2020-11-02,54.80,54.80,50.68,50.68,24000
2020-12-01,48.78,48.78,46.88,46.88,4800
2021-01-01,46.67,49.33,46.67,48.33,578400
2021-02-01,48.33,48.33,46.67,46.67,223200
2021-03-01,46.78,48.93,46.78,47.17,439200
2021-04-01,48.33,49.00,48.33,49.00,247200
2021-05-03,47.33,48.33,47.33,48.33,134400
2021-06-01,48.17,71.68,48.17,63.97,782400
2021-07-01,63.33,63.33,53.33,56.33,55200
2021-08-02,53.17,53.33,53.17,53.33,144000
2021-09-01,53.33,53.67,53.33,53.67,372000
2021-11-01,57.65,59.32,47.00,59.32,48000
2021-12-01,47.67,56.67,47.67,47.75,249600
2022-02-01,46.67,46.67,46.67,46.67,2400
2022-03-02,46.67,53.30,40.17,53.17,628800
2022-04-01,46.67,46.67,46.67,46.67,36000
2022-08-01,50.00,50.00,50.00,50.00,151200
2022-09-01,49.67,50.00,33.33,33.33,758400
2022-12-01,31.00,31.00,20.33,20.50,206400
2023-01-02,20.33,20.33,20.33,20.33,871200
2023-03-01,19.33,21.25,19.33,20.00,225600
2023-04-03,20.00,20.00,18.17,19.07,187200
2023-05-02,18.17,18.17,10.50,10.50,453600
2023-06-01,11.02,11.57,11.02,11.57,69600
2023-07-03,11.03,11.03,11.03,11.03,36000
2023-09-01,10.70,10.70,10.70,10.70,43200
2023-10-03,11.23,11.23,11.23,11.23,2400
2023-11-01,11.78,11.78,11.78,11.78,2400
2023-12-01,12.37,12.37,11.20,11.27,91200
2024-03-01,11.33,11.33,11.33,11.33,24000
2024-08-01,11.00,11.00,10.50,10.50,4800
2024-10-01,11.02,12.13,11.02,12.13,372000
2024-12-02,12.73,15.47,12.73,15.47,170400
2025-01-01,16.23,17.88,16.23,16.67,307200
2025-02-01,17.50,25.77,17.50,25.77,26400
2025-03-03,25.33,25.33,24.83,24.83,12000
2025-04-01,25.83,25.83,25.83,25.83,2400
2025-05-02,26.67,28.85,26.67,28.85,7200
2025-06-02,28.85,28.85,28.85,28.85,2400
2025-07-01,29.37,29.37,29.37,29.37,2400
2025-09-01,30.83,47.63,30.83,47.63,57600
2025-10-01,50.00,60.70,50.00,60.50,36000
2026-09-01,60.00,60.00,59.50,59.50,115200
