Date,Open,High,Low,Close,Volume
2024-05-02,62.25,65.35,50.10,53.05,2372000
2024-06-03,55.30,67.15,49.25,58.95,1422000
2024-07-01,59.90,74.40,57.10,57.70,2070000
2024-08-01,57.75,59.00,51.20,51.30,514000
2024-09-02,51.00,52.45,45.05,47.95,392000
2024-10-01,47.95,47.95,39.85,41.65,210000
2024-11-01,40.25,41.90,34.15,36.00,220000
2024-12-02,35.20,38.55,33.65,35.65,146000
2025-01-01,35.65,35.65,27.55,28.95,210000
2025-02-01,27.65,29.35,23.45,24.50,168000
2025-03-03,25.00,25.00,17.80,18.00,652000
2025-04-01,17.95,29.60,17.95,27.80,204000
2025-05-02,28.00,30.65,26.75,30.65,68000
2025-06-02,30.60,30.60,26.00,26.70,68000
2025-07-01,27.50,27.80,23.70,24.65,56000
2025-08-01,25.70,28.30,25.70,26.90,60000
2025-09-01,26.80,31.90,25.75,28.35,114000
2025-10-01,28.05,28.05,24.00,25.50,62000
2025-11-03,24.90,26.95,24.30,25.00,50000
2025-12-01,25.10,25.90,21.25,23.60,48000
2026-01-01,23.60,23.60,20.00,20.00,62000
2026-02-01,19.55,21.50,17.85,19.00,50000
2026-03-02,19.50,19.85,17.25,17.35,126000
2026-04-01,18.00,24.80,18.00,22.90,126000
2026-05-04,22.60,22.95,19.75,19.75,54000
2026-06-01,18.90,19.80,17.95,19.20,120000
2026-07-01,18.55,20.25,18.20,19.15,58000
2026-08-03,19.10,20.90,16.15,18.15,480000
2026-09-01,18.10,18.20,17.00,17.80,38000
