Date,Open,High,Low,Close,Volume
2023-11-01,214.00,225.00,165.85,197.55,1159200
2023-12-01,201.00,209.00,171.10,199.85,426000
2024-01-01,198.15,411.90,190.00,353.85,2624400
2024-02-01,353.85,385.00,276.45,295.10,363000
2024-03-01,295.00,315.25,226.00,275.10,299400
2024-04-01,275.10,310.00,262.50,297.90,91800
2024-05-02,291.50,340.95,253.25,303.20,403200
2024-06-03,293.05,455.00,278.45,428.70,703800
2024-07-01,439.65,544.90,439.65,512.60,622800
2024-08-01,524.50,543.90,400.05,446.30,241200
2024-09-02,462.00,487.80,397.10,409.25,116400
2024-10-01,404.00,463.95,350.00,422.80,180600
2024-11-01,422.00,445.00,338.15,354.10,80700
2024-12-02,354.10,354.10,245.10,270.20,288900
2025-01-01,274.90,321.10,260.00,266.00,111000
2025-02-01,260.70,276.90,187.05,187.05,181800
2025-03-03,187.05,187.05,134.00,150.20,545400
2025-04-01,147.20,178.50,144.25,178.50,23100
2025-05-02,181.95,181.95,120.85,154.55,190500
2025-06-02,157.00,168.50,138.20,138.20,40800
2025-07-01,138.20,209.20,138.20,188.95,263400
2025-08-01,185.20,185.20,160.55,160.85,81000
2025-09-01,162.00,169.90,139.00,145.00,377700
2025-10-01,152.70,152.70,130.05,134.05,29400
2025-11-03,135.00,143.90,112.80,136.80,312600
2025-12-01,131.05,147.00,108.00,123.00,158700
2026-01-01,111.05,124.00,100.00,117.50,591000
2026-02-01,121.95,170.70,116.10,162.65,378000
2026-03-02,150.10,158.90,113.20,115.40,224100
2026-04-01,120.00,184.70,120.00,154.00,330000
2026-05-04,155.00,189.00,155.00,173.45,412500
2026-06-01,175.10,207.85,155.30,202.60,710100
2026-07-01,204.00,275.00,187.20,269.30,399600
2026-08-03,285.00,317.00,222.00,301.00,395100
2026-09-01,291.15,340.00,255.50,268.70,107700
