Date,Open,High,Low,Close,Volume
2024-09-02,64.00,64.00,57.80,57.80,1676000
2024-10-01,54.95,54.95,29.10,32.80,5270000
2024-11-01,32.50,33.80,27.50,28.80,730000
2024-12-02,28.80,30.45,26.35,27.95,670000
2025-01-01,28.00,30.00,25.80,26.50,480000
2025-02-01,26.05,27.35,22.00,22.00,376000
2025-03-03,21.50,22.40,16.75,19.10,1152000
2025-04-01,20.00,23.20,19.90,21.65,168000
2025-05-02,21.25,29.10,20.05,25.05,444000
2025-06-02,24.55,25.40,23.15,25.00,178000
2025-07-01,25.50,26.00,21.55,22.00,204000
2025-08-01,21.55,23.30,19.00,21.50,274000
2025-09-01,21.50,24.00,20.85,21.50,244000
2025-10-01,21.60,21.95,18.75,20.85,190000
2025-11-03,20.35,21.75,18.70,18.75,142000
2025-12-01,18.80,22.25,17.50,21.25,388000
2026-01-01,22.50,25.50,18.45,20.65,450000
2026-02-01,21.90,22.00,17.50,18.90,130000
2026-03-02,19.90,19.90,15.25,15.55,344000
2026-04-01,16.35,20.25,16.35,19.00,100000
2026-05-04,19.75,20.00,17.30,18.95,198000
2026-06-01,18.05,18.95,16.00,17.50,122000
2026-07-01,19.50,19.50,15.25,15.70,340000
2026-08-03,16.50,16.50,13.20,14.15,160000
2026-09-01,13.85,15.80,13.35,14.90,76000
