Date,Open,High,Low,Close,Volume
2024-12-02,199.00,235.00,184.00,191.75,3064000
2025-01-01,185.05,200.00,147.00,162.25,1735000
2025-02-01,164.85,173.80,120.30,135.00,739000
2025-03-03,134.00,150.00,119.55,140.05,1112000
2025-04-01,140.50,258.00,140.50,213.75,1495000
2025-05-02,204.00,281.20,198.00,281.20,553000
2025-06-02,286.70,342.55,286.70,329.90,391000
2025-07-01,336.35,390.00,324.00,368.00,218000
2025-08-01,375.35,397.90,317.00,380.00,391000
2025-09-01,398.90,501.80,382.00,425.50,322000
2025-10-01,445.50,587.95,420.00,576.20,277000
2025-11-03,587.70,587.70,491.80,491.80,257500
2025-12-01,482.00,491.40,381.00,401.10,566500
2026-01-01,405.00,428.95,279.35,324.75,568250
2026-02-01,320.00,395.95,301.00,303.45,260000
2026-03-02,303.45,308.00,244.45,244.65,546000
2026-04-01,256.30,339.95,250.00,279.35,566750
2026-05-04,285.00,420.00,261.20,394.90,993500
2026-06-01,394.00,484.00,359.40,443.05,685500
2026-07-01,442.00,496.00,314.00,336.85,483750
2026-08-03,330.00,428.00,304.00,402.50,732750
2026-09-01,396.20,459.90,380.20,450.00,389000
