Date,Open,High,Low,Close,Volume
2023-05-02,213.91,247.61,213.91,247.61,1468000
2023-06-01,259.99,467.50,245.14,461.04,2241600
2023-07-03,461.04,536.12,378.75,527.67,964800
2023-08-01,537.49,613.12,525.24,540.00,613600
2023-09-01,540.00,640.03,506.25,636.37,737600
2023-10-03,643.75,729.38,613.76,718.66,336000
2023-11-01,721.22,737.38,645.00,705.28,151000
2023-12-01,700.12,986.87,612.51,956.69,324600
2024-01-01,956.69,973.12,751.50,822.88,305000
2024-02-01,837.48,962.38,723.38,725.01,389400
2024-03-01,775.00,912.50,600.00,862.42,484800
2024-04-01,889.99,1093.38,706.25,921.12,716200
2024-05-02,940.61,1087.38,856.25,928.86,575000
2024-06-03,918.75,1150.00,795.62,1023.58,354400
2024-07-01,1050.00,1174.00,900.50,1066.18,428000
2024-08-01,1100.00,1382.00,1005.50,1350.00,471200
2024-09-02,1350.00,1417.38,1150.00,1310.10,290800
2024-10-01,1310.00,1385.50,1190.00,1308.35,165800
2024-11-01,1324.00,1385.00,1110.50,1355.25,143500
2024-12-02,1360.00,1360.00,1165.00,1248.75,133700
2025-01-01,1228.00,1288.50,1004.05,1193.40,141500
2025-02-01,1209.97,1209.97,900.00,1075.10,170300
2025-03-03,1075.10,1145.00,932.50,1119.47,211900
2025-04-01,1112.45,1125.00,940.50,1010.20,77700
2025-05-02,1007.50,1139.50,912.50,1044.25,117400
2025-06-02,1012.50,1020.00,890.52,985.17,127000
2025-07-01,990.00,1021.80,870.00,920.50,132100
2025-08-01,893.50,952.00,819.00,892.00,57600
2025-09-01,920.50,922.00,700.00,719.45,84900
2025-10-01,740.00,754.00,630.00,720.05,101700
2025-11-03,728.65,859.00,645.00,690.00,86000
2025-12-01,672.20,762.00,611.05,702.20,68000
2026-01-01,701.00,847.00,630.55,646.00,110900
2026-02-01,613.10,736.00,613.00,669.00,49600
2026-03-02,590.00,745.00,580.00,627.90,106100
2026-04-01,628.00,710.00,600.00,685.30,90700
2026-05-04,694.50,937.00,694.50,696.10,278900
2026-06-01,696.10,829.00,679.00,779.25,117300
2026-07-01,775.25,810.05,705.00,720.00,102500
2026-08-03,725.00,987.50,725.00,899.45,344800
2026-09-01,900.00,1007.00,835.10,979.05,123900
