Date,Open,High,Low,Close,Volume
2025-07-01,151.00,166.45,138.45,156.05,7128000
2025-08-01,156.00,161.40,130.50,138.05,2298000
2025-09-01,140.00,173.55,139.00,151.95,1782000
2025-10-01,150.00,165.00,136.00,143.10,1021200
2025-11-03,144.70,164.45,141.00,155.30,730800
2025-12-01,155.30,160.00,135.00,139.00,324000
2026-01-01,141.70,145.50,105.55,109.00,340800
2026-02-01,109.00,128.00,107.00,107.50,433200
2026-03-02,90.05,106.20,80.00,92.60,1950000
2026-04-01,95.90,137.90,95.00,122.95,273600
2026-05-04,122.00,134.25,107.55,111.00,212400
2026-06-01,113.05,118.00,102.45,110.00,297600
2026-07-01,105.25,112.90,99.25,99.25,146400
2026-08-03,100.00,105.00,96.50,101.00,156000
2026-09-01,101.05,106.00,98.95,99.00,141600
