Date,Open,High,Low,Close,Volume
2024-04-01,90.00,118.50,83.45,95.45,7892800
2024-05-02,95.00,103.50,88.35,91.35,2756800
2024-06-03,94.25,98.75,81.95,93.00,1158400
2024-07-01,95.00,121.85,92.00,97.15,3600000
2024-08-01,97.00,107.00,90.60,96.70,1243200
2024-09-02,97.55,98.00,86.00,89.00,2228800
2024-10-01,89.50,95.00,83.55,88.75,580800
2024-11-01,88.75,91.00,80.00,85.25,707200
2024-12-02,86.30,95.85,82.10,87.00,868800
2025-01-01,93.35,93.35,81.00,87.30,684800
2025-02-01,86.00,86.20,74.00,78.50,705600
2025-03-03,80.00,81.80,72.60,80.20,1083200
2025-04-01,80.20,81.40,74.00,80.00,512000
2025-05-02,79.20,85.00,77.70,81.65,518400
2025-06-02,79.50,85.60,77.70,84.25,467200
2025-07-01,83.00,96.25,80.00,90.35,811200
2025-08-01,90.00,138.00,88.35,126.45,1643200
2025-09-01,125.40,153.50,125.00,133.50,990400
2025-10-01,131.90,136.95,121.90,131.00,363200
2025-11-03,132.90,133.00,99.75,119.65,531200
2025-12-01,118.70,138.50,112.00,122.90,434400
2026-01-01,122.00,127.80,108.00,118.00,220000
2026-02-01,120.40,132.95,108.00,110.95,111200
2026-03-02,108.00,122.10,97.50,104.05,181600
2026-04-01,106.00,123.00,106.00,116.70,130400
2026-05-04,116.70,140.50,116.70,129.00,404800
2026-06-01,129.95,131.05,115.00,116.60,143200
2026-07-01,115.05,135.00,106.05,112.85,204000
2026-08-03,119.00,128.00,108.00,124.75,163200
2026-09-01,123.00,136.00,110.50,133.90,248800
