Date,Open,High,Low,Close,Volume
2024-06-03,100.00,244.95,99.20,224.05,4974000
2024-07-01,235.25,304.55,229.10,280.95,4893600
2024-08-01,290.00,362.70,267.55,355.00,3572400
2024-09-02,360.00,420.70,321.50,420.25,2289600
2024-10-01,434.00,483.80,346.75,395.95,1252200
2024-11-01,415.40,417.00,326.40,391.15,606900
2024-12-02,398.95,569.00,398.00,569.00,330900
2025-01-01,580.35,731.15,580.35,627.00,441300
2025-02-01,627.00,644.95,533.00,533.00,693300
2025-03-03,507.00,611.00,481.05,594.95,319800
2025-04-01,606.80,657.90,555.10,589.25,266700
2025-05-02,580.00,618.70,530.00,584.15,453300
2025-06-02,610.15,675.00,523.30,560.60,959100
2025-07-01,560.00,638.95,539.00,620.20,396900
2025-08-01,608.10,624.00,499.00,513.50,1237800
2025-09-01,521.00,628.00,520.10,596.45,783000
2025-10-01,596.00,607.00,530.00,573.20,496500
2025-11-03,589.00,589.00,489.00,508.40,863700
2025-12-01,513.95,701.00,460.00,661.10,1816500
2026-01-01,670.00,678.90,549.95,557.90,795000
2026-02-01,582.00,620.00,495.00,518.00,402900
2026-03-02,510.00,540.00,472.00,507.35,393900
2026-04-01,511.10,629.00,510.00,619.45,365100
2026-05-04,625.00,660.00,560.00,580.55,588300
2026-06-01,590.00,635.00,561.15,624.25,535800
2026-07-01,626.00,651.10,505.10,525.40,318600
2026-08-03,530.00,544.80,470.00,480.05,503400
2026-09-01,481.00,514.00,385.00,412.25,315900
