Date,Open,High,Low,Close,Volume
2024-02-12,329.00,362.70,329.00,362.70,3007200
2024-02-19,380.80,419.75,361.80,382.90,3387600
2024-02-26,386.00,417.00,367.25,384.35,1860000
2024-03-04,387.95,394.95,291.50,339.75,1604400
2024-03-11,343.60,351.00,235.00,299.15,1471200
2024-03-18,309.00,315.00,267.00,268.85,810000
2024-03-26,272.90,332.30,256.50,332.30,1165200
2024-04-01,359.95,407.00,355.00,363.65,1146000
2024-04-08,367.00,432.10,338.00,424.50,1932000
2024-04-15,424.50,487.65,396.00,487.65,1450800
2024-04-22,512.00,544.00,485.00,510.10,1048800
2024-04-29,533.00,619.95,530.50,619.95,877200
2024-05-06,650.90,753.40,588.95,647.65,1169200
2024-05-13,640.00,712.00,590.00,672.25,752800
2024-05-21,680.00,741.10,656.00,668.10,696800
2024-05-27,679.00,701.50,607.65,632.30,1090400
2024-06-03,663.90,666.60,574.45,666.60,618400
2024-06-10,699.90,806.60,682.50,806.60,1075200
2024-06-18,845.45,980.30,806.60,887.00,928000
2024-06-24,842.65,1054.70,842.65,937.10,1003600
2024-07-01,963.00,1131.70,950.00,1014.05,1015200
2024-07-08,1024.00,1024.00,869.45,901.70,1007600
2024-07-15,907.00,922.00,820.25,823.20,406000
2024-07-22,799.00,906.00,785.00,830.20,422400
2024-07-29,835.00,858.00,660.50,724.00,776000
2024-08-05,687.80,769.40,660.40,769.40,407200
2024-08-12,803.00,890.60,775.00,807.85,418000
2024-08-19,818.50,840.00,770.55,808.80,239600
2024-08-26,808.85,941.95,770.00,941.95,630800
2024-09-02,989.00,1038.45,896.00,915.15,625600
2024-09-09,906.00,926.00,846.05,856.75,225200
2024-09-16,868.00,895.10,771.35,836.50,319600
2024-09-23,836.00,836.00,774.00,780.00,160400
2024-09-30,799.00,903.55,772.50,865.10,266400
2024-10-07,879.90,945.00,815.50,885.75,403200
2024-10-14,898.90,1058.55,870.00,935.50,803200
2024-10-21,937.10,954.75,791.00,794.40,581600
2024-10-28,794.40,903.80,755.05,887.60,372400
2024-11-04,872.20,974.00,845.00,926.20,599600
2024-11-11,924.00,945.00,840.60,841.80,579800
2024-11-18,859.95,909.00,805.05,818.95,351800
2024-11-25,848.00,859.50,780.00,807.80,466200
2024-12-02,805.00,899.15,795.00,893.40,470400
2024-12-09,897.05,938.85,840.50,883.20,556000
2024-12-16,884.85,967.90,840.00,907.35,564200
2024-12-23,922.00,957.00,840.00,854.65,370000
2024-12-30,847.00,868.00,820.15,860.95,207800
2025-01-06,855.00,878.70,765.60,795.55,333000
2025-01-13,789.00,792.00,707.15,771.10,346400
2025-01-20,756.05,779.95,660.00,680.50,306200
2025-01-27,670.00,692.00,552.05,650.80,741400
2025-02-03,662.95,757.55,618.35,717.05,262000
2025-02-10,723.00,740.00,647.55,654.95,390400
2025-02-17,648.90,686.05,582.25,679.95,373200
2025-02-24,672.65,672.65,580.00,587.80,209000
2025-03-03,587.00,645.95,555.00,624.60,394800
2025-03-10,633.00,633.00,535.55,541.85,318600
2025-03-17,541.85,617.00,495.00,599.90,603000
2025-03-24,611.00,621.50,536.50,566.90,578200
2025-04-01,566.00,675.00,555.00,620.45,324000
2025-04-07,559.00,667.00,558.40,655.05,228800
2025-04-15,679.00,764.85,669.00,749.85,225600
2025-04-21,755.25,837.40,731.00,790.55,742200
2025-04-28,790.05,821.00,745.85,750.60,422000
2025-05-05,755.05,804.05,735.10,748.75,425400
2025-05-12,786.15,869.95,786.15,847.80,338000
2025-05-19,860.00,940.00,829.30,894.05,662200
2025-05-26,903.00,938.50,858.15,918.90,374400
2025-06-02,939.00,1083.95,923.25,984.80,745400
2025-06-09,991.00,1034.00,922.00,981.75,560400
2025-06-16,988.00,1059.00,955.00,998.60,1018200
2025-06-23,980.00,1150.00,978.00,1092.75,1095800
2025-06-30,1121.95,1163.00,1052.05,1105.05,539200
2025-07-07,1105.00,1139.80,1012.05,1106.95,504800
2025-07-14,1119.55,1213.90,1103.55,1159.10,383800
2025-07-21,1169.00,1297.00,1122.00,1252.20,517000
2025-07-28,1252.75,1317.75,1215.00,1230.55,373600
2025-08-04,1239.90,1280.90,1135.00,1262.35,426400
2025-08-11,1263.00,1449.70,1228.00,1324.25,715800
2025-08-18,1351.00,1376.75,1288.00,1311.30,477200
2025-08-25,1311.00,1321.55,1181.40,1239.35,627000
2025-09-01,1243.50,1261.00,1202.50,1254.65,303800
2025-09-08,1256.00,1374.85,1256.00,1307.05,425400
2025-09-15,1307.05,1332.90,1271.20,1280.75,223200
2025-09-22,1276.10,1289.95,1182.20,1198.15,258800
2025-09-29,1198.15,1219.50,1144.50,1197.60,219200
2025-10-06,1197.60,1227.95,1088.05,1182.35,471800
2025-10-13,1186.00,1210.00,1141.05,1148.40,202200
2025-10-20,1160.00,1209.00,1110.00,1200.70,225200
2025-10-27,1218.75,1236.00,1160.00,1200.05,252900
2025-11-03,1210.70,1319.00,1187.00,1280.00,860200
2025-11-10,1275.00,1305.00,1231.20,1248.05,254200
2025-11-17,1267.80,1267.80,1180.25,1185.15,213400
2025-11-24,1185.15,1194.00,1105.00,1160.25,241800
2025-12-01,1169.00,1180.95,941.00,959.35,554900
2025-12-08,941.05,941.05,786.10,867.05,1026500
2025-12-15,879.95,879.95,762.30,819.20,391400
2025-12-22,828.00,835.00,807.00,813.70,160700
2025-12-29,815.20,844.00,775.25,825.30,189100
2026-01-05,825.35,828.00,745.00,763.75,244700
2026-01-12,755.00,868.95,709.00,848.05,382500
2026-01-19,858.00,867.50,726.00,777.35,262400
2026-01-27,780.00,801.00,706.00,711.45,271900
2026-02-02,714.80,873.50,660.00,864.20,456900
2026-02-09,894.45,956.00,840.00,876.60,380600
2026-02-16,885.00,893.00,796.40,806.75,203400
2026-02-23,809.00,829.60,702.00,769.85,260000
2026-03-02,710.00,740.00,686.85,731.30,236600
2026-03-09,721.20,777.00,700.00,716.80,229000
2026-03-16,712.00,788.00,691.10,770.55,284300
2026-03-23,760.00,830.00,735.10,771.70,433300
2026-03-30,759.00,882.00,740.10,860.85,278300
2026-04-06,860.15,934.00,842.05,915.50,325100
2026-04-13,902.00,1040.00,880.60,1029.10,391500
2026-04-20,1025.05,1074.00,1012.50,1035.75,281200
2026-04-27,1035.75,1187.00,1020.00,1091.65,315300
2026-05-04,1080.50,1114.90,1035.60,1054.45,182100
2026-05-11,1058.00,1058.00,898.00,969.65,387100
2026-05-18,968.95,1047.00,916.50,955.15,415300
2026-05-25,968.90,1014.60,950.20,996.25,262400
2026-06-01,996.00,1033.00,985.05,1000.45,225100
2026-06-08,986.00,999.40,915.05,953.40,178900
2026-06-15,978.00,1009.90,941.50,947.70,195900
2026-06-22,948.10,964.00,910.05,922.55,177400
2026-06-29,911.00,922.55,855.00,866.85,219700
2026-07-06,858.50,858.50,763.05,800.05,472700
2026-07-13,794.90,919.95,776.55,856.55,383300
2026-07-20,860.00,919.50,831.05,836.35,214300
2026-07-27,842.05,861.95,800.60,829.05,133000
2026-08-03,839.00,849.90,801.00,803.95,151200
2026-08-10,800.00,815.00,752.20,777.10,286200
2026-08-17,774.10,900.00,741.00,815.80,590200
2026-08-24,825.00,888.80,815.00,849.05,179200
2026-08-31,855.00,905.00,825.00,889.30,270000
2026-09-07,900.00,950.05,880.15,934.20,299700
2026-09-15,948.80,948.80,870.00,916.65,170700
