Date,Open,High,Low,Close,Volume
2024-04-08,45.00,47.90,43.10,44.00,3678000
2024-04-15,42.50,44.55,39.50,44.45,825000
2024-04-22,46.55,48.60,45.15,46.40,1503000
2024-04-29,46.20,53.70,46.00,51.00,1551000
2024-05-06,52.50,59.00,51.00,52.35,1650000
2024-05-13,52.50,55.25,51.75,54.00,552000
2024-05-21,54.00,57.00,52.50,53.60,342000
2024-05-27,52.70,59.00,52.70,54.10,930000
2024-06-03,54.20,54.80,44.20,53.25,339000
2024-06-10,55.00,59.10,51.35,59.10,723000
2024-06-18,65.00,78.80,65.00,78.80,1377000
2024-06-24,82.40,82.40,68.20,69.30,777000
2024-07-01,67.30,74.90,63.30,69.50,753000
2024-07-08,69.10,71.60,64.60,68.45,342000
2024-07-15,69.95,70.00,62.25,65.70,237000
2024-07-22,65.50,65.55,60.00,62.55,141000
2024-07-29,63.00,63.70,55.15,58.10,120000
2024-08-05,56.00,61.90,54.70,59.55,264000
2024-08-12,60.10,60.10,54.00,57.60,321000
2024-08-19,60.35,69.80,58.10,63.25,303000
2024-08-26,63.95,68.00,63.00,63.40,219000
2024-09-02,65.00,69.00,63.00,64.50,207000
2024-09-09,63.00,70.70,63.00,68.50,279000
2024-09-16,71.90,71.90,63.00,64.00,144000
2024-09-23,64.00,69.65,62.00,67.05,231000
2024-09-30,67.00,68.00,63.75,64.00,123000
2024-10-07,64.05,65.90,61.00,63.15,102000
2024-10-14,64.00,65.85,63.00,63.50,69000
2024-10-21,63.80,64.80,58.00,62.00,138000
2024-10-28,63.00,66.00,63.00,65.55,118500
2024-11-04,67.00,69.00,63.60,64.20,100500
2024-11-11,64.95,67.40,60.50,60.50,67500
2024-11-18,57.50,57.50,51.00,51.85,288000
2024-11-25,53.00,59.90,50.00,59.90,238500
2024-12-02,62.70,62.85,57.80,59.50,150000
2024-12-09,58.00,63.90,56.55,60.35,168000
2024-12-16,59.05,62.20,59.00,59.50,127500
2024-12-23,59.50,59.80,58.00,58.00,33000
2024-12-30,57.10,61.20,55.00,61.20,123000
2025-01-06,64.25,65.20,61.00,61.00,336000
2025-01-13,58.00,62.90,55.15,62.90,130500
2025-01-20,65.45,70.80,65.00,70.55,429000
2025-01-27,72.00,72.00,65.25,69.00,238500
2025-02-03,65.60,71.50,65.60,69.00,112500
2025-02-10,68.00,70.00,59.70,63.25,139500
2025-02-17,62.00,63.00,58.50,62.00,37500
2025-02-24,61.00,63.50,58.75,59.00,36000
2025-03-03,58.00,58.75,53.15,58.00,90000
2025-03-10,57.00,58.60,56.00,56.10,54000
2025-03-17,56.10,57.50,55.00,56.00,78000
2025-03-24,56.00,56.50,50.00,51.00,139500
2025-04-01,51.00,53.90,51.00,52.55,21000
2025-04-07,50.00,53.50,48.00,51.35,52500
2025-04-15,51.50,59.50,50.00,56.25,46500
2025-04-21,55.25,60.50,55.00,56.25,40500
2025-04-28,57.75,59.75,55.00,55.95,42000
2025-05-05,55.90,56.90,53.50,54.50,27000
2025-05-12,53.25,56.90,50.55,54.10,36000
2025-05-19,55.50,63.50,55.40,62.20,228000
2025-05-26,63.75,76.00,60.50,73.50,495000
2025-06-02,73.50,76.50,67.10,70.65,732000
2025-06-09,70.10,88.80,70.10,86.10,754500
2025-06-16,86.00,88.00,81.00,81.25,232500
2025-06-23,79.00,82.00,77.00,80.15,54000
2025-06-30,80.50,87.75,78.50,84.00,162000
2025-07-07,84.55,86.00,82.00,83.50,69000
2025-07-14,81.85,83.00,76.55,81.00,79500
2025-07-21,79.00,83.00,76.05,76.35,111000
2025-07-28,77.00,82.00,71.75,79.35,165000
2025-08-04,79.35,81.90,77.00,78.00,72000
2025-08-11,76.25,79.75,72.70,77.60,85500
2025-08-18,77.50,84.00,77.50,83.00,72000
2025-08-25,81.00,82.80,78.50,80.00,28500
2025-09-01,80.00,83.00,77.50,78.60,79500
2025-09-08,80.00,82.00,77.45,79.05,84000
2025-09-15,78.00,85.35,78.00,85.35,181500
2025-09-22,91.00,95.80,84.65,85.95,205500
2025-09-29,81.55,85.00,80.00,82.00,30000
2025-10-06,85.95,85.95,82.50,84.90,51000
2025-10-13,86.00,92.00,85.50,89.15,127500
2025-10-20,90.50,92.00,87.00,88.50,61500
2025-10-27,90.00,91.90,86.60,90.95,70500
2025-11-03,88.10,90.65,86.40,87.40,67500
2025-11-10,85.85,87.50,80.00,80.00,97500
2025-11-17,82.00,85.00,80.00,84.50,64500
2025-11-24,83.00,84.95,77.00,78.00,39000
2025-12-01,78.20,78.50,71.00,73.95,79500
2025-12-08,71.00,75.00,68.50,75.00,55500
2025-12-15,75.00,78.95,69.75,72.00,51000
2025-12-22,70.50,70.50,70.00,70.50,6000
2025-12-29,73.40,73.40,63.55,69.35,40500
2026-01-05,70.15,70.20,58.05,66.00,57000
2026-01-12,65.25,71.50,65.00,71.50,78000
2026-01-19,70.00,70.95,64.25,64.25,40500
2026-01-27,60.75,66.00,58.00,60.80,54000
2026-02-02,60.00,63.00,57.10,61.00,24000
2026-02-09,59.00,63.80,58.00,60.40,64500
2026-02-16,60.00,64.95,60.00,61.00,33000
2026-02-23,61.50,63.00,61.50,61.50,12000
2026-03-02,61.50,61.50,59.00,59.00,91500
2026-03-09,59.95,63.00,55.00,59.00,129000
2026-03-16,58.00,61.00,57.60,58.30,171000
2026-03-23,55.60,58.00,52.15,54.90,118500
2026-03-30,52.90,55.00,52.50,53.90,61500
2026-04-06,51.00,61.00,51.00,60.00,34500
2026-04-13,58.00,60.00,56.55,59.00,28500
2026-04-20,59.00,59.00,56.00,56.00,54000
2026-04-27,57.50,58.70,53.25,54.80,66000
2026-05-04,52.00,53.75,50.00,50.40,178500
2026-05-11,51.90,52.25,45.15,48.90,84000
2026-05-18,48.85,54.00,47.25,50.70,63000
2026-05-25,49.00,56.00,46.10,49.80,600000
2026-06-01,48.00,55.00,47.00,51.70,534000
2026-06-08,51.50,52.00,47.65,50.50,169500
2026-06-15,52.90,52.90,48.00,49.40,103500
2026-06-22,50.95,51.00,48.00,49.35,49500
2026-06-29,50.90,50.90,45.00,46.50,342000
2026-07-06,46.50,46.50,41.00,43.20,273000
2026-07-13,42.30,47.50,40.00,46.00,172500
2026-07-20,46.40,49.90,44.00,49.00,120000
2026-07-27,47.00,52.70,47.00,49.20,114000
2026-08-03,49.50,51.25,48.05,49.20,45000
2026-08-10,49.20,50.50,48.50,49.60,25500
2026-08-17,48.90,52.90,45.50,50.75,165000
2026-08-24,49.15,50.90,47.00,47.55,103500
2026-08-31,47.55,49.80,45.25,49.20,37500
2026-09-07,48.50,48.95,45.50,47.75,55500
2026-09-15,47.20,53.00,45.25,49.85,88500
