Date,Open,High,Low,Close,Volume
2024-12-16,104.50,110.00,89.40,89.40,2774000
2024-12-23,84.95,84.95,72.90,75.50,968000
2024-12-30,71.75,82.30,62.00,78.50,2936000
2025-01-06,79.50,79.50,66.40,69.70,272000
2025-01-13,67.15,68.75,62.95,65.35,258000
2025-01-20,66.75,66.75,58.20,63.50,312000
2025-01-27,60.60,63.35,57.35,60.55,288000
2025-02-03,60.60,65.00,58.30,62.50,66000
2025-02-10,60.10,62.40,56.20,60.65,172000
2025-02-17,57.65,61.40,57.65,59.15,64000
2025-02-24,60.00,64.35,58.35,63.50,388000
2025-03-03,63.00,63.00,56.95,59.70,294000
2025-03-10,57.90,58.00,55.00,56.00,54000
2025-03-17,56.00,58.55,53.15,58.55,114000
2025-03-24,58.55,59.00,49.20,49.20,178000
2025-04-01,47.00,51.00,45.90,48.00,28000
2025-04-07,53.00,53.00,45.20,51.70,28000
2025-04-15,54.10,66.00,54.10,59.00,56000
2025-04-21,61.00,65.80,56.60,58.60,64000
2025-04-28,56.00,58.00,54.10,54.30,38000
2025-05-05,54.05,57.00,54.05,55.50,32000
2025-05-12,57.00,60.50,57.00,59.00,26000
2025-05-19,59.00,59.00,54.50,54.50,18000
2025-05-26,54.50,59.00,54.50,56.05,74000
2025-06-02,51.75,55.00,51.75,53.50,104000
2025-06-09,55.40,56.00,50.00,54.95,50000
2025-06-16,48.00,56.80,46.00,49.35,210000
2025-06-23,48.00,49.80,45.00,48.80,66000
2025-06-30,47.30,49.70,47.25,49.00,160000
2025-07-07,53.50,53.50,48.60,50.00,66000
2025-07-14,50.00,51.75,48.50,50.25,94000
2025-07-21,50.85,50.85,45.00,45.00,302000
2025-07-28,44.75,45.95,44.20,44.30,46000
2025-08-04,46.40,46.50,44.75,44.75,96000
2025-08-11,43.10,44.20,41.35,44.20,26000
2025-08-18,42.30,45.85,42.00,44.00,114000
2025-08-25,42.50,44.50,42.00,44.50,46000
2025-09-01,44.50,44.85,42.10,44.50,26000
2025-09-08,44.05,45.20,43.70,44.00,66000
2025-09-15,44.25,45.45,43.55,43.95,54000
2025-09-22,44.70,45.00,42.55,43.85,44000
2025-09-29,42.55,42.55,39.50,40.75,80000
2025-10-06,41.70,41.95,40.50,40.50,54000
2025-10-13,40.05,41.05,40.05,40.45,20000
2025-10-20,38.70,42.00,38.70,41.25,32000
2025-10-27,42.10,42.10,39.50,40.80,74000
2025-11-03,40.80,40.90,39.15,40.00,46000
2025-11-10,40.05,41.00,35.00,36.50,286000
2025-11-17,35.65,37.20,33.00,35.05,190000
2025-11-24,33.95,34.00,31.00,33.50,32000
2025-12-01,32.00,33.50,30.50,31.70,68000
2025-12-08,30.40,31.25,28.20,30.70,48000
2025-12-15,32.20,35.25,25.05,28.00,218000
2025-12-22,28.00,31.40,28.00,31.40,50000
2025-12-29,30.25,30.80,29.20,30.20,80000
2026-01-05,30.20,35.90,29.65,31.50,48000
2026-01-12,30.00,33.00,30.00,33.00,32000
2026-01-19,30.75,30.75,23.90,26.05,56000
2026-01-27,29.80,30.35,26.50,27.60,40000
2026-02-02,28.00,31.85,28.00,29.45,22000
2026-02-09,29.00,29.00,28.00,28.50,10000
2026-02-16,28.50,29.00,24.50,26.70,102000
2026-02-23,25.55,30.95,25.00,25.55,146000
2026-03-02,24.95,26.30,22.10,24.05,30000
2026-03-09,24.00,26.95,22.60,23.50,68000
2026-03-16,23.60,24.95,21.35,24.50,98000
2026-03-23,24.00,25.20,22.00,22.30,174000
2026-03-30,20.05,24.80,20.05,24.75,116000
2026-04-06,24.75,30.10,24.75,29.20,154000
2026-04-13,28.75,31.45,27.20,29.55,40000
2026-04-20,27.15,30.90,27.15,29.30,14000
2026-04-27,25.85,35.20,25.85,31.95,164000
2026-05-04,32.00,37.80,30.00,35.95,176000
2026-05-11,33.00,35.95,31.10,31.55,214000
2026-05-18,30.55,32.95,30.00,30.05,78000
2026-05-25,33.75,35.85,29.55,29.60,186000
2026-06-01,28.20,31.90,27.50,28.70,148000
2026-06-08,28.70,29.45,28.00,28.45,20000
2026-06-15,28.55,29.95,28.40,28.80,68000
2026-06-22,28.25,31.00,27.55,29.70,174000
2026-06-29,30.75,31.00,24.80,25.90,382000
2026-07-06,26.05,26.05,24.50,24.90,116000
2026-07-13,25.85,25.90,23.00,23.25,50000
2026-07-20,23.60,25.20,21.85,24.25,72000
2026-07-27,25.55,28.90,24.00,27.10,56000
2026-08-03,26.95,27.45,24.50,25.50,40000
2026-08-10,25.50,25.50,25.50,25.50,2000
2026-08-17,24.40,25.70,24.30,25.00,12000
2026-08-24,26.00,27.80,24.60,25.00,44000
2026-08-31,24.65,25.60,24.00,25.00,24000
2026-09-07,23.20,23.60,23.20,23.60,14000
2026-09-15,23.00,25.00,22.90,24.00,14000
