Date,Open,High,Low,Close,Volume
2022-05-30,34.28,36.59,32.59,36.59,2993716
2022-06-06,38.37,46.50,37.67,46.50,532311
2022-06-13,46.78,65.35,46.78,65.35,900666
2022-06-20,68.50,91.05,68.50,91.05,364000
2022-06-27,95.60,116.10,95.60,116.10,72000
2022-07-04,115.90,135.00,110.30,123.45,1324000
2022-07-11,117.30,117.30,105.90,105.90,20000
2022-07-18,100.65,105.40,90.90,103.75,904000
2022-07-25,100.50,117.25,98.20,117.25,780000
2022-08-01,117.25,134.85,115.25,134.85,268000
2022-08-08,146.00,166.40,130.10,165.15,332000
2022-08-16,172.40,176.40,162.45,162.45,96000
2022-08-22,154.35,165.00,141.55,141.55,544000
2022-08-29,134.50,153.25,134.50,144.80,336000
2022-09-05,137.60,150.95,124.15,124.15,256000
2022-09-12,117.95,129.40,110.00,118.00,108000
2022-09-19,121.00,121.00,91.35,97.25,212000
2022-09-26,92.40,96.95,88.85,92.15,164000
2022-10-03,87.65,87.75,75.30,79.10,368000
2022-10-10,78.00,84.70,75.20,84.65,72000
2022-10-17,88.80,88.80,78.15,82.10,40000
2022-10-24,86.00,86.90,81.70,84.30,12000
2022-10-31,80.20,92.00,76.10,87.50,100000
2022-11-07,83.15,96.25,83.15,96.25,36000
2022-11-14,99.00,99.00,89.35,93.75,28000
2022-11-21,89.10,89.80,84.65,88.05,28000
2022-11-28,83.65,85.00,80.75,80.80,32000
2022-12-05,83.00,87.40,77.70,82.00,656000
2022-12-12,86.00,90.40,86.00,90.25,28000
2022-12-19,85.75,85.75,80.00,84.40,24000
2022-12-26,80.25,87.95,79.70,87.95,44000
2023-01-02,92.30,106.15,91.90,98.80,200000
2023-01-09,100.70,100.70,91.70,99.10,56000
2023-01-16,98.00,98.00,98.00,98.00,8000
2023-01-23,102.90,102.90,92.80,96.95,1788000
2023-01-30,93.00,97.95,92.30,93.25,316000
2023-02-06,97.00,120.00,95.10,118.00,324000
2023-02-13,118.00,132.70,110.10,127.50,358000
2023-02-20,128.10,147.50,128.10,142.95,798000
2023-02-27,136.50,144.45,130.75,136.05,360000
2023-03-06,139.00,139.00,132.05,133.45,60000
2023-03-13,135.90,140.10,132.85,134.05,94000
2023-03-20,128.00,130.00,121.15,121.30,80000
2023-03-27,117.30,120.00,104.05,113.80,128000
2023-04-03,115.00,117.90,108.90,111.85,60000
2023-04-10,114.50,116.50,112.50,116.25,14000
2023-04-17,117.00,117.00,110.50,112.00,16000
2023-04-24,108.00,108.05,99.50,99.50,36000
2023-05-02,98.00,98.00,95.85,95.85,8000
2023-05-08,99.50,105.50,97.00,105.50,58000
2023-05-15,102.00,107.50,101.55,103.90,10000
2023-05-22,102.00,103.95,94.30,94.30,66000
2023-05-29,95.00,98.00,87.80,89.15,62000
2023-06-05,84.70,87.00,76.50,83.25,564000
2023-06-12,81.45,82.70,77.90,79.85,71000
2023-06-19,79.50,84.00,79.45,83.00,84000
2023-06-26,82.75,92.60,78.25,92.00,73000
2023-07-03,92.60,99.00,88.05,96.50,123000
2023-07-10,95.00,107.30,92.00,106.40,188000
2023-07-17,108.00,117.50,103.20,117.50,171000
2023-07-24,117.00,121.40,108.45,117.20,163000
2023-07-31,117.50,120.40,110.05,118.95,89000
2023-08-07,115.10,132.75,110.00,125.55,468000
2023-08-14,127.90,134.50,124.00,125.35,37000
2023-08-21,125.00,125.85,113.40,117.00,31000
2023-08-28,118.95,121.70,115.50,115.50,9000
2023-09-04,118.00,118.00,110.00,113.95,85000
2023-09-11,109.00,109.95,101.20,109.80,31000
2023-09-18,109.50,109.50,102.00,103.00,28000
2023-09-25,97.00,100.00,96.10,99.05,6000
2023-10-03,102.80,102.80,95.00,96.15,18000
2023-10-09,99.50,102.00,90.00,100.00,88000
2023-10-16,100.30,101.30,64.35,81.15,1132000
2023-10-23,84.40,84.40,70.25,73.00,73000
2023-10-30,75.90,75.90,66.15,67.50,386000
2023-11-06,69.20,69.20,60.15,63.70,80000
2023-11-13,62.00,63.90,60.00,61.65,27000
2023-11-20,61.05,64.00,59.60,63.10,97000
2023-11-28,67.90,75.90,67.00,71.65,204000
2023-12-04,74.50,112.80,71.05,101.55,2461000
2023-12-11,106.00,109.00,81.50,88.05,1993000
2023-12-18,88.90,88.90,79.60,83.65,216000
2023-12-26,84.50,87.00,81.65,84.25,66000
2024-01-01,84.00,84.25,81.25,82.65,76000
2024-01-08,83.00,86.45,81.30,82.20,110000
2024-01-15,82.00,85.25,77.00,79.50,94000
2024-01-23,79.50,80.35,75.00,79.30,23000
2024-01-29,78.10,81.80,76.20,76.95,72000
2024-02-05,74.60,75.45,66.55,69.20,163000
2024-02-12,67.65,72.45,62.40,65.00,95000
2024-02-19,63.55,69.40,63.55,69.40,43000
2024-02-26,69.40,71.00,64.80,70.00,161000
2024-03-04,69.35,69.40,60.60,61.95,73000
2024-03-11,62.00,62.00,47.85,50.05,337000
2024-03-18,49.00,49.00,43.95,44.45,248000
2024-03-26,44.45,46.25,39.55,39.60,319000
2024-04-01,39.05,50.40,39.05,50.20,275000
2024-04-08,52.70,53.50,48.25,48.75,169000
2024-04-15,47.60,48.85,46.05,47.15,78000
2024-04-22,46.55,50.30,45.15,49.00,71000
2024-04-29,49.00,49.00,45.00,45.10,41000
2024-05-06,47.30,47.30,42.70,43.40,86000
2024-05-13,43.40,44.80,42.00,43.65,65000
2024-05-21,43.65,43.90,40.40,41.00,45000
2024-05-27,40.90,42.50,40.05,41.90,46000
2024-06-03,42.00,42.80,37.10,42.75,87000
2024-06-10,46.00,50.45,44.60,46.00,114000
2024-06-18,44.20,47.00,43.20,43.75,60000
2024-06-24,43.75,44.00,40.00,40.80,41000
2024-07-01,42.40,47.00,42.40,44.10,114000
2024-07-08,44.90,47.00,43.30,44.10,168998
2024-07-15,46.20,49.00,44.00,46.60,135000
2024-07-22,46.60,46.60,43.20,43.55,79000
2024-07-29,43.55,62.00,43.55,61.90,889000
2024-08-05,60.95,60.95,47.95,47.95,110000
2024-08-12,47.95,47.95,42.00,42.00,340000
2024-08-19,43.10,47.70,41.80,47.65,880000
2024-08-26,50.00,54.30,47.00,48.30,1188000
2024-09-02,45.90,49.00,42.80,45.05,882000
2024-09-09,45.00,46.40,41.95,45.15,295000
2024-09-16,43.25,45.40,42.10,43.70,109000
2024-09-23,42.80,44.00,42.00,42.05,74000
2024-09-30,42.05,42.50,38.60,38.60,110000
2024-10-07,38.60,41.00,35.60,39.75,149000
2024-10-14,41.60,42.80,39.50,41.10,148000
2024-10-21,43.10,45.45,40.90,40.90,397000
2024-10-28,40.90,43.90,38.00,43.85,349000
2024-11-04,45.35,49.60,43.65,48.50,502000
2024-11-11,48.45,51.90,43.25,43.50,383000
2024-11-18,41.35,43.15,37.50,39.30,997000
2024-11-25,40.00,40.50,37.60,39.50,291000
2024-12-02,40.50,40.50,36.30,37.05,624000
2024-12-09,37.25,37.85,36.10,36.60,211000
2024-12-16,36.70,37.30,35.05,35.20,150000
2024-12-23,35.00,35.05,29.80,30.25,267000
2024-12-30,30.50,35.05,28.75,35.05,148000
2025-01-06,36.80,36.80,30.15,30.65,198000
2025-01-13,29.20,34.65,29.20,32.80,71000
2025-01-20,32.05,34.40,32.05,32.40,31000
2025-01-27,31.75,31.75,30.10,31.20,29000
2025-02-03,31.20,31.20,29.35,29.35,20000
2025-02-10,28.95,28.95,27.20,27.20,27000
2025-02-17,26.95,26.95,24.65,24.65,137000
2025-02-24,24.15,24.15,22.80,22.80,32000
2025-03-03,21.70,22.75,18.95,19.50,491000
2025-03-10,18.55,19.70,16.00,16.00,177000
2025-03-17,15.20,16.40,13.85,16.40,817000
2025-03-24,17.20,17.20,13.55,13.80,685000
2025-04-01,14.45,16.60,14.25,15.95,65000
2025-04-07,15.15,15.25,13.15,13.15,111000
2025-04-15,13.65,15.15,13.65,15.05,172000
2025-04-21,15.00,15.05,13.75,14.00,67000
2025-04-28,13.95,14.10,13.15,13.55,52000
2025-05-05,13.95,14.10,12.40,12.50,66000
2025-05-12,12.50,15.30,12.50,14.75,57000
2025-05-19,14.75,15.00,13.35,13.35,25000
2025-05-26,13.10,13.40,13.00,13.30,46000
2025-06-02,13.05,13.05,12.05,12.05,33000
2025-06-09,11.80,12.20,11.40,12.00,120000
2025-06-16,11.80,11.80,11.00,11.00,55000
2025-06-23,11.00,11.60,10.80,11.50,27000
2025-06-30,11.50,14.35,10.95,13.80,153000
2025-07-07,13.80,15.00,13.80,14.60,40000
2025-07-14,14.30,14.30,13.55,13.55,15000
2025-07-21,13.55,13.55,12.90,13.30,72000
2025-08-04,13.05,13.05,12.80,12.80,16000
2025-08-11,12.55,12.55,12.55,12.55,1000
2025-08-18,11.95,12.85,11.35,12.45,104000
2025-08-25,12.00,12.55,11.15,11.95,34000
2025-09-01,12.45,12.45,10.30,11.00,114000
2025-09-08,10.60,11.05,10.00,10.10,142000
2025-09-15,10.15,10.15,8.60,9.65,252000
2025-09-22,10.00,10.25,8.20,8.90,247000
2025-09-29,8.50,8.80,7.65,8.00,149000
2025-10-06,8.10,8.90,7.70,8.20,221000
2025-10-13,8.20,8.20,7.50,7.70,153000
2025-10-20,8.00,8.00,7.00,7.15,249000
2025-10-27,7.15,7.15,6.30,6.55,184000
2025-11-03,6.55,6.65,5.95,6.55,88000
2025-11-10,6.55,6.75,6.05,6.40,93000
2025-11-17,6.70,8.05,6.45,8.05,215000
2025-11-24,8.05,9.55,7.65,9.55,150000
2025-12-01,10.00,11.55,10.00,11.30,335000
2025-12-08,11.80,13.05,11.35,12.90,150000
2025-12-15,12.35,15.30,12.35,15.05,173000
2025-12-22,15.05,15.05,14.45,14.45,61000
2025-12-29,14.45,14.95,14.20,14.95,61000
2026-01-05,14.70,15.80,14.70,15.10,49000
2026-01-12,15.10,15.35,15.10,15.35,27000
2026-01-19,15.60,15.90,15.50,15.50,48000
2026-01-27,14.75,18.45,14.50,18.45,94000
2026-02-02,19.35,21.35,19.30,21.35,171000
2026-02-09,21.70,23.20,21.65,23.20,244000
2026-02-16,23.55,25.10,23.55,25.10,121000
2026-02-23,25.45,27.00,25.45,27.00,132000
2026-03-02,27.00,28.90,27.00,28.90,154000
2026-03-09,29.35,31.35,29.30,31.35,429000
2026-03-16,30.80,34.30,30.75,34.25,310000
2026-03-23,33.60,36.55,33.60,36.40,253000
2026-03-30,37.05,37.65,37.00,37.15,195000
2026-04-06,36.45,36.45,34.35,34.35,37000
2026-04-13,33.70,33.70,33.05,33.05,7000
2026-04-20,31.55,31.55,30.00,30.00,3000
2026-04-27,28.50,28.50,28.50,28.50,1000
2026-05-04,27.10,27.10,24.50,24.50,11000
2026-05-11,23.30,23.30,19.00,19.00,93000
2026-05-18,18.05,18.05,15.50,17.95,84000
2026-05-25,18.80,21.65,18.80,21.65,50000
2026-06-01,21.25,21.25,20.40,20.40,17000
2026-06-08,20.40,20.40,19.65,19.65,6000
2026-06-15,19.30,19.30,19.30,19.30,1000
2026-06-22,18.95,18.95,18.60,18.60,5000
2026-06-29,18.25,18.25,16.90,16.90,29000
2026-07-06,16.55,16.90,14.05,14.05,32000
2026-07-13,14.55,17.00,14.55,17.00,38000
2026-07-20,17.75,19.95,17.10,18.05,51000
2026-07-27,17.25,17.40,14.30,15.70,39000
2026-08-03,16.45,16.45,15.25,16.00,26000
2026-08-10,15.30,15.30,15.00,15.00,4000
2026-08-17,15.30,15.30,13.90,13.90,21000
2026-08-24,14.40,14.40,12.75,12.75,23000
2026-08-31,12.20,12.70,10.85,12.00,36000
2026-09-07,11.40,12.00,10.50,10.95,115000
2026-09-15,10.45,11.90,9.95,11.90,35000
