Date,Open,High,Low,Close,Volume
2025-06-16,82.00,86.10,71.10,75.35,1621200
2025-06-23,73.20,75.15,70.30,71.30,256800
2025-06-30,72.00,73.00,60.60,67.85,512400
2025-07-07,67.50,90.00,67.50,85.80,1124400
2025-07-14,86.10,100.25,85.90,99.10,937200
2025-07-21,99.95,100.25,93.50,99.25,309600
2025-07-28,99.50,112.00,97.50,109.75,591600
2025-08-04,109.25,110.55,105.15,107.30,394800
2025-08-11,106.40,124.45,106.00,122.25,729600
2025-08-18,127.90,134.75,121.00,133.80,524400
2025-08-25,133.75,138.00,127.20,135.00,202800
2025-09-01,135.75,135.80,127.00,129.05,93600
2025-09-08,126.50,132.35,117.35,132.35,268800
2025-09-15,138.95,153.10,138.95,144.00,350400
2025-09-22,144.00,144.00,131.10,139.95,144000
2025-09-29,134.05,138.80,128.20,136.95,38400
2025-10-06,137.00,140.00,131.00,135.15,135600
2025-10-13,131.00,134.90,122.35,125.10,85200
2025-10-20,125.40,129.65,118.85,129.25,81600
2025-10-27,127.00,141.25,124.00,138.20,153600
2025-11-03,134.70,140.00,130.00,138.00,84000
2025-11-10,138.00,143.90,130.00,140.00,157200
2025-11-17,140.10,144.00,134.50,140.80,39600
2025-11-24,138.50,142.10,129.10,135.80,87600
2025-12-01,134.50,138.00,123.50,127.95,43200
2025-12-08,118.50,130.80,118.00,122.45,51600
2025-12-15,122.40,135.00,116.05,132.80,49200
2025-12-22,127.50,133.00,126.15,126.75,123600
2025-12-29,126.75,129.90,125.05,127.50,44400
2026-01-05,127.50,130.05,127.00,130.00,14400
2026-01-12,121.60,129.00,118.15,123.50,43200
2026-01-19,123.00,127.75,117.00,118.00,51600
2026-01-27,118.00,118.90,106.20,116.90,49200
2026-02-02,118.85,131.90,115.00,130.00,78000
2026-02-09,130.00,132.75,124.45,129.05,139200
2026-02-16,123.00,133.00,123.00,127.00,28800
2026-02-23,126.10,126.10,122.00,125.00,6000
2026-03-02,119.50,121.80,113.00,117.95,20400
2026-03-09,114.00,119.70,113.50,117.95,90000
2026-03-16,115.00,120.00,112.00,116.00,140400
2026-03-23,112.25,114.90,107.50,108.80,74400
2026-03-30,108.80,110.00,102.25,107.15,82800
2026-04-06,110.00,129.70,108.00,123.55,73200
2026-04-13,129.50,138.60,128.10,129.80,194400
2026-04-20,131.40,138.05,123.50,138.05,235200
2026-04-27,144.00,152.00,139.00,139.00,157200
2026-05-04,140.00,152.90,140.00,144.95,99600
2026-05-11,144.80,150.90,143.50,145.00,42000
2026-05-18,138.15,145.00,137.75,140.00,38400
2026-05-25,140.00,154.35,140.00,154.05,115200
2026-06-01,155.60,160.00,132.00,133.20,183600
2026-06-08,132.50,140.00,126.00,138.50,57600
2026-06-15,145.00,145.00,132.50,134.00,36000
2026-06-22,134.95,160.00,128.50,147.90,103200
2026-06-29,149.00,166.50,149.00,155.00,130800
2026-07-06,155.00,155.00,142.05,145.05,78000
2026-07-13,145.00,167.00,143.00,164.35,147600
2026-07-20,168.00,190.10,165.05,174.00,229200
2026-07-27,173.80,185.00,173.80,182.00,46800
2026-08-03,178.50,192.00,178.50,191.00,50400
2026-08-10,191.00,221.00,191.00,207.00,127200
2026-08-17,215.90,216.00,200.15,212.50,25200
2026-08-24,210.00,214.00,188.35,209.75,27600
2026-08-31,201.05,212.00,196.00,209.20,38400
2026-09-07,212.00,217.40,202.35,202.35,40800
2026-09-15,200.95,201.00,199.00,199.00,156000
