Date,Open,High,Low,Close,Volume
2018-07-30,60.33,61.67,60.00,61.67,384000
2018-08-06,62.67,64.00,62.67,63.33,12000
2018-08-13,62.17,63.00,62.17,62.67,62400
2018-08-20,62.02,62.02,62.02,62.02,7200
2018-08-27,62.33,62.33,62.00,62.00,16800
2018-09-03,60.68,61.00,60.68,60.68,122400
2018-09-17,63.33,63.33,61.00,61.67,19200
2018-09-24,60.67,60.67,60.00,60.00,4800
2018-10-01,60.00,60.00,60.00,60.00,2400
2018-10-08,61.28,61.28,60.00,60.67,91200
2018-10-15,63.00,63.00,63.00,63.00,2400
2018-10-22,61.33,62.67,61.33,62.67,40800
2018-10-29,61.67,61.67,61.67,61.67,9600
2018-11-05,61.67,61.67,60.12,60.67,69600
2018-11-12,62.00,62.33,60.17,62.33,129600
2018-11-19,63.00,71.67,60.67,60.67,86400
2018-11-26,60.67,61.50,60.33,61.33,237600
2018-12-03,60.33,60.33,60.07,60.07,81600
2018-12-17,61.67,62.87,60.03,61.00,352800
2018-12-24,61.33,61.33,60.67,60.67,26400
2018-12-31,60.13,64.67,60.10,60.33,244800
2019-01-07,60.67,60.67,60.67,60.67,9600
2019-01-14,60.00,60.67,60.00,60.67,36000
2019-01-21,60.33,60.67,60.33,60.67,60000
2019-01-28,60.33,60.33,60.33,60.33,7200
2019-02-04,60.00,61.33,60.00,60.00,127200
2019-02-11,60.33,62.67,60.00,62.67,295200
2019-02-18,60.33,61.00,60.00,61.00,129600
2019-02-25,60.67,62.50,60.03,61.18,266400
2019-03-05,60.33,61.17,60.33,61.17,360000
2019-03-11,60.83,61.33,60.02,60.02,208800
2019-03-18,61.00,61.00,60.83,60.85,69600
2019-03-25,60.02,61.67,60.02,61.67,4800
2019-04-01,62.00,62.03,60.67,61.67,280800
2019-04-08,61.00,61.00,60.00,60.00,72000
2019-04-15,60.33,60.33,60.33,60.33,9600
2019-04-22,60.35,62.98,60.00,61.33,9600
2019-04-30,60.00,60.00,60.00,60.00,19200
