Date,Open,High,Low,Close,Volume
2024-05-21,62.25,65.35,56.70,56.95,1962000
2024-05-27,58.60,59.00,50.10,53.05,410000
2024-06-03,55.30,55.30,49.25,50.50,214000
2024-06-10,51.50,60.00,51.50,59.15,354000
2024-06-18,62.50,67.15,56.55,60.35,644000
2024-06-24,60.35,60.35,57.00,58.95,210000
2024-07-01,59.90,72.90,57.85,71.45,1086000
2024-07-08,73.90,74.40,63.50,64.40,696000
2024-07-15,65.45,68.00,59.90,61.00,158000
2024-07-22,58.10,61.10,57.10,60.00,78000
2024-07-29,60.00,60.50,57.00,58.00,112000
2024-08-05,56.40,56.40,53.00,53.90,96000
2024-08-12,52.00,53.95,52.00,53.20,84000
2024-08-19,51.20,58.65,51.20,56.05,92000
2024-08-26,57.75,58.20,51.30,51.30,182000
2024-09-02,51.00,52.45,50.00,50.50,118000
2024-09-09,50.55,51.60,50.05,51.05,60000
2024-09-16,50.15,50.15,46.00,47.15,116000
2024-09-23,45.50,47.30,45.05,46.15,86000
2024-09-30,46.50,47.95,45.30,45.60,40000
2024-10-07,43.50,47.85,42.35,47.55,100000
2024-10-14,46.75,47.40,44.80,46.55,26000
2024-10-21,45.00,45.05,41.75,41.80,24000
2024-10-28,41.80,41.80,39.65,39.95,40000
2024-11-04,40.00,41.90,40.00,40.80,50000
2024-11-11,41.00,41.50,38.95,39.90,34000
2024-11-18,37.90,39.45,34.30,34.30,86000
2024-11-25,35.90,36.00,34.15,36.00,42000
2024-12-02,35.20,38.55,35.20,38.00,44000
2024-12-09,37.00,37.85,36.00,36.00,46000
2024-12-16,35.80,36.05,34.40,35.50,28000
2024-12-23,35.00,35.85,33.65,35.00,16000
2024-12-30,35.00,36.15,32.65,35.00,36000
2025-01-06,33.80,34.60,31.55,31.80,72000
2025-01-13,31.75,31.75,30.35,30.50,36000
2025-01-20,29.15,31.45,29.15,30.30,24000
2025-01-27,30.05,30.05,27.55,29.05,64000
2025-02-03,28.50,29.35,27.70,27.90,44000
2025-02-10,27.05,27.05,24.65,24.65,30000
2025-02-17,24.60,25.45,23.45,24.65,48000
2025-02-24,23.55,25.00,23.50,24.50,36000
2025-03-03,25.00,25.00,22.55,23.95,80000
2025-03-10,24.20,25.00,22.80,22.85,44000
2025-03-17,22.90,22.90,20.15,20.80,200000
2025-03-24,19.90,20.40,17.80,18.00,328000
2025-04-01,17.95,21.75,17.95,21.75,52000
2025-04-07,20.75,25.45,20.70,25.45,78000
2025-04-15,25.95,26.95,25.95,26.95,8000
2025-04-21,26.95,29.60,26.95,29.00,30000
2025-04-28,28.45,28.45,27.80,28.00,40000
2025-05-05,28.55,29.00,28.45,28.45,20000
2025-05-12,29.00,29.00,27.80,28.40,10000
2025-05-19,27.85,27.85,26.75,26.75,8000
2025-05-26,26.75,30.65,26.75,30.65,26000
2025-06-02,30.60,30.60,26.00,26.00,30000
2025-06-09,27.30,29.70,27.25,29.45,24000
2025-06-16,29.45,29.45,28.05,29.00,8000
2025-06-23,27.70,27.70,26.50,26.70,6000
2025-06-30,27.50,27.50,27.50,27.50,2000
2025-07-07,27.50,27.50,26.15,26.90,6000
2025-07-14,26.90,27.80,26.90,27.00,8000
2025-07-21,25.80,26.05,23.70,26.05,18000
2025-07-28,25.50,25.85,24.25,25.85,30000
2025-08-04,26.45,27.25,25.85,26.15,28000
2025-08-11,26.85,26.90,26.85,26.85,6000
2025-08-18,27.70,28.30,27.70,28.30,10000
2025-08-25,26.95,28.10,26.90,26.90,8000
2025-09-01,26.80,29.40,25.75,29.40,30000
2025-09-08,30.85,31.40,29.85,29.85,42000
2025-09-15,29.95,31.90,29.55,29.55,22000
2025-09-22,30.45,30.45,29.60,29.60,6000
2025-09-29,28.35,28.55,28.05,28.05,18000
2025-10-06,26.75,26.75,26.05,26.05,12000
2025-10-13,24.90,26.00,24.50,24.50,20000
2025-10-20,24.00,26.35,24.00,26.25,18000
2025-10-27,25.00,25.50,24.40,25.50,8000
2025-11-03,24.90,25.60,24.90,25.60,14000
2025-11-10,25.60,26.95,25.30,26.95,10000
2025-11-17,26.05,26.05,24.90,24.90,10000
2025-11-24,25.00,25.50,24.30,25.00,16000
2025-12-01,25.10,25.10,25.10,25.10,2000
2025-12-08,25.60,25.90,24.65,24.65,10000
2025-12-15,23.50,23.50,21.25,22.30,10000
2025-12-22,22.35,23.65,22.30,22.55,16000
2025-12-29,23.45,23.60,23.45,23.60,12000
2026-01-12,22.45,22.50,21.45,22.45,8000
2026-01-19,21.35,23.10,20.40,20.40,50000
2026-01-27,20.00,20.00,19.50,19.50,6000
2026-02-02,19.50,19.50,19.50,19.50,4000
2026-02-09,20.45,21.50,19.55,19.55,14000
2026-02-16,20.45,20.45,18.70,18.70,18000
2026-02-23,17.85,19.00,17.85,19.00,10000
2026-03-02,19.50,19.50,18.50,18.95,8000
2026-03-09,19.85,19.85,17.30,17.35,28000
2026-03-16,18.20,18.55,17.65,18.55,32000
2026-03-23,17.65,18.80,17.60,18.15,38000
2026-03-30,17.30,18.85,17.25,18.85,52000
2026-04-06,18.65,21.50,18.65,21.50,38000
2026-04-13,22.55,23.65,20.45,23.65,44000
2026-04-20,24.75,24.80,22.90,22.90,12000
2026-05-04,22.60,22.95,21.90,21.90,10000
2026-05-11,21.00,21.00,20.50,20.50,4000
2026-05-18,20.50,21.50,20.50,21.50,28000
2026-05-25,20.45,20.45,19.75,19.75,12000
2026-06-01,18.90,19.80,18.00,19.80,28000
2026-06-08,18.90,18.90,17.95,18.80,14000
2026-06-15,19.70,19.70,18.80,19.70,22000
2026-06-22,19.10,19.20,19.10,19.20,56000
2026-06-29,18.55,18.55,18.40,18.40,8000
2026-07-06,19.30,20.25,18.50,19.30,26000
2026-07-13,20.15,20.15,20.15,20.15,2000
2026-07-20,19.15,19.95,18.20,19.95,8000
2026-07-27,19.80,19.95,19.05,19.15,14000
2026-08-03,19.10,20.90,19.00,20.90,26000
2026-08-10,20.00,20.55,19.05,19.20,116000
2026-08-17,18.25,19.90,17.00,17.50,118000
2026-08-24,17.50,18.05,16.15,18.05,170000
2026-08-31,18.10,18.20,18.00,18.00,70000
2026-09-07,17.30,17.30,17.00,17.00,6000
2026-09-15,17.00,17.85,17.00,17.80,12000
