Date,Open,High,Low,Close,Volume
2023-09-25,140.40,142.00,140.15,140.20,460000
2023-10-03,140.20,145.00,140.10,140.50,368000
2023-10-09,140.15,143.00,140.15,140.95,103000
2023-10-16,144.00,144.90,140.30,141.90,86000
2023-10-23,140.30,140.50,140.25,140.30,53000
2023-10-30,140.50,142.00,140.30,140.35,99000
2023-11-06,141.00,147.95,140.25,141.00,73000
2023-11-13,140.30,141.00,140.30,140.30,12000
2023-11-20,140.30,140.90,140.30,140.30,17000
2023-11-28,140.30,140.35,140.30,140.30,8000
2023-12-04,140.30,142.00,140.30,140.30,8000
2023-12-11,140.30,141.00,140.30,140.30,13000
2023-12-18,141.00,141.80,140.30,140.80,18000
2023-12-26,140.30,146.85,140.30,142.95,12000
2024-01-01,143.50,147.00,143.50,147.00,13000
2024-01-08,147.00,147.00,140.30,143.00,11000
2024-01-15,142.00,142.60,140.30,140.30,10000
2024-01-23,141.00,141.00,141.00,141.00,14000
2024-01-29,141.00,143.00,140.50,143.00,26000
2024-02-05,143.00,144.00,140.50,140.50,7000
2024-02-12,146.00,147.00,141.00,141.00,5000
2024-02-19,141.00,141.00,141.00,141.00,3000
2024-02-26,141.00,145.00,140.50,140.50,10000
2024-03-04,140.50,144.90,140.45,142.80,13000
2024-03-11,143.00,143.00,134.00,137.50,23000
2024-03-18,133.05,133.05,133.05,133.05,1000
2024-03-26,136.50,136.50,133.05,136.50,8000
2024-04-01,140.00,142.00,138.00,138.00,5000
2024-04-08,140.25,150.00,140.25,145.90,12000
2024-04-15,145.00,145.00,142.00,145.00,8000
2024-04-22,145.00,155.00,141.20,151.00,26000
2024-04-29,151.00,164.00,130.00,149.70,28000
2024-05-06,145.00,158.00,141.00,156.75,20000
2024-05-13,140.15,165.00,140.15,164.60,29000
2024-05-21,170.00,235.00,161.55,212.50,99000
2024-05-27,220.00,230.00,196.00,200.00,19000
2024-06-03,196.70,220.00,171.50,205.00,36000
2024-06-10,205.00,295.05,205.00,295.00,114000
2024-06-18,320.00,374.75,308.30,350.55,121000
2024-06-24,333.05,333.05,300.15,313.00,56000
2024-07-01,313.00,360.00,302.00,353.75,38000
2024-07-08,336.10,336.10,319.30,330.00,12000
2024-07-15,314.00,329.00,314.00,325.00,4000
2024-07-22,312.00,361.10,312.00,361.10,29000
2024-07-29,374.75,379.15,342.20,370.00,40000
2024-08-05,351.50,380.00,340.00,380.00,10000
2024-08-12,362.20,375.00,362.15,370.05,6000
2024-08-19,357.55,365.00,357.55,364.95,3000
2024-08-26,347.15,347.15,346.70,346.70,2000
2024-09-02,346.45,346.70,329.40,329.40,6000
2024-09-09,316.05,345.65,316.05,332.95,10000
2024-09-16,316.35,336.00,294.50,309.95,9000
2024-09-23,304.10,310.00,296.00,310.00,8000
2024-09-30,294.55,294.55,294.50,294.50,2000
2024-10-07,285.05,290.00,285.05,290.00,2000
2024-10-14,287.15,299.20,270.80,299.20,13000
2024-10-21,284.25,284.25,256.55,256.55,7000
2024-10-28,256.55,267.25,250.00,267.25,8500
2024-11-04,275.00,309.25,275.00,302.85,20500
2024-11-11,296.80,296.80,290.90,290.90,2000
2024-11-18,285.10,285.10,279.40,279.40,2000
2024-11-25,273.85,279.25,268.45,279.25,6000
2024-12-02,275.25,285.25,274.05,285.25,9000
2024-12-09,290.95,301.25,290.95,301.25,7000
2024-12-16,300.00,325.05,300.00,309.95,11000
2024-12-23,300.00,315.95,300.00,301.15,4000
2024-12-30,299.00,314.90,299.00,314.90,1500
2025-01-06,314.90,329.95,314.90,321.00,4500
2025-01-13,307.00,322.00,307.00,310.15,3000
2025-01-20,306.15,315.00,300.00,314.00,115500
2025-01-27,299.00,300.00,283.75,300.00,15500
2025-02-03,300.00,300.00,300.00,300.00,1500
2025-02-10,285.00,285.00,259.50,271.25,7500
2025-02-24,272.15,272.15,258.40,265.00,4500
