Date,Open,High,Low,Close,Volume
2023-03-27,91.95,96.55,82.44,82.44,1731746
2023-04-03,78.34,78.34,70.72,70.72,640253
2023-04-10,67.21,73.92,58.01,58.01,1383001
2023-04-17,57.95,66.75,48.80,66.75,2557203
2023-04-24,70.00,79.65,69.75,74.15,816001
2023-05-02,74.15,82.85,70.45,82.85,262800
2023-05-08,86.95,100.55,86.40,90.35,453601
2023-05-15,88.00,100.90,86.50,86.90,211200
2023-05-22,90.95,95.00,80.00,82.35,252000
2023-05-29,82.35,99.40,80.05,99.00,273600
2023-06-05,99.00,126.05,98.00,121.95,346800
2023-06-12,119.25,144.50,119.25,130.70,283200
2023-06-19,124.50,140.00,119.05,130.05,235200
2023-06-26,133.00,133.00,120.05,127.35,122400
2023-07-03,130.50,162.40,130.00,159.75,198000
2023-07-10,154.15,194.00,151.80,170.50,248400
2023-07-17,169.00,202.10,169.00,195.75,172800
2023-07-24,196.00,203.80,183.35,188.30,91200
2023-07-31,192.90,197.00,161.15,161.15,199200
2023-08-07,155.00,161.60,133.00,159.80,609601
2023-08-14,148.20,156.30,141.00,143.80,132000
2023-08-21,144.00,192.00,144.00,185.05,339600
2023-08-28,191.30,199.40,169.55,175.45,298800
2023-09-04,172.60,175.95,160.20,167.85,170400
2023-09-11,172.00,183.55,167.05,180.90,222000
2023-09-18,184.00,192.90,175.00,192.90,74400
2023-09-25,200.00,202.50,173.00,183.05,171600
2023-10-03,187.50,188.00,169.00,173.50,76800
2023-10-09,170.00,231.00,163.00,225.40,372000
2023-10-16,226.00,255.55,221.10,226.00,482401
2023-10-23,220.05,238.50,212.10,237.20,134400
2023-10-30,243.50,246.00,211.25,228.15,130200
2023-11-06,230.00,239.55,215.55,229.95,85200
2023-11-13,230.10,238.00,219.90,220.15,76800
2023-11-20,220.15,233.50,213.00,225.50,78000
2023-11-28,230.10,233.20,220.00,227.15,48000
2023-12-04,230.00,231.00,217.05,222.00,45000
2023-12-11,227.50,313.20,225.00,313.20,308400
2023-12-18,324.95,324.95,260.30,272.15,147600
2023-12-26,270.00,312.00,270.00,303.25,91800
2024-01-01,313.25,315.00,289.20,293.85,66600
2024-01-08,290.00,297.00,280.00,281.40,69000
2024-01-15,285.00,289.10,249.40,289.10,105000
2024-01-23,303.55,303.55,281.00,300.25,112200
2024-01-29,300.25,300.25,257.25,265.15,117600
2024-02-05,268.60,297.85,247.05,276.25,184200
2024-02-12,285.00,304.95,272.20,278.25,471001
2024-02-19,281.70,290.00,254.75,274.40,226200
2024-02-26,284.50,284.50,243.45,248.00,186000
2024-03-04,255.00,255.00,219.00,250.45,182400
2024-03-11,256.00,270.00,183.10,202.55,233400
2024-03-18,203.00,215.50,192.50,199.15,177000
2024-03-26,201.15,201.15,175.70,177.75,180000
2024-04-01,186.50,213.50,176.05,212.65,171600
2024-04-08,222.50,222.50,201.30,206.00,67200
2024-04-15,195.00,222.95,186.05,207.65,158400
2024-04-22,221.75,232.00,208.50,217.00,146400
2024-04-29,210.05,252.00,209.00,239.95,217200
2024-05-06,240.00,240.00,206.10,210.50,88200
2024-05-13,202.05,222.50,198.00,211.00,71400
2024-05-21,208.00,238.00,200.00,218.70,135000
