Date,Open,High,Low,Close,Volume
2026-05-25,452.00,474.60,431.00,474.60,3673600
2026-06-01,468.20,494.85,440.00,494.85,1460000
2026-06-08,499.90,528.90,462.20,509.30,1091600
2026-06-15,514.00,568.00,488.00,562.60,1141200
2026-06-22,570.00,600.00,538.00,546.50,863600
2026-06-29,546.00,592.00,531.00,572.95,1009600
2026-07-06,565.00,575.95,533.40,549.05,394000
2026-07-13,548.00,566.55,536.00,537.85,434000
2026-07-20,537.00,546.50,487.00,505.75,753600
2026-07-27,511.00,546.95,488.20,541.30,398800
2026-08-03,549.85,561.60,526.70,538.70,259600
2026-08-10,530.25,562.00,529.00,532.80,314400
2026-08-17,539.35,558.90,505.20,549.75,338400
2026-08-24,559.00,569.00,518.10,548.95,474800
2026-08-31,558.00,659.75,558.00,639.60,1163600
2026-09-07,640.00,730.00,602.00,726.20,770800
2026-09-15,735.00,735.00,613.00,696.95,368800
