Date,Open,High,Low,Close,Volume
2024-09-23,145.00,152.25,144.00,150.90,2337000
2024-09-30,158.40,174.60,158.15,164.55,1294000
2024-10-07,156.35,163.25,140.45,149.65,999000
2024-10-14,137.55,174.90,131.00,156.05,841000
2024-10-21,157.95,158.00,131.85,134.05,439000
2024-10-28,133.70,148.00,131.00,143.65,406000
2024-11-04,141.00,171.90,136.00,166.80,661000
2024-11-11,169.00,171.40,143.25,148.00,355000
2024-11-18,148.00,158.00,144.00,149.25,93000
2024-11-25,149.00,162.00,145.30,156.15,187000
2024-12-02,160.00,215.00,160.00,202.00,931000
2024-12-09,202.00,208.70,186.00,194.50,189000
2024-12-16,194.25,198.50,185.00,186.45,85000
2024-12-23,186.55,186.55,168.35,172.00,81000
2024-12-30,172.00,181.95,164.30,170.10,157000
2025-01-06,165.50,179.10,161.40,163.00,49000
2025-01-13,172.45,172.45,153.00,162.00,72000
2025-01-20,159.55,168.50,153.20,154.50,53000
2025-01-27,152.00,152.00,140.00,148.45,68000
2025-02-03,152.10,161.00,145.00,157.00,17000
2025-02-10,152.00,152.00,130.05,130.50,71000
2025-02-17,128.00,130.00,107.10,108.90,366000
2025-02-24,110.20,112.60,100.15,101.05,43000
2025-03-03,103.00,104.70,91.20,100.95,224000
2025-03-10,99.00,104.00,94.00,94.50,91000
2025-03-17,94.50,96.50,86.35,95.15,327000
2025-03-24,98.00,100.95,87.05,93.10,1055000
2025-04-01,97.45,108.60,92.10,108.60,87000
2025-04-07,106.45,108.55,104.30,104.30,37000
2025-04-15,104.30,110.60,102.25,110.60,18000
2025-04-21,112.80,122.00,112.80,122.00,10000
2025-04-28,124.40,131.90,124.40,131.00,70000
2025-05-05,133.60,138.95,128.55,128.55,34000
2025-05-12,128.55,128.55,121.00,124.40,46000
2025-05-19,126.85,134.60,126.85,134.60,17000
2025-05-26,137.25,145.55,137.00,142.65,63000
2025-06-02,139.80,139.80,129.05,134.25,47000
2025-06-09,140.95,146.00,130.00,139.40,100000
2025-06-16,140.00,147.00,136.80,136.80,46000
2025-06-23,130.20,144.00,130.20,135.05,19000
2025-06-30,135.45,140.00,130.15,134.50,33000
2025-07-07,128.00,135.95,128.00,135.00,59000
2025-07-14,137.95,137.95,120.00,122.45,111000
2025-07-21,121.00,139.45,121.00,134.25,78000
2025-07-28,131.95,135.00,125.00,127.00,119000
2025-08-04,127.00,137.00,124.00,132.90,130000
2025-08-11,133.00,137.50,130.10,133.00,111000
2025-08-18,137.50,143.90,134.00,136.85,79000
2025-08-25,146.95,146.95,131.05,132.10,56000
2025-09-01,133.40,137.25,126.90,128.00,66000
2025-09-08,130.00,132.30,121.10,129.10,44000
2025-09-15,127.00,134.00,123.00,129.15,65000
2025-09-22,124.00,126.10,120.00,120.60,38000
2025-09-29,124.95,125.05,120.00,120.00,18000
2025-10-06,120.50,122.00,114.00,119.85,57000
2025-10-13,118.95,118.95,107.00,113.50,53000
2025-10-20,115.00,117.10,110.10,113.50,23000
2025-10-27,107.00,110.00,107.00,108.00,7000
2025-11-03,108.00,108.00,97.10,100.00,113000
2025-11-10,104.80,112.95,88.00,100.75,893000
2025-11-17,106.95,112.50,95.00,104.00,45000
2025-11-24,108.90,109.90,101.75,102.40,59000
2025-12-01,101.05,103.55,95.50,100.75,51000
2025-12-08,98.50,98.50,87.00,90.00,135000
2025-12-15,90.00,90.00,81.00,83.00,54000
2025-12-22,83.00,83.00,77.00,79.05,103000
2025-12-29,76.00,82.50,73.00,82.00,160000
2026-01-05,81.50,82.50,78.00,78.20,73000
2026-01-12,79.90,83.50,78.00,83.50,20000
2026-01-19,83.00,83.35,78.00,83.35,43000
2026-01-27,82.00,85.95,80.00,85.95,34000
2026-02-02,85.50,99.05,77.25,96.00,52000
2026-02-09,95.00,95.00,85.20,88.00,29000
2026-02-16,87.95,93.20,85.00,90.70,54000
2026-02-23,80.55,85.05,80.55,85.00,8000
2026-03-02,90.50,90.50,82.05,85.50,24000
2026-03-09,74.00,89.50,74.00,80.00,31000
2026-03-16,83.75,90.50,75.60,78.65,96000
2026-03-23,75.05,79.85,68.30,69.00,82000
2026-03-30,69.00,78.00,66.05,77.90,28000
2026-04-06,77.85,84.60,77.85,84.40,10000
2026-04-13,84.40,89.00,84.40,88.50,6000
2026-04-20,86.00,102.60,85.50,100.00,45000
2026-04-27,100.05,103.00,95.15,99.50,24000
2026-05-04,99.00,111.60,95.00,101.80,25000
2026-05-11,95.05,95.10,85.00,86.25,35000
2026-05-18,91.00,92.00,84.00,90.00,28000
2026-05-25,90.00,90.00,80.20,87.20,10000
2026-06-01,90.00,90.20,84.00,90.00,33000
2026-06-08,90.00,101.00,90.00,98.80,10000
2026-06-15,99.00,108.05,90.00,91.00,40000
2026-06-22,92.00,94.35,88.10,91.00,17000
2026-06-29,90.00,96.50,87.05,96.50,15000
2026-07-06,96.50,96.50,88.90,90.25,7000
2026-07-13,91.00,91.00,90.00,90.00,7000
2026-07-20,90.00,91.00,87.00,87.15,25000
2026-07-27,89.95,91.00,85.75,88.00,21000
2026-08-03,88.00,88.00,85.50,87.50,17000
2026-08-10,88.00,88.55,85.55,87.00,9000
2026-08-17,83.55,85.00,81.00,82.05,19000
2026-08-24,81.10,93.00,78.05,87.30,44000
2026-08-31,85.55,85.55,84.00,85.15,12000
2026-09-07,84.05,84.05,77.00,83.00,63000
2026-09-15,81.00,81.00,77.05,79.35,46000
