Date,Open,High,Low,Close,Volume
2025-09-22,86.40,86.40,82.10,82.10,159600
2025-09-29,78.00,78.00,66.90,66.90,520800
2025-10-06,63.55,63.55,51.85,51.85,813600
2025-10-13,46.70,51.25,37.80,37.80,1791600
2025-10-20,38.00,38.70,33.50,33.85,895200
2025-10-27,33.65,34.70,33.10,33.55,914400
2025-11-03,34.15,34.15,32.50,32.55,1164000
2025-11-10,32.40,32.80,29.85,30.05,1594800
2025-11-17,30.95,31.35,29.70,30.00,855600
2025-11-24,30.45,35.75,29.80,34.20,592800
2025-12-01,35.50,35.50,27.15,30.20,613200
2025-12-08,30.10,32.60,29.00,30.30,313200
2025-12-15,30.35,31.25,29.05,30.25,217200
2025-12-22,30.95,30.95,28.55,30.20,153600
2025-12-29,28.85,30.80,28.75,30.20,145200
2026-01-05,30.05,30.70,29.05,29.95,175200
2026-01-12,29.95,30.15,29.30,30.00,91200
2026-01-19,30.00,32.75,28.80,30.70,177600
2026-01-27,30.85,31.80,29.50,29.65,129600
2026-02-02,29.00,31.65,28.90,30.95,130800
2026-02-09,30.30,31.00,29.10,30.00,192000
2026-02-16,30.30,33.00,29.20,29.30,55200
2026-02-23,29.25,30.20,28.50,29.00,31200
2026-03-02,27.55,29.00,26.70,28.50,55200
2026-03-09,27.45,29.50,27.45,29.30,67200
2026-03-16,28.40,29.40,27.85,28.75,79200
2026-03-23,28.90,29.50,28.00,28.20,152400
2026-03-30,27.10,30.85,27.10,30.50,133200
2026-04-06,31.95,31.95,29.50,30.40,25200
2026-04-13,30.50,31.40,29.65,30.25,27600
2026-04-20,31.70,31.70,29.60,30.00,68400
2026-04-27,31.15,31.15,30.00,30.70,22800
2026-05-04,29.50,31.00,29.25,30.15,90000
2026-05-11,30.65,31.40,29.15,30.65,79200
2026-05-18,30.50,30.70,29.10,30.50,31200
2026-05-25,30.00,32.00,29.40,30.00,78000
2026-06-01,29.40,29.90,27.00,28.00,63600
2026-06-08,28.30,28.80,26.50,26.85,42000
2026-06-15,26.75,30.65,26.75,29.05,54000
2026-06-22,27.50,30.00,27.50,29.25,46800
2026-06-29,29.00,30.50,29.00,29.05,39600
2026-07-06,29.10,30.10,27.30,29.00,27600
2026-07-13,29.00,32.00,28.10,29.20,52800
2026-07-20,29.10,30.80,28.45,28.55,32400
2026-07-27,28.60,29.25,28.40,28.45,20400
2026-08-03,27.10,28.55,26.95,28.55,28800
2026-08-10,29.00,29.00,27.00,28.00,25200
2026-08-17,27.10,28.40,27.00,27.30,18000
2026-08-24,27.45,27.90,27.25,27.90,14400
2026-08-31,27.10,27.90,26.60,27.05,43200
2026-09-07,27.05,27.05,26.15,26.50,21600
2026-09-15,26.50,27.20,26.00,27.20,27600
