Date,Open,High,Low,Close,Volume
2024-07-01,45.10,48.75,39.00,42.50,3966000
2024-07-08,42.60,43.15,40.05,42.75,414000
2024-07-15,43.00,43.25,38.00,39.05,204000
2024-07-22,39.00,40.45,37.60,38.05,201000
2024-07-29,38.15,43.30,38.15,41.60,357000
2024-08-05,37.40,43.45,37.40,42.80,396000
2024-08-12,42.00,42.50,40.45,42.00,63000
2024-08-19,42.00,42.75,41.00,42.00,60000
2024-08-26,42.00,42.00,40.00,41.80,57000
2024-09-02,41.35,41.35,38.25,39.90,63000
2024-09-09,39.10,43.50,39.00,42.90,207000
2024-09-16,42.00,43.60,41.00,43.00,261000
2024-09-23,41.25,43.00,39.15,42.05,96000
2024-09-30,41.05,43.00,41.05,43.00,135000
2024-10-07,41.00,43.50,40.05,43.00,276000
2024-10-14,43.00,43.00,40.05,40.05,186000
2024-10-21,40.00,40.00,39.00,39.00,6000
2024-10-28,40.95,41.00,40.95,41.00,18000
2024-11-04,40.00,44.00,40.00,42.75,27000
2024-11-11,43.00,43.10,43.00,43.00,84000
2024-11-18,43.00,43.00,43.00,43.00,120000
2024-11-25,41.25,41.25,41.10,41.10,12000
2024-12-02,42.00,46.00,41.00,44.70,105000
2024-12-09,43.00,45.00,43.00,45.00,69000
2024-12-16,42.60,43.00,42.50,43.00,48000
2024-12-23,43.00,43.00,41.50,42.95,78000
2025-01-06,41.95,41.95,39.05,39.15,66000
2025-01-13,38.00,40.00,37.00,39.65,24000
2025-01-20,41.00,47.00,41.00,43.00,39000
2025-01-27,40.50,40.50,40.50,40.50,3000
2025-02-10,38.70,38.70,37.00,37.00,15000
2025-02-17,36.00,36.00,34.15,35.00,165000
2025-02-24,36.00,40.95,36.00,40.95,213000
2025-03-03,39.90,39.95,39.90,39.95,231000
2025-03-10,37.00,38.90,36.00,36.00,186000
2025-03-17,36.50,44.95,36.50,37.85,144000
2025-03-24,37.80,37.80,35.00,36.00,54000
2025-04-21,36.00,37.00,36.00,37.00,6000
2025-05-05,36.10,36.10,36.10,36.10,3000
2025-05-12,36.10,39.95,36.10,39.95,15000
2025-05-19,37.00,42.95,34.00,38.70,78000
2025-05-26,39.00,40.00,37.10,40.00,18000
2025-06-02,43.00,43.00,41.00,43.00,630000
2025-06-09,43.00,44.00,34.00,42.90,258000
2025-06-16,44.95,45.00,39.50,44.40,66000
2025-06-23,45.00,48.25,40.15,46.65,228000
2025-06-30,48.95,52.70,45.10,49.20,621000
2025-07-07,51.80,67.95,50.00,67.95,948000
2025-07-14,76.00,92.00,75.00,76.90,360000
2025-07-21,73.05,93.50,73.05,89.30,129000
2025-07-28,93.00,97.50,90.35,90.35,57000
2025-08-04,88.60,90.00,85.15,85.15,24000
2025-08-11,85.15,85.15,80.60,80.60,15000
2025-08-18,79.05,83.75,79.00,83.75,24000
2025-08-25,85.40,88.80,85.40,88.80,9000
2025-09-01,90.55,97.90,90.55,97.90,63000
2025-09-08,102.50,111.10,97.40,110.00,54000
2025-09-15,111.00,121.25,111.00,117.05,69000
2025-09-22,114.70,121.15,114.70,118.65,27000
2025-09-29,121.00,121.00,116.30,118.60,15000
2025-10-06,120.95,123.30,120.85,120.85,12000
2025-10-13,123.25,123.25,121.00,121.00,21000
2025-10-20,122.00,122.00,122.00,122.00,3000
2025-10-27,123.00,129.30,111.50,112.50,35000
2025-11-03,118.00,122.95,110.50,119.30,22000
2025-11-10,119.50,119.50,111.00,116.55,13000
2025-11-17,122.35,122.35,112.00,118.90,107000
2025-12-01,115.00,118.80,115.00,116.00,12000
2025-12-08,115.00,125.50,113.00,120.00,19000
2025-12-15,116.00,120.50,114.00,120.00,9000
2025-12-22,118.00,124.40,116.00,123.00,26000
2025-12-29,125.00,131.00,122.00,130.30,55000
2026-01-05,132.10,137.55,131.00,136.00,19000
2026-01-12,132.00,139.00,129.00,138.25,36000
2026-01-19,133.00,145.00,132.25,143.95,12000
2026-01-27,136.80,136.80,126.90,130.00,17000
2026-02-02,125.75,134.50,123.35,132.00,30000
2026-02-09,134.50,135.00,124.30,129.40,21000
2026-02-16,135.00,138.50,122.60,127.80,11000
2026-02-23,130.40,134.00,123.90,133.80,20000
2026-03-02,132.80,132.90,121.60,129.00,23000
2026-03-09,129.90,129.90,112.85,115.85,19000
2026-03-16,111.00,112.50,99.10,103.40,204000
2026-03-23,100.00,108.25,98.25,104.90,21000
2026-03-30,104.00,107.75,99.70,107.00,17000
2026-04-06,109.75,127.80,109.75,125.25,21000
2026-04-13,122.75,122.75,122.75,122.75,2000
2026-04-20,120.30,120.30,117.90,117.90,3000
2026-05-04,115.55,115.55,115.55,115.55,57000
2026-05-11,113.25,113.25,113.25,113.25,1000
2026-06-15,107.60,107.60,107.60,107.60,1000
2026-08-17,102.25,102.25,102.25,102.25,1000
2026-08-24,97.15,97.15,79.20,79.20,5000
2026-08-31,75.25,75.25,61.40,61.40,525000
2026-09-07,58.35,58.35,47.60,47.60,17000
2026-09-15,45.25,45.25,38.85,38.85,11000
