Date,Open,High,Low,Close,Volume
2021-01-28,73.40,73.40,67.10,68.65,14783
2021-01-29,70.45,71.00,68.70,71.00,21182
2021-02-01,72.00,72.00,67.45,67.70,1523
2021-02-02,70.90,70.95,64.35,66.40,38525
2021-02-03,67.75,68.45,64.35,65.90,24994
2021-02-04,67.75,67.90,65.00,65.90,26865
2021-02-05,68.90,69.00,65.55,66.10,41685
2021-02-08,68.75,68.90,62.50,65.35,12247
2021-02-09,67.95,67.95,62.25,63.05,7450
2021-02-10,65.90,65.90,61.15,64.15,8581
2021-02-11,64.70,70.55,64.45,70.25,34412
2021-02-12,74.45,75.00,70.00,73.85,15539
2021-02-15,74.95,75.00,72.10,74.35,13047
2021-02-16,74.75,75.90,73.55,73.90,25914
2021-02-17,75.00,75.00,72.00,74.05,6674
2021-02-18,74.50,74.50,73.50,74.30,22286
2021-02-19,74.50,74.50,72.10,73.00,6187
2021-02-22,74.45,78.00,65.70,71.75,56297
2021-02-23,74.65,74.75,70.30,73.70,7388
2021-02-24,74.00,75.00,72.00,74.95,9108
2021-02-25,74.50,76.00,74.50,75.35,8597
2021-02-26,76.90,80.00,72.00,75.90,17158
2021-03-01,76.00,83.45,72.35,83.45,47617
2021-03-02,86.95,91.75,86.80,91.75,14612
2021-03-03,96.30,96.30,96.30,96.30,11334
2021-03-04,101.10,101.10,101.10,101.10,5755
2021-03-05,106.15,106.15,106.15,106.15,15479
2021-03-08,111.45,111.45,100.85,111.35,130498
2021-03-09,115.75,115.90,107.00,107.15,36660
2021-03-10,107.95,110.40,106.10,108.45,12229
2021-03-12,110.10,110.10,103.05,105.45,12557
2021-03-15,109.90,109.90,100.20,100.55,15327
2021-03-16,104.80,104.80,99.45,100.85,5946
2021-03-17,98.05,101.00,96.10,97.65,5830
2021-03-18,99.95,100.40,92.80,93.30,5286
2021-03-19,94.00,97.35,90.40,96.00,2397
2021-03-22,94.40,95.95,93.05,95.60,709
2021-03-23,95.60,99.55,95.60,97.35,2385
2021-03-24,94.55,99.55,92.60,94.05,2488
2021-03-25,91.45,94.90,89.35,94.60,15762
2021-03-26,94.10,96.90,89.90,90.30,32673
2021-03-30,92.45,93.95,87.20,91.35,2406
2021-03-31,95.85,95.85,90.50,91.50,842
2021-04-01,92.20,96.05,92.20,96.05,2572
2021-04-05,97.70,98.70,91.55,96.05,5253
2021-04-06,97.80,98.95,95.15,96.25,1237
2021-04-07,98.00,100.95,94.50,100.95,4444
2021-04-08,105.05,107.20,104.05,105.00,4167
2021-04-09,113.00,113.00,105.00,109.35,9003
2021-04-12,106.85,106.85,98.50,100.80,10768
2021-04-13,104.95,109.90,99.65,101.00,3983
2021-04-15,101.85,101.85,93.60,97.45,3666
2021-04-16,105.40,105.95,95.75,100.65,8999
2021-04-19,100.00,103.95,92.60,101.15,10975
2021-04-20,108.70,108.70,96.00,102.10,1844
2021-04-22,102.10,102.85,98.55,99.95,2368
2021-04-23,101.80,102.40,97.80,99.95,393
2021-04-26,90.05,104.75,90.05,100.85,11468
2021-04-27,98.35,105.00,96.10,101.55,3817
2021-04-28,98.95,104.35,97.00,98.85,6487
2021-04-29,98.50,100.00,97.30,97.50,2698
2021-04-30,102.40,102.40,97.00,97.20,3500
2021-05-03,100.35,104.50,95.05,99.20,5596
2021-05-04,102.35,107.00,97.00,99.55,9110
2021-05-05,106.95,106.95,98.20,100.60,5004
2021-05-06,100.15,100.55,97.05,99.20,10380
2021-05-07,99.15,99.20,96.90,97.60,1542
2021-05-10,96.15,99.85,93.10,97.40,4591
2021-05-11,100.35,100.40,95.25,96.90,2392
2021-05-12,92.10,100.05,92.10,97.65,4841
2021-05-14,102.00,104.05,98.10,98.65,7668
2021-05-17,101.90,101.90,97.00,98.10,6135
2021-05-18,99.05,103.85,96.85,101.40,9431
2021-05-19,104.95,108.00,99.50,101.30,8996
2021-05-20,102.15,105.30,99.50,100.20,3609
2021-05-21,105.95,108.00,100.25,101.10,11447
2021-05-24,103.80,106.50,102.25,103.20,4612
2021-05-25,102.10,108.00,101.95,106.90,25750
2021-05-26,103.60,117.55,103.60,116.40,79537
2021-05-27,119.90,124.70,115.00,118.50,51638
2021-05-28,119.05,121.60,116.20,116.95,11040
2021-05-31,117.25,118.25,111.30,115.20,7907
2021-06-01,116.15,124.00,109.15,111.65,18000
2021-06-02,115.05,115.10,108.80,111.55,4392
2021-06-03,113.05,114.95,111.95,113.95,9672
2021-06-04,116.30,118.00,112.10,114.35,26720
2021-06-07,116.40,136.25,111.40,132.45,132503
2021-06-08,135.00,139.90,127.10,131.65,99533
2021-06-09,132.00,153.00,129.00,143.15,204599
2021-06-10,145.00,169.70,144.00,160.00,245582
2021-06-11,165.75,179.90,165.00,172.10,160778
2021-06-14,174.70,178.95,157.10,174.00,95386
2021-06-15,174.00,181.90,170.10,180.65,47718
2021-06-16,183.55,184.75,179.00,179.80,77608
2021-06-17,179.80,179.95,175.00,176.15,41241
2021-06-18,178.95,179.00,160.00,172.50,51476
2021-06-21,170.95,174.00,167.00,170.85,18248
2021-06-22,174.90,174.90,167.20,168.30,51673
2021-06-23,168.00,176.00,167.95,171.25,95574
2021-06-24,174.85,178.45,167.00,169.25,62134
2021-06-25,169.10,174.90,167.00,168.05,25400
2021-06-28,168.90,184.85,168.85,184.80,156138
2021-06-29,190.60,203.25,190.60,203.25,67996
2021-06-30,215.00,219.00,182.95,195.00,237279
2021-07-01,201.00,214.50,183.00,214.50,190716
2021-07-02,224.00,225.20,211.00,213.60,111868
2021-07-05,214.00,214.00,202.95,202.95,185487
2021-07-06,200.05,213.00,194.05,208.40,144594
2021-07-07,212.40,215.50,208.35,210.25,73775
2021-07-08,213.30,216.40,211.05,214.60,80996
2021-07-09,218.00,225.30,212.00,225.25,72942
2021-07-12,231.95,232.40,219.55,222.40,59403
2021-07-13,227.00,227.00,211.30,214.65,88992
2021-07-14,215.00,217.00,211.05,212.60,43669
2021-07-15,213.00,218.55,206.15,208.30,134930
2021-07-16,213.45,214.80,208.05,209.00,103246
2021-07-19,209.80,214.00,203.00,203.45,117299
2021-07-20,197.30,204.95,193.30,194.40,135428
2021-07-22,198.00,204.10,196.25,203.05,52944
2021-07-23,207.00,209.90,193.10,193.95,107488
2021-07-26,194.60,203.05,194.60,200.20,63332
2021-07-27,203.95,203.95,194.00,195.20,44826
2021-07-28,195.60,203.00,193.50,200.20,36954
2021-07-29,201.75,210.20,196.70,206.85,37936
2021-07-30,207.55,217.00,207.55,215.80,146905
2021-08-02,219.00,226.55,218.55,226.55,186662
2021-08-03,228.00,237.85,221.50,237.85,98641
2021-08-04,248.00,248.00,226.00,226.00,103295
2021-08-05,225.00,225.00,214.70,214.70,20525
2021-08-06,207.15,213.70,204.00,204.00,138342
2021-08-09,197.35,199.00,193.80,193.80,44281
2021-08-10,184.15,184.15,184.15,184.15,17255
2021-08-11,174.95,174.95,174.95,174.95,19394
2021-08-12,166.25,183.45,166.25,180.50,260540
2021-08-13,184.15,185.00,177.35,179.90,71448
2021-08-16,181.00,183.20,170.95,170.95,37235
2021-08-17,164.25,170.00,162.45,162.45,75007
2021-08-18,157.80,167.90,154.35,165.45,97089
2021-08-20,165.45,169.95,160.15,167.35,27367
2021-08-23,175.70,175.70,159.00,159.00,51040
2021-08-24,154.40,166.95,151.15,166.95,46174
2021-08-25,169.95,174.05,165.60,171.25,20227
2021-08-26,170.95,171.00,162.70,163.50,55636
2021-08-27,164.00,164.65,159.05,163.20,13332
2021-08-30,169.90,170.00,160.35,162.80,25020
2021-08-31,163.00,167.40,155.00,157.40,22027
2021-09-01,157.40,160.75,156.00,157.50,21286
2021-09-02,157.50,163.90,155.15,161.65,23446
2021-09-03,164.95,164.95,156.00,158.20,14189
2021-09-06,155.05,159.90,155.05,156.00,14535
2021-09-07,158.50,160.90,154.10,155.15,16488
2021-09-08,153.40,157.90,153.40,156.20,12130
2021-09-09,158.40,158.40,148.40,148.40,120013
2021-09-13,144.95,147.90,141.05,143.30,48431
2021-09-14,144.00,147.50,141.80,142.50,59898
2021-09-15,145.00,148.00,141.50,147.30,30926
2021-09-16,154.00,154.00,144.15,146.45,27749
2021-09-17,148.40,152.65,139.15,141.30,36360
2021-09-20,143.25,144.90,134.25,135.90,21965
2021-09-21,131.00,142.00,129.15,138.70,39518
2021-09-22,141.90,144.00,138.00,140.40,27808
2021-09-23,142.00,144.00,140.30,142.05,12525
2021-09-24,144.00,144.00,136.25,137.45,18751
2021-09-27,138.90,141.50,132.05,133.20,21755
2021-09-28,134.90,134.90,128.50,133.75,17428
2021-09-29,133.00,135.00,132.50,134.55,52233
2021-09-30,136.00,141.25,133.55,141.25,56692
2021-10-01,148.00,148.30,147.40,148.30,25734
2021-10-04,155.70,155.70,150.05,154.85,157995
2021-10-05,152.15,162.55,151.30,161.95,60786
2021-10-06,167.90,170.00,162.05,169.35,42451
2021-10-07,177.00,177.75,167.25,172.95,44357
2021-10-08,172.95,175.15,164.35,166.55,35626
2021-10-11,163.15,174.85,160.00,171.30,47700
2021-10-12,171.35,177.00,166.00,172.30,28351
2021-10-13,172.30,173.80,166.50,167.85,24884
2021-10-14,172.70,173.00,166.35,168.85,28287
2021-10-18,168.90,169.25,160.45,160.90,42519
2021-10-19,165.00,165.00,152.95,153.25,35274
2021-10-20,150.15,155.35,148.00,151.20,12337
2021-10-21,151.20,158.00,146.00,151.90,15951
2021-10-22,150.00,156.70,148.25,151.80,10958
2021-10-25,157.85,157.85,149.50,150.20,8995
2021-10-26,154.90,154.90,148.00,151.10,7805
2021-10-27,153.70,154.00,148.00,148.80,13472
2021-10-28,151.45,151.50,145.70,147.35,9452
2021-10-29,145.15,150.90,145.00,147.05,7375
2021-11-01,151.45,152.70,147.00,150.20,11776
2021-11-02,152.70,156.80,150.45,154.50,19675
2021-11-03,157.00,162.20,151.30,162.20,28634
2021-11-04,167.00,170.30,162.00,166.60,12549
2021-11-08,163.15,171.95,159.10,169.50,32118
2021-11-09,166.60,171.80,165.60,166.65,12037
2021-11-10,170.95,170.95,163.95,167.10,7671
2021-11-11,167.10,170.00,164.00,165.55,13275
2021-11-12,169.60,170.40,164.50,167.45,14366
2021-11-15,159.15,159.15,159.10,159.10,20567
2021-11-16,151.15,151.15,151.15,151.15,11479
2021-11-17,143.60,153.90,143.60,145.20,57079
2021-11-18,145.00,152.00,144.25,149.15,30616
2021-11-22,146.30,150.30,141.80,145.70,18861
2021-11-23,151.40,151.40,144.05,146.90,15828
2021-11-24,151.85,151.85,145.00,146.60,11670
2021-11-25,150.90,153.90,146.60,150.70,25643
2021-11-26,147.60,150.00,144.00,145.30,14760
2021-11-29,141.20,143.95,138.05,138.40,22976
2021-11-30,142.60,144.70,138.50,139.50,7678
2021-12-01,139.50,143.45,136.00,140.65,11990
2021-12-02,143.95,143.95,138.00,140.35,9632
2021-12-03,142.55,142.55,134.00,136.90,21650
2021-12-06,141.90,141.90,135.05,138.10,7892
2021-12-07,139.30,141.00,137.50,140.75,6612
2021-12-08,144.85,144.85,136.20,138.45,13525
2021-12-09,136.40,142.60,136.15,138.45,12456
2021-12-10,141.85,142.50,137.50,142.25,12226
2021-12-13,143.95,144.70,138.00,139.15,20657
2021-12-14,138.40,140.00,137.00,138.25,9678
2021-12-15,140.00,140.70,137.55,138.70,5973
2021-12-16,144.00,144.00,136.80,137.60,13893
2021-12-17,143.90,143.90,130.00,134.60,32012
2021-12-20,134.00,134.00,128.00,129.25,45851
2021-12-21,138.90,139.00,126.15,130.10,18601
2021-12-22,135.20,135.40,128.00,129.95,11081
2021-12-23,129.15,130.40,127.00,127.60,18242
2021-12-24,132.00,134.40,128.10,129.10,22294
2021-12-27,130.15,132.20,129.65,130.65,3376
2021-12-28,133.05,133.05,130.50,131.40,14933
2021-12-29,133.90,133.90,129.95,130.00,19890
2021-12-30,134.00,134.00,130.00,131.20,7600
2021-12-31,131.95,136.00,129.95,131.80,16479
2022-01-03,134.85,143.85,131.10,140.60,24384
2022-01-04,148.00,148.00,139.25,140.15,12912
2022-01-05,133.70,144.90,133.70,139.20,13746
2022-01-06,140.50,140.50,138.05,139.60,7040
2022-01-07,141.80,142.00,136.25,138.05,17291
2022-01-10,141.85,141.85,131.25,136.45,19804
2022-01-11,143.90,143.90,134.15,135.70,23022
2022-01-12,138.90,138.90,133.50,134.55,11831
2022-01-13,134.00,142.00,133.00,137.90,22192
2022-01-14,139.15,139.15,135.00,136.10,12930
2022-01-17,139.95,140.35,135.35,137.65,17196
2022-01-18,137.00,140.10,136.35,136.80,8612
2022-01-19,136.00,136.75,132.65,135.40,6678
2022-01-20,135.40,137.35,132.90,135.90,9534
2022-01-21,136.00,136.00,129.95,132.00,14350
2022-01-24,137.95,137.95,119.20,125.60,30361
2022-01-25,129.70,133.45,126.00,132.00,18524
2022-01-27,132.70,132.70,125.00,128.45,22198
2022-01-28,132.15,132.50,129.20,129.80,11466
2022-01-31,130.05,142.00,129.70,133.05,11381
2022-02-01,134.00,138.90,134.00,135.90,9156
2022-02-02,135.00,137.50,129.40,135.50,51559
2022-02-03,135.00,135.85,132.00,134.15,8344
2022-02-04,134.00,134.00,131.20,131.80,10731
2022-02-07,131.00,134.00,130.00,130.65,7892
2022-02-08,130.10,132.85,126.10,129.45,20566
2022-02-09,131.90,132.75,129.00,131.60,35571
2022-02-10,130.10,132.95,126.95,129.55,25198
2022-02-11,128.00,131.75,128.00,128.35,17261
2022-02-14,125.00,127.00,120.35,122.65,34391
2022-02-15,121.50,126.85,120.15,121.10,25813
2022-02-16,124.95,126.50,120.65,121.40,35332
2022-02-17,121.30,125.00,119.00,123.55,25775
2022-02-18,124.25,124.85,119.70,119.95,32922
2022-02-21,122.40,122.40,110.70,114.15,32075
2022-02-22,96.60,118.70,96.60,114.25,49021
2022-02-23,121.70,121.70,114.65,116.25,10327
2022-02-24,104.50,113.80,103.30,105.85,33727
2022-02-25,116.40,126.95,106.70,120.70,40511
2022-02-28,126.95,129.90,121.00,125.90,21349
2022-03-02,121.20,124.00,116.05,118.45,13340
2022-03-03,118.60,120.90,117.70,119.90,4173
2022-03-04,119.95,122.75,114.05,119.20,7706
2022-03-07,119.20,120.65,116.25,118.80,6668
2022-03-08,113.10,120.00,112.75,119.25,2968
2022-03-09,121.95,122.00,119.00,119.80,7104
2022-03-10,127.05,127.10,122.50,123.95,12047
2022-03-11,131.95,131.95,122.25,123.30,4212
2022-03-14,125.95,125.95,116.65,119.50,16179
2022-03-15,120.30,121.75,115.35,116.50,10946
2022-03-16,124.55,124.55,114.05,115.95,26651
2022-03-17,116.00,119.85,116.00,116.70,11592
2022-03-21,118.00,118.00,113.00,113.50,53374
2022-03-22,114.00,116.60,110.05,113.05,38606
2022-03-23,116.55,116.55,113.00,113.70,31969
2022-03-24,113.70,116.50,113.20,114.00,25459
2022-03-25,114.00,114.20,112.05,113.30,13235
2022-03-28,115.65,115.65,107.00,107.70,32439
2022-03-29,109.55,110.00,101.00,105.75,73917
2022-03-30,103.50,109.90,97.90,99.10,106087
2022-03-31,100.00,104.30,97.15,100.60,86107
2022-04-01,98.55,104.65,98.55,101.20,31008
2022-04-04,107.95,107.95,102.05,105.20,28619
