Date,Open,High,Low,Close,Volume
2008-01-11,160.00,261.00,145.10,251.40,0
2008-01-14,252.00,264.20,204.20,209.65,6468350
2008-01-15,214.90,251.60,197.00,240.75,13563935
2008-01-16,228.90,240.95,215.00,222.15,5134605
2008-01-17,224.00,233.80,215.05,217.85,1850731
2008-01-18,220.10,230.70,206.55,209.35,2366354
2008-01-21,205.00,206.70,167.50,175.80,965635
2008-01-22,160.50,160.50,140.65,140.65,26437
2008-01-23,145.10,154.75,130.25,154.75,151843
2008-01-24,161.00,170.00,141.30,144.15,145012
2008-01-25,154.40,156.00,145.00,154.35,101194
2008-01-28,156.00,169.80,140.00,167.35,259791
2008-01-29,170.00,184.10,170.00,182.60,285425
2008-01-30,185.00,185.90,173.50,173.50,206232
2008-01-31,172.50,175.90,164.90,169.70,119348
2008-02-01,174.90,178.00,164.10,168.30,54360
2008-02-04,171.00,173.90,166.55,169.05,193940
2008-02-05,165.00,175.00,161.35,172.40,60288
2008-02-06,164.55,177.00,164.55,173.25,90672
2008-02-07,170.30,180.50,164.60,165.00,163201
2008-02-08,165.00,169.00,156.75,156.95,28822
2008-02-11,150.20,158.80,150.00,153.00,41224
2008-02-12,159.90,159.90,149.00,152.85,27640
2008-02-13,153.10,159.00,153.00,156.60,32016
2008-02-14,162.00,164.45,159.05,164.20,36787
2008-02-15,159.00,165.90,156.00,160.15,19292
2008-02-18,161.05,168.00,161.00,165.65,46678
2008-02-19,167.00,170.00,161.00,161.45,15250
2008-02-20,161.00,162.80,157.00,159.50,17639
2008-02-21,162.00,164.45,162.00,163.45,23146
2008-02-22,155.95,171.65,155.95,169.60,33155
2008-02-25,175.00,175.00,163.10,167.15,13403
2008-02-26,170.00,172.00,167.10,170.10,16991
2008-02-27,178.50,178.50,171.50,174.60,38994
2008-02-28,171.00,183.35,171.00,182.75,63914
2008-02-29,184.00,191.00,173.65,176.25,123818
2008-03-03,167.95,173.45,167.50,168.30,21885
2008-03-04,168.00,168.50,159.90,159.90,12891
2008-03-05,160.00,160.00,151.90,152.25,10146
2008-03-07,145.00,153.00,144.65,144.90,19805
2008-03-10,138.35,150.00,131.05,143.50,14116
2008-03-11,137.65,152.95,137.65,149.15,11789
2008-03-12,152.10,157.65,136.40,141.95,10097
2008-03-13,138.00,143.90,128.00,132.35,14930
2008-03-14,134.00,137.00,130.10,135.75,8749
2008-03-17,132.00,132.00,122.20,127.00,8205
2008-03-18,122.00,126.90,118.00,122.70,10119
2008-03-19,125.10,135.00,110.45,121.25,13958
2008-03-24,116.55,122.00,110.15,115.95,7495
2008-03-25,116.05,119.25,115.60,117.90,8505
2008-03-26,118.00,125.00,117.50,121.05,17319
2008-03-27,123.75,123.75,116.50,119.20,6249
2008-03-28,121.00,130.00,116.65,124.80,9744
2008-03-31,121.15,127.00,117.10,120.75,9241
2008-04-01,120.00,126.00,120.00,121.85,4439
2008-04-02,124.05,125.95,120.10,120.65,3584
2008-04-03,120.00,123.35,116.10,120.45,2973
2008-04-04,122.50,122.50,117.50,118.55,2290
2008-04-07,118.95,122.75,117.00,118.15,6419
2008-04-08,118.25,122.40,118.25,121.45,4217
2008-04-09,121.85,121.95,119.15,120.65,2042
2008-04-10,121.90,121.90,119.00,119.50,4887
2008-04-11,118.50,123.50,118.50,121.30,6847
2008-04-15,124.00,127.00,120.00,125.25,7974
2008-04-16,130.00,137.80,125.20,137.80,21048
2008-04-17,150.00,151.60,143.00,145.65,23707
2008-04-21,144.00,155.00,141.00,152.00,14672
2008-04-22,148.10,153.40,145.25,147.50,8465
