Date,Open,High,Low,Close,Volume
2017-04-21,262.80,275.94,262.80,275.94,214080
2017-04-24,289.73,289.73,289.73,289.73,3747455
2017-04-25,304.21,304.21,300.00,304.21,1589175
2017-04-26,308.00,318.98,299.00,303.88,322235
2017-04-27,305.60,305.60,291.60,298.89,799050
2017-04-28,304.00,313.83,304.00,313.83,197015
2017-05-02,329.52,329.52,329.52,329.52,39745
2017-05-03,345.99,345.99,335.20,338.81,255580
2017-05-04,337.00,355.75,325.05,355.51,326095
2017-05-05,360.00,365.00,342.00,352.05,120705
2017-05-08,355.80,356.79,340.00,352.70,68665
2017-05-09,349.00,353.80,338.24,340.43,49575
2017-05-10,341.00,345.60,337.00,339.69,35040
2017-05-11,341.05,345.99,335.40,337.45,29425
2017-05-12,340.00,340.00,329.00,336.21,23950
2017-05-15,340.20,341.00,332.02,334.96,58130
2017-05-16,333.00,338.00,330.20,334.90,24645
2017-05-17,332.40,340.00,331.20,334.01,21475
2017-05-18,332.00,332.00,326.20,329.95,82085
2017-05-19,329.60,330.00,322.02,323.71,119505
2017-05-22,325.20,326.00,320.00,320.46,11915
2017-05-23,320.02,328.00,316.20,319.98,41230
2017-05-24,317.20,320.00,311.20,315.91,44460
2017-05-25,313.60,322.00,308.00,320.02,26330
2017-05-26,323.20,336.02,320.00,336.02,79595
2017-05-29,345.80,347.00,332.00,343.55,80935
2017-05-30,355.00,360.72,340.00,360.72,156425
2017-05-31,374.60,378.75,357.03,378.75,253635
2017-06-01,381.00,381.00,365.06,368.97,105605
2017-06-02,375.80,387.41,370.40,382.55,255560
2017-06-05,388.80,401.67,382.40,401.67,229255
2017-06-06,394.80,421.75,391.66,413.49,296895
2017-06-07,424.00,436.00,410.02,424.29,349485
2017-06-08,418.01,427.34,410.00,412.70,173660
2017-06-09,416.00,416.00,407.00,411.98,52565
2017-06-12,418.18,493.97,411.02,415.95,63670
2017-06-13,418.80,438.20,413.00,434.69,142360
2017-06-14,436.05,445.60,420.00,431.43,518240
2017-06-15,441.20,446.00,422.20,428.15,365955
2017-06-16,429.99,435.00,421.00,429.93,325300
2017-06-19,431.00,439.80,430.00,431.27,327270
2017-06-20,428.00,436.52,423.00,425.88,28335
2017-06-21,431.40,431.40,421.29,425.06,31030
2017-06-22,422.00,428.00,414.00,420.98,43065
2017-06-23,418.40,419.00,401.40,417.01,57940
2017-06-27,410.20,418.01,403.22,406.95,17735
2017-06-28,404.00,420.00,398.10,417.75,47180
2017-06-29,420.00,429.60,416.51,421.43,26485
2017-06-30,420.00,424.00,413.00,418.74,22345
2017-07-03,414.01,424.00,405.46,416.73,19910
2017-07-04,412.60,429.60,412.60,420.98,56605
2017-07-05,421.00,445.80,421.00,441.50,110955
2017-07-06,445.80,454.00,442.20,447.17,64435
2017-07-07,450.00,450.00,437.25,441.58,18635
2017-07-10,447.70,452.00,440.02,448.58,4445
2017-07-11,450.00,450.20,436.80,443.78,30140
2017-07-12,447.00,458.00,443.80,452.24,53940
2017-07-13,454.00,463.60,451.00,454.32,69720
2017-07-14,462.00,462.00,446.40,451.08,50625
2017-07-17,459.98,460.00,450.00,452.16,27170
2017-07-18,452.01,457.74,444.40,445.98,11245
2017-07-19,444.50,451.00,443.60,445.92,10275
2017-07-20,447.21,450.00,440.20,441.40,13505
2017-07-21,442.21,450.00,424.00,428.90,24790
2017-07-24,429.40,429.40,421.03,425.04,22020
2017-07-25,420.00,436.40,408.00,420.24,34070
2017-07-26,411.60,431.78,411.60,420.72,25980
2017-07-27,421.68,425.20,415.00,418.76,9435
2017-07-28,419.99,427.34,412.66,417.37,7030
2017-07-31,415.00,423.96,413.00,419.62,13715
2017-08-01,409.40,430.00,409.40,424.23,20535
2017-08-02,429.38,430.00,418.02,422.81,6140
2017-08-03,414.45,421.60,414.00,416.11,6945
2017-08-04,416.00,427.40,414.00,423.86,10975
2017-08-07,426.00,445.40,417.56,435.44,28640
2017-08-08,445.00,445.00,421.20,438.01,80140
2017-08-09,427.48,436.00,422.20,424.99,18735
2017-08-10,420.80,423.00,415.00,418.92,39815
2017-08-11,404.01,430.01,391.60,411.07,205995
2017-08-14,416.01,421.98,412.00,418.70,30610
2017-08-16,426.63,427.69,414.40,417.76,11160
2017-08-17,428.57,428.60,416.00,417.67,9885
2017-08-18,417.57,420.00,411.99,413.23,11515
2017-08-21,413.20,423.99,409.51,410.53,17075
2017-08-22,409.00,418.41,407.28,411.89,36085
2017-08-23,414.07,451.84,413.00,445.50,130965
2017-08-24,453.57,468.00,447.80,454.25,98960
2017-08-28,462.01,473.00,456.01,461.16,58375
2017-08-29,462.99,463.99,456.00,458.11,17085
2017-08-30,462.82,479.60,461.21,468.93,81860
2017-08-31,492.80,493.05,474.00,477.15,124113
2017-09-01,475.00,480.00,452.55,458.50,46502
2017-09-04,461.95,461.95,433.00,438.45,53869
2017-09-05,440.95,445.00,430.00,434.55,22571
2017-09-06,450.00,450.00,411.00,428.00,37880
2017-09-07,430.05,442.05,430.00,439.65,30238
2017-09-08,431.20,437.00,425.00,429.95,17748
2017-09-11,444.80,477.00,425.00,426.45,17436
2017-09-12,426.55,430.00,419.00,420.15,20219
2017-09-13,419.50,424.40,415.50,418.90,32180
2017-09-14,427.15,427.15,413.00,414.50,8065
2017-09-15,415.05,425.00,413.00,419.85,94413
2017-09-18,424.95,434.00,417.20,420.20,68969
2017-09-19,435.00,462.50,422.05,443.40,73197
2017-09-20,442.95,448.70,427.20,431.70,19030
2017-09-21,431.25,435.00,421.50,429.75,9104
2017-09-22,431.55,432.05,420.00,421.05,17074
2017-09-25,421.10,425.25,411.00,421.40,64199
2017-09-26,427.00,427.00,415.00,419.00,12948
2017-09-27,430.00,430.00,402.60,411.70,95801
2017-09-28,408.95,418.85,399.95,402.15,33775
2017-09-29,408.00,420.00,401.10,406.40,247912
2017-10-03,413.90,413.90,397.00,400.35,33202
2017-10-04,402.75,416.10,400.60,407.20,9888
2017-10-05,409.50,418.80,401.65,414.80,12108
2017-10-06,421.00,429.00,415.15,420.75,150923
2017-10-09,424.20,428.00,418.35,420.65,7383
2017-10-10,420.95,434.00,420.95,431.50,13088
2017-10-11,432.10,439.00,412.00,417.55,11768
2017-10-12,422.60,427.95,415.00,416.30,5335
2017-10-13,420.85,420.90,409.00,411.30,19741
2017-10-16,424.00,424.00,406.00,409.40,10126
2017-10-17,406.00,412.35,400.60,404.30,8340
2017-10-18,405.00,411.45,401.10,403.60,4298
2017-10-19,411.00,411.00,402.00,405.80,2428
2017-10-23,411.00,440.45,404.75,409.30,263090
2017-10-24,430.20,440.05,420.00,436.55,24495
2017-10-25,437.30,444.35,420.25,423.05,10761
2017-10-26,421.30,442.00,421.25,437.35,22827
2017-10-27,427.15,433.00,422.00,422.35,12616
2017-10-30,422.00,439.90,422.00,426.85,13904
2017-10-31,432.95,433.05,427.35,431.35,5029
2017-11-01,433.75,449.00,429.75,433.65,28737
2017-11-02,439.65,443.60,432.35,435.95,23010
2017-11-03,434.00,436.85,428.65,432.55,7549
2017-11-06,432.60,439.00,425.10,428.15,9626
2017-11-07,435.00,435.00,420.20,425.05,15298
2017-11-08,422.00,439.70,422.00,425.60,8724
2017-11-09,430.95,432.00,415.00,420.60,11410
2017-11-10,426.30,431.00,420.95,424.35,51405
2017-11-13,423.80,429.00,419.40,423.85,9107
2017-11-14,438.95,442.00,428.80,437.70,49529
2017-11-15,449.60,449.60,425.00,428.40,23315
2017-11-16,442.95,443.00,429.10,431.35,8648
2017-11-17,431.35,446.00,431.35,439.10,31975
2017-11-20,443.00,453.05,436.50,443.70,56530
2017-11-21,445.45,479.00,445.45,465.10,107805
2017-11-22,470.00,475.00,462.05,463.75,49594
