Date,Open,High,Low,Close,Volume
2023-08-21,10.90,11.45,10.90,11.45,1600
2023-08-22,12.02,12.02,12.02,12.02,1760
2023-08-23,12.62,12.62,12.62,12.62,310
2023-08-24,13.24,13.24,13.24,13.24,320
2023-08-25,13.90,13.90,13.90,13.90,130
2023-08-28,14.60,14.60,14.60,14.60,3530
2023-08-29,15.33,15.33,15.33,15.33,330
2023-08-30,16.09,16.09,16.09,16.09,860
2023-08-31,16.89,16.89,16.89,16.89,1080
2023-09-01,17.74,17.74,17.74,17.74,370
2023-09-04,19.50,19.50,19.50,19.50,380
2023-09-05,21.45,21.45,21.45,21.45,440
2023-09-06,23.60,23.60,23.60,23.60,3000
2023-09-07,24.78,24.78,24.78,24.78,640
2023-09-08,26.01,26.01,26.01,26.01,550
2023-09-11,27.31,27.31,27.31,27.31,3850
2023-09-12,28.68,28.68,28.68,28.68,830
2023-09-13,30.11,30.11,30.11,30.11,2610
2023-09-14,31.61,31.61,31.61,31.61,250
2023-09-15,32.25,32.25,32.25,32.25,680
2023-09-18,32.89,32.89,32.89,32.89,660
2023-09-20,33.54,33.54,33.54,33.54,180
2023-09-21,34.21,34.21,34.21,34.21,90
2023-09-22,34.89,34.89,34.89,34.89,100
2023-09-25,35.59,35.59,35.50,35.59,220
2023-09-26,36.30,36.30,36.30,36.30,30
2023-09-27,37.02,37.02,37.02,37.02,80
2023-09-28,37.76,37.76,37.76,37.76,510
2023-09-29,38.51,38.51,38.51,38.51,880
2023-10-03,39.28,39.29,39.28,39.29,180
2023-10-04,40.07,40.07,40.07,40.07,720
2023-10-05,40.87,40.87,40.87,40.87,40
2023-10-06,41.69,41.69,41.69,41.69,320
2023-10-09,42.51,42.51,42.51,42.51,330
2023-10-10,43.36,43.36,43.36,43.36,80
2023-10-11,44.23,44.23,44.23,44.23,140
2023-10-12,44.30,45.11,44.30,45.11,220
2023-10-13,46.00,46.01,46.00,46.01,3970
2023-10-16,46.93,46.93,46.93,46.93,1190
2023-10-17,47.86,47.86,47.80,47.86,350
2023-10-18,48.82,48.82,48.82,48.82,10
2023-10-19,49.80,49.80,49.70,49.70,1220
2023-10-20,50.69,50.69,50.69,50.69,510
2023-10-23,51.70,51.70,51.70,51.70,380
2023-10-25,52.73,52.73,52.73,52.73,30
2023-10-26,53.78,53.78,53.78,53.78,240
2023-10-27,54.85,54.85,54.85,54.85,160
2023-10-30,55.92,55.95,55.92,55.95,300
2023-10-31,57.07,57.07,57.07,57.07,550
2023-11-01,58.20,58.20,58.20,58.20,250
2023-11-02,59.37,59.37,59.37,59.37,270
2023-11-03,60.55,60.55,60.55,60.55,1358830
2023-11-06,61.70,61.76,61.70,61.76,90
2023-11-07,63.00,63.00,63.00,63.00,580
2023-11-08,64.25,64.25,64.25,64.25,150
2023-11-09,65.53,65.53,65.53,65.53,190
2023-11-10,66.85,66.85,66.85,66.85,320
2023-11-12,68.18,68.18,68.18,68.18,300
2023-11-13,69.54,69.54,69.53,69.54,450
2023-11-15,70.93,70.93,70.93,70.93,590
2023-11-16,72.35,72.35,72.35,72.35,70
2023-11-17,73.70,73.70,73.70,73.70,160
2023-11-20,75.17,75.17,75.17,75.17,640
2023-11-21,76.67,76.67,76.67,76.67,20600
2023-11-22,78.20,78.20,78.00,78.20,260
2023-11-23,79.76,79.76,79.75,79.75,90
2023-11-24,81.35,81.35,81.35,81.35,720
2023-11-28,82.97,82.97,82.97,82.97,1460
2023-11-29,84.62,84.62,84.62,84.62,1080
2023-11-30,86.32,86.32,86.32,86.32,1100
2023-12-01,88.04,88.04,88.04,88.04,1370
2023-12-04,89.80,89.80,89.80,89.80,1690
2023-12-05,91.60,91.60,91.60,91.60,1440
2023-12-06,93.42,93.42,93.42,93.42,1380
2023-12-07,95.29,95.29,95.29,95.29,1270
2023-12-08,97.20,97.20,97.20,97.20,1960
2023-12-11,99.13,99.13,99.13,99.13,1260
2023-12-12,101.11,101.11,101.11,101.11,1650
2023-12-13,103.14,103.14,103.14,103.14,17370
2023-12-14,105.19,105.19,105.19,105.19,1190
2023-12-15,107.30,107.30,107.30,107.30,1200
2023-12-18,109.44,109.44,109.44,109.44,1670
2023-12-19,111.62,111.62,111.62,111.62,1150
2023-12-20,113.86,113.86,113.85,113.86,7190
2023-12-21,116.13,116.13,116.13,116.13,220
2023-12-22,118.45,118.45,118.45,118.45,1340
2023-12-26,120.81,120.81,120.81,120.81,160
2023-12-27,123.23,123.23,123.23,123.23,11830
2023-12-28,125.69,125.69,125.69,125.69,180
2023-12-29,127.90,128.20,127.90,128.20,39630
2024-01-01,130.76,130.76,130.76,130.76,1800
2024-01-02,133.38,133.38,133.38,133.38,370
2024-01-03,136.04,136.04,136.04,136.04,240
2024-01-04,138.76,138.76,138.76,138.76,610
2024-01-05,141.53,141.53,141.53,141.53,930
2024-01-08,144.37,144.37,144.37,144.37,390
2024-01-09,147.25,147.25,147.25,147.25,510
2024-01-10,150.19,150.19,150.00,150.19,1710
2024-01-11,153.19,153.19,153.19,153.19,600
2024-01-12,156.25,156.25,156.25,156.25,3940
2024-01-15,159.38,159.38,159.38,159.38,360
2024-01-16,162.56,162.56,162.56,162.56,6750
2024-01-17,165.81,165.81,165.81,165.81,1080
2024-01-18,169.13,169.13,169.13,169.13,520
2024-01-19,172.51,172.51,172.51,172.51,780
2024-01-20,175.96,175.96,175.96,175.96,130
2024-01-23,179.47,179.47,179.47,179.47,340
2024-01-24,183.06,183.06,183.06,183.06,560
2024-01-29,186.70,186.70,186.70,186.70,976
2024-01-30,190.40,190.40,190.40,190.40,294
2024-01-31,194.20,194.20,194.20,194.20,151
2024-02-01,198.05,198.05,198.05,198.05,124
2024-02-02,202.00,202.00,202.00,202.00,196
2024-02-05,206.00,206.00,206.00,206.00,504
2024-02-06,210.10,210.10,210.10,210.10,562
2024-02-07,214.30,214.30,214.30,214.30,142
2024-02-08,218.55,218.55,218.55,218.55,13505
2024-02-09,222.90,222.90,222.90,222.90,680
2024-02-12,227.35,227.35,227.35,227.35,373
2024-02-13,231.85,231.85,231.85,231.85,741
2024-02-14,236.45,236.45,236.45,236.45,165
2024-02-15,241.15,241.15,241.15,241.15,174
2024-02-16,245.95,245.95,245.95,245.95,671
2024-02-19,250.85,250.85,250.85,250.85,523
2024-02-20,255.85,255.85,255.85,255.85,436
2024-02-21,260.95,260.95,260.95,260.95,304
2024-02-22,266.15,266.15,266.15,266.15,203
2024-02-23,271.45,271.45,271.45,271.45,200
2024-02-26,276.85,276.85,276.85,276.85,2291
2024-02-27,282.35,282.35,282.35,282.35,1390
2024-02-28,285.00,287.95,276.70,287.95,18768
2024-02-29,293.70,293.70,293.70,293.70,12881
2024-03-01,299.55,299.55,299.55,299.55,257
2024-03-02,305.50,305.50,305.50,305.50,211
2024-03-04,311.60,311.60,311.60,311.60,359
2024-03-05,317.80,317.80,317.00,317.00,9295
2024-03-06,323.30,323.30,323.30,323.30,4063
2024-03-07,329.75,329.75,329.75,329.75,1763
2024-03-11,336.30,336.30,336.30,336.30,860
2024-03-12,343.00,343.00,343.00,343.00,4752
2024-03-13,349.80,349.80,336.15,336.15,8033
2024-03-14,329.45,329.45,329.45,329.45,3738
2024-03-15,322.90,322.90,322.90,322.90,3531
2024-03-18,316.45,316.45,316.45,316.45,1207
2024-03-19,310.15,310.15,310.15,310.15,639
2024-03-20,303.95,303.95,303.95,303.95,19127
2024-03-21,305.20,310.00,305.20,310.00,6552
2024-03-22,316.20,316.20,316.20,316.20,2139
2024-03-26,309.90,309.90,309.90,309.90,16817
2024-03-27,303.70,303.70,303.70,303.70,4642
2024-03-28,297.65,297.65,297.65,297.65,1611
2024-04-01,282.80,312.50,282.80,312.45,17541
2024-04-02,312.45,317.00,298.90,304.45,9495
2024-04-03,297.00,304.00,292.00,294.75,5396
2024-04-04,304.90,304.90,294.75,303.10,3958
2024-04-05,303.90,303.95,296.00,300.10,10937
