Date,Open,High,Low,Close,Volume
2002-01-02,1.74,1.74,1.74,1.74,167
2002-01-03,1.68,1.68,1.68,1.68,1667
2002-01-08,1.65,1.65,1.65,1.65,1667
2002-01-10,1.65,1.71,1.65,1.71,833
2002-01-21,1.77,1.77,1.65,1.65,1500
2002-01-22,1.68,1.68,1.68,1.68,1667
2002-01-24,1.73,1.75,1.73,1.75,6167
2002-01-25,1.80,1.80,1.80,1.80,1667
2002-01-28,1.75,1.75,1.75,1.75,33333
2002-01-29,1.76,1.81,1.76,1.81,2833
2002-01-30,1.80,1.88,1.80,1.88,3000
2002-01-31,1.96,1.96,1.94,1.94,4500
2002-02-01,1.96,1.96,1.96,1.96,3333
2002-02-04,1.96,1.96,1.93,1.93,1000
2002-02-05,1.86,1.86,1.86,1.86,10000
2002-02-06,1.86,1.86,1.86,1.86,4167
2002-02-07,1.85,1.91,1.85,1.91,2500
2002-02-08,1.98,1.99,1.98,1.99,2833
2002-02-13,1.93,1.99,1.93,1.99,1667
2002-02-14,1.98,2.03,1.93,1.94,22833
2002-02-15,1.98,2.02,1.95,2.02,18500
2002-02-18,2.08,2.08,2.08,2.08,1667
2002-02-19,2.04,2.04,2.04,2.04,667
2002-02-20,2.05,2.05,2.04,2.04,10000
2002-02-21,2.04,2.04,2.04,2.04,8333
2002-02-22,2.04,2.12,2.04,2.07,10000
2002-02-25,2.13,2.13,2.13,2.13,1667
2002-03-04,2.07,2.07,2.07,2.07,9167
2002-03-05,2.05,2.05,2.05,2.05,1667
2002-03-06,2.11,2.11,2.11,2.11,1667
2002-03-07,2.19,2.19,2.19,2.19,1667
2002-03-19,2.15,2.15,2.15,2.15,833
2002-03-20,2.19,2.19,2.10,2.10,1000
2002-04-01,2.09,2.09,2.09,2.09,2500
2002-04-10,2.09,2.09,2.09,2.09,167
2002-04-12,2.19,2.19,2.15,2.16,4167
2002-04-17,2.14,2.14,2.09,2.09,2500
2002-04-18,2.16,2.19,2.16,2.19,5000
2002-04-25,2.11,2.11,2.11,2.11,833
2002-04-30,2.18,2.19,2.18,2.18,1500
2002-05-02,2.27,2.29,2.27,2.29,31667
2002-05-03,2.41,2.41,2.37,2.39,9167
2002-05-06,2.49,2.49,2.48,2.49,1833
2002-05-07,2.61,2.61,2.46,2.46,5833
2002-05-08,2.34,2.51,2.34,2.36,2667
2002-05-09,2.37,2.37,2.37,2.37,1667
2002-05-14,2.32,2.41,2.32,2.41,833
2002-05-15,2.31,2.33,2.31,2.31,3500
2002-05-16,2.26,2.26,2.22,2.22,3333
2002-05-17,2.33,2.33,2.33,2.33,833
2002-05-20,2.33,2.33,2.33,2.33,167
2002-05-23,2.32,2.32,2.32,2.32,667
2002-05-27,2.34,2.43,2.33,2.38,13833
2002-05-28,2.34,2.49,2.32,2.49,10000
2002-05-29,2.40,2.61,2.39,2.47,21000
2002-05-30,2.40,2.40,2.40,2.40,3333
2002-05-31,2.34,2.34,2.34,2.34,5833
2002-06-03,2.26,2.26,2.26,2.26,667
2002-06-05,2.22,2.31,2.22,2.31,3333
2002-06-11,2.39,2.39,2.39,2.39,5667
2002-06-13,2.32,2.32,2.31,2.31,15833
2002-06-14,2.33,2.33,2.33,2.33,5167
2002-06-18,2.40,2.40,2.40,2.40,1667
2002-06-20,2.52,2.52,2.52,2.52,18333
2002-06-21,2.64,2.64,2.64,2.64,4167
2002-06-24,2.69,2.77,2.67,2.77,16667
2002-06-25,2.85,2.91,2.85,2.91,10000
2002-06-26,2.94,3.01,2.94,3.01,5000
2002-06-28,3.06,3.14,3.01,3.14,20000
2002-07-01,3.29,3.29,3.29,3.29,13333
2002-07-02,3.42,3.46,3.42,3.46,13833
2002-07-03,3.59,3.60,3.48,3.51,9167
2002-07-04,3.48,3.53,3.45,3.47,30333
2002-07-05,3.53,3.63,3.53,3.59,25500
2002-07-08,3.57,3.63,3.57,3.57,17500
2002-07-09,3.53,3.53,3.53,3.53,1667
2002-07-10,3.57,3.57,3.57,3.57,12500
2002-07-11,3.60,3.60,3.54,3.54,24333
2002-07-15,3.51,3.54,3.51,3.54,16167
2002-07-16,3.48,3.60,3.48,3.54,29167
2002-07-17,3.46,3.46,3.46,3.46,833
2002-07-18,3.48,3.60,3.48,3.60,2500
2002-07-19,3.57,3.57,3.57,3.57,1667
2002-07-22,3.43,3.47,3.42,3.44,9500
2002-07-23,3.53,3.53,3.53,3.53,4167
2002-07-24,3.42,3.45,3.42,3.45,3833
2002-07-25,3.54,3.59,3.45,3.45,2667
2002-07-26,3.36,3.36,3.36,3.36,2833
2002-07-29,3.51,3.51,3.37,3.37,1667
2002-07-30,3.36,3.36,3.21,3.21,14167
2002-07-31,3.25,3.30,3.25,3.30,1667
2002-08-02,3.44,3.44,3.32,3.36,9333
2002-08-06,3.37,3.37,3.37,3.37,833
2002-08-08,3.30,3.34,3.30,3.34,1667
2002-08-09,3.49,3.49,3.33,3.33,333
2002-08-12,3.45,3.45,3.44,3.44,1833
2002-08-16,3.53,3.53,3.53,3.53,500
2002-08-20,3.55,3.71,3.55,3.66,195500
2002-08-21,3.66,3.67,3.66,3.66,22167
2002-08-22,3.65,3.66,3.60,3.60,4667
2002-08-23,3.61,3.65,3.61,3.62,23667
2002-08-26,3.66,3.66,3.66,3.66,69167
2002-08-27,3.65,3.75,3.63,3.63,118500
2002-08-28,3.64,3.71,3.64,3.67,7667
2002-08-29,3.60,3.66,3.60,3.66,45000
2002-08-30,3.69,3.69,3.63,3.69,6000
2002-09-02,3.67,3.67,3.66,3.67,12333
2002-09-03,3.66,3.77,3.66,3.74,39167
2002-09-04,3.69,3.69,3.68,3.68,12500
2002-09-05,3.68,3.78,3.68,3.75,46667
2002-09-06,3.75,3.86,3.75,3.75,47833
2002-09-11,3.69,3.81,3.69,3.81,36500
2002-09-12,3.81,3.81,3.80,3.81,147833
2002-09-13,3.69,3.75,3.69,3.75,2500
2002-09-16,3.75,3.76,3.75,3.75,4000
2002-09-17,3.76,3.84,3.76,3.84,245500
2002-09-18,3.80,3.87,3.80,3.87,74333
2002-09-19,3.81,3.81,3.81,3.81,9667
2002-09-20,3.84,3.90,3.84,3.89,92333
2002-09-23,4.02,4.02,3.78,3.78,293500
2002-09-24,3.82,3.82,3.81,3.81,145000
2002-09-26,3.72,3.72,3.72,3.72,833
2002-09-27,3.86,3.86,3.83,3.86,2000
2002-09-30,3.69,3.87,3.69,3.80,59833
2002-10-01,3.78,3.84,3.72,3.84,3333
2002-10-03,3.66,3.82,3.66,3.82,51667
2002-10-04,3.73,3.83,3.73,3.78,16833
2002-10-08,3.69,3.69,3.69,3.69,13833
2002-10-09,3.60,3.78,3.60,3.78,18000
2002-10-14,3.67,3.67,3.67,3.67,1667
2002-10-16,3.66,3.66,3.66,3.66,1667
2002-10-17,3.61,3.81,3.61,3.81,1000
2002-10-18,3.89,3.89,3.63,3.72,3500
2002-10-21,3.80,3.80,3.60,3.60,833
2002-10-22,3.77,3.78,3.72,3.72,5333
2002-10-23,3.77,3.77,3.77,3.77,167
2002-10-24,3.75,3.88,3.75,3.88,5167
2002-10-25,3.72,3.81,3.72,3.79,62167
2002-10-28,3.80,3.80,3.70,3.70,8500
2002-10-30,3.69,3.69,3.67,3.67,8333
2002-10-31,3.57,3.75,3.57,3.69,48667
2002-11-01,3.66,3.69,3.60,3.69,18333
2002-11-05,3.69,3.72,3.60,3.72,2500
2002-11-08,3.69,3.70,3.69,3.70,3667
2002-11-11,3.87,3.87,3.78,3.78,9167
2002-11-13,3.72,3.72,3.72,3.72,500
2002-11-14,3.77,3.77,3.72,3.72,4167
2002-11-15,3.67,3.74,3.61,3.71,90667
2002-11-20,3.72,3.72,3.72,3.72,7000
2002-11-21,3.72,3.72,3.71,3.72,23333
2002-11-22,3.71,3.71,3.71,3.71,167
2002-11-26,3.70,3.72,3.61,3.72,21667
2002-11-27,3.66,3.73,3.60,3.73,12000
2002-11-28,3.69,3.75,3.62,3.62,21667
2002-11-29,3.63,3.63,3.62,3.62,9500
2003-01-01,3.66,3.72,3.66,3.72,7500
2003-01-02,3.72,3.72,3.72,3.72,2000
2003-01-03,3.72,3.75,3.72,3.75,5667
2003-01-06,3.73,3.78,3.73,3.78,3333
2003-01-08,3.72,3.72,3.72,3.72,4333
2003-01-09,3.75,3.81,3.75,3.81,11667
2003-01-10,3.76,3.76,3.76,3.76,1833
2003-01-13,3.81,3.84,3.73,3.83,197167
2003-01-14,3.83,3.83,3.83,3.83,1667
2003-01-15,3.72,3.84,3.72,3.82,7167
2003-01-17,3.84,3.84,3.84,3.84,17167
2003-01-20,3.96,3.96,3.89,3.89,249333
2003-01-21,3.89,3.90,3.89,3.90,10667
2003-01-22,3.72,3.90,3.72,3.90,86500
2003-01-23,3.82,3.82,3.82,3.82,3333
2003-01-24,3.81,3.81,3.81,3.81,1667
2003-01-27,3.81,3.81,3.81,3.81,333
2003-01-28,3.90,3.90,3.90,3.90,16667
2003-01-29,3.89,3.90,3.89,3.90,97167
2003-01-30,3.90,3.90,3.90,3.90,15500
2003-01-31,3.90,3.90,3.90,3.90,5000
2003-02-03,3.87,3.92,3.87,3.90,195333
2003-02-04,3.84,3.84,3.84,3.84,833
2003-02-05,3.90,3.90,3.90,3.90,88500
2003-02-07,3.87,3.87,3.87,3.87,4167
2003-02-11,3.90,3.90,3.90,3.90,167
2003-02-12,3.79,3.84,3.79,3.84,66500
2003-02-14,3.90,3.90,3.90,3.90,16667
2003-02-17,3.93,3.96,3.93,3.96,70167
2003-02-18,3.96,3.96,3.85,3.96,50500
2003-02-19,3.90,3.93,3.90,3.93,15833
2003-02-20,3.90,3.93,3.90,3.93,413000
2003-02-21,3.91,3.91,3.91,3.91,1667
2003-02-25,3.96,3.96,3.96,3.96,2833
2003-02-26,3.90,3.96,3.90,3.96,2500
2003-02-27,3.96,3.96,3.96,3.96,2500
2003-03-03,4.02,4.02,4.01,4.01,2333
2003-03-04,4.02,4.02,3.95,4.02,6500
2003-03-05,4.02,4.03,3.91,4.03,8167
2003-03-11,4.02,4.02,3.99,3.99,2833
2003-03-12,4.02,4.02,4.02,4.02,5000
2003-03-13,3.96,4.05,3.96,4.05,8333
2003-04-10,3.90,3.90,3.90,3.90,3333
2003-04-11,3.84,3.84,3.84,3.84,833
2003-04-15,3.66,3.66,3.65,3.65,10000
2003-04-16,3.48,3.48,3.48,3.48,1667
2003-04-22,3.33,3.33,3.33,3.33,1667
2003-04-23,3.36,3.36,3.36,3.36,2167
2003-04-25,3.33,3.33,3.33,3.33,33333
2003-04-28,3.33,3.37,3.30,3.37,50333
2003-05-05,3.45,3.53,3.45,3.52,2167
2003-05-06,3.60,3.60,3.54,3.54,8333
2003-05-07,3.71,3.71,3.71,3.71,1667
2003-05-13,3.57,3.57,3.57,3.57,667
2003-05-14,3.63,3.75,3.63,3.70,33500
2003-05-15,3.84,3.88,3.79,3.88,6833
2003-05-16,3.91,4.02,3.88,3.88,21167
2003-05-19,3.85,3.96,3.85,3.95,4667
2003-05-20,3.96,4.10,3.96,4.10,11500
2003-05-22,4.03,4.04,4.03,4.04,1833
